VectorMagnet - Field Z,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.6,1.560532950275704e-07,-1.614605590076698e-07,-0.0001953496394897,-0.0001545971757218,1.5551071448638388e-07,-1.6050718538439144e-07,1.0486037984639602e-09,9.027257338222275e-10,29,29,2023/11/Data_1113/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-029.hdf5,-4.99647089800756e-09,1.3836486825267191e-09,3.1601789987077533e-07,1.3836486825267191e-09,-0.0158107211650058,0.0043789342748509
-0.575,1.8162153908883568e-07,-1.887058048296703e-07,-0.0001867278912846,-0.0001431250375065,1.8058315317339976e-07,-1.8890292257500693e-07,1.172034515138796e-09,7.667712467026196e-10,27,27,2023/11/Data_1114/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-031.hdf5,-8.319769401607166e-09,1.4005724006442943e-09,3.6948607574840667e-07,1.4005724006442943e-09,-0.0225171392041098,0.0037915567264952
-0.55,2.196869619280033e-07,-2.30577820316367e-07,-0.0001667015950309,-0.0001309758036191,2.192135037297075e-07,-2.302867475427037e-07,1.0784148734526554e-09,1.2584590847162311e-09,29,31,2023/11/Data_1114/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-034.hdf5,-1.1073243812996216e-08,1.657316477679722e-09,4.495002512724112e-07,1.657316477679722e-09,-0.0246345664583076,0.0036881387225015
-0.525,2.7231896511819524e-07,-2.875677622921219e-07,-0.000129303558961,-0.0001016897854068,2.714394695885241e-07,-2.8754964327419174e-07,9.318206432427587e-10,9.710836400047031e-10,33,35,2023/11/Data_1114/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-035.hdf5,-1.611017368566766e-08,1.3458429132176355e-09,5.589891128627158e-07,1.3458429132176355e-09,-0.0288201922272933,0.00240863676434
-0.5,3.39195924826806e-07,-3.6087945902538905e-07,-0.0001128394611143,-8.80219803786343e-05,3.390341386549425e-07,-3.6123583879196004e-07,1.2293892522708943e-09,1.4228257910349123e-09,35,37,2023/11/Data_1114/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-036.hdf5,-2.220170013701753e-08,1.8803805905277028e-09,7.002699774469026e-07,1.8803805905277028e-09,-0.031704486629517,0.0026865715638756
-0.475,4.187378554041377e-07,-4.466019540026139e-07,-0.0001097080479812,-8.944544248201574e-05,4.190744556981755e-07,-4.469456798998519e-07,5.215511924807181e-10,4.2832507488536124e-10,35,37,2023/11/Data_1114/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-037.hdf5,-2.7871224201676418e-08,6.748911142944539e-10,8.660201355980274e-07,6.748911142944539e-10,-0.0321831133665616,0.0007797053512495
-0.45,5.046953164507077e-07,-5.385578442470963e-07,-7.486932223979576e-05,-5.532220998620632e-05,5.042139250717528e-07,-5.389060721289809e-07,8.442829961785751e-10,8.8727651256758e-10,37,35,2023/11/Data_1114/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-039.hdf5,-3.4692147057228154e-08,1.2247748313018027e-09,1.0431199972007335e-06,1.2247748313018027e-09,-0.033258059619532,0.0011747948540982
-0.425,5.944281657513162e-07,-6.36449014624665e-07,-7.653009823044361e-05,-6.451295375200848e-05,5.946961782411105e-07,-6.365201618173497e-07,6.36398889380475e-10,7.754344051796421e-10,41,45,2023/11/Data_1114/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-041.hdf5,-4.18239835762392e-08,1.0031460826524755e-09,1.2312163400584602e-06,1.0031460826524755e-09,-0.0339696462883633,0.0008152301644697
-0.4,6.862736863595549e-07,-7.363445213343184e-07,-6.224162019652227e-05,-5.1802807907740304e-05,6.851002713883143e-07,-7.371568716269763e-07,1.0387942710308907e-09,1.0941076266366804e-09,43,46,2023/11/Data_1114/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-043.hdf5,-5.2056600238662034e-08,1.5086964692048395e-09,1.4222571430152906e-06,1.5086964692048395e-09,-0.0366013983436906,0.0010614864620831
-0.375,7.783750390636557e-07,-8.442420325248472e-07,-4.013954763658802e-05,-3.327476760516869e-05,7.774791743853531e-07,-8.424410397767043e-07,1.043696553842343e-09,1.18714718610033e-09,47,45,2023/11/Data_1114/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-044.hdf5,-6.49618653913512e-08,1.5807026722215392e-09,1.6199202141620575e-06,1.5807026722215392e-09,-0.0401018919471625,0.0009765747476828
-0.35,8.74259927064521e-07,-9.483230637104532e-07,-4.8175232380730624e-05,-4.684541935983249e-05,8.71603547202924e-07,-9.481825571913304e-07,1.618428517480375e-09,1.727269532612408e-09,45,45,2023/11/Data_1114/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-045.hdf5,-7.657900998840639e-08,2.3670173012643604e-09,1.8197861043942544e-06,2.3670173012643604e-09,-0.0420813247246422,0.0013018629884552
-0.325,9.72310037130666e-07,-1.060298657757633e-06,-2.835031182515968e-05,-2.872481909817049e-05,9.67469455574674e-07,-1.057908434260546e-06,2.4196737577909103e-09,2.410630775496282e-09,45,45,2023/11/Data_1114/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-046.hdf5,-9.043897868587197e-08,3.4155470762253876e-09,2.02537788983522e-06,3.4155470762253876e-09,-0.044652891265259,0.001688055594183
-0.3,1.0682965151304735e-06,-1.1741821828716728e-06,-3.6456997371220096e-05,-4.122402259306487e-05,1.0660624624657794e-06,-1.1698767302050911e-06,2.7962285647876798e-09,3.258331858503921e-09,47,45,2023/11/Data_1114/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-047.hdf5,-1.0381426773931169e-07,4.2936721680487195e-09,2.2359391926708703e-06,4.2936721680487195e-09,-0.0464298260344475,0.0019223678742718
-0.275,1.1702890828254777e-06,-1.288011001458272e-06,-3.3691829746788334e-05,-4.272403854472378e-05,1.1668293123960112e-06,-1.2842733093778243e-06,3.902801107286625e-09,3.785894759921581e-09,41,45,2023/11/Data_1114/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-048.hdf5,-1.1744399698181315e-07,5.437357411117958e-09,2.4511026217738355e-06,5.437357411117958e-09,-0.0479147612745892,0.0022208761857723
-0.25,1.2741683187142678e-06,-1.4022216758995512e-06,-1.950006633454429e-05,-3.6757371681697336e-05,1.26956936143225e-06,-1.3941446794838912e-06,3.964286320215111e-09,5.5694905098983246e-09,43,41,2023/11/Data_1114/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-049.hdf5,-1.2457531805164114e-07,6.8362848513276685e-09,2.663714040916141e-06,6.8362848513276685e-09,-0.0467675268959409,0.0025692536170114
