VectorMagnet - Field Z,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.6,7.551358252681737e-08,-7.651376695107374e-08,-0.0003018405023601,-0.0002768942188625,7.45027044768751e-08,-7.449752112503464e-08,1.1070231454422863e-09,1.063846843552927e-09,35,29,2023/11/Data_1118/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-078.hdf5,5.183351840460743e-12,1.5353404674802457e-09,1.4900022560190976e-07,1.5353404674802457e-09,3.4787543572647496e-05,0.010304282843915245
-0.575,9.692733935232493e-08,-9.875929569868969e-08,-0.0002653610132326,-0.0002445342216387,9.502346276403217e-08,-9.66996665968635e-08,1.032313110565178e-09,9.89265867596702e-10,33,33,2023/11/Data_1118/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-079.hdf5,-1.6762038328313313e-09,1.4297962494833341e-09,1.917231293608957e-07,1.4297962494833341e-09,-0.008742835767488853,0.007457894610839104
-0.55,1.2873705500488297e-07,-1.319414934878501e-07,-0.0002198689682974,-0.0002161692744256,1.275432815472288e-07,-1.3058600408916045e-07,8.99208755996424e-10,1.001610487564982e-09,37,39,2023/11/Data_1118/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-081.hdf5,-3.04272254193166e-09,1.3460311867340956e-09,2.5812928563638924e-07,1.3460311867340956e-09,-0.011787591378599927,0.005214924350307091
-0.525,1.748483509659483e-07,-1.802770459689081e-07,-0.00017794154163,-0.0001650022599087,1.736899380540091e-07,-1.803989147737969e-07,1.2719135736671822e-09,9.114726772953419e-10,43,43,2023/11/Data_1118/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-082.hdf5,-6.708976719787796e-09,1.5647832374916217e-09,3.5408885282780597e-07,1.5647832374916217e-09,-0.018947155964410954,0.004419975591574344
-0.5,2.347839642571731e-07,-2.452146556040305e-07,-0.0001404212957356,-0.0001300727172831,2.3448637683815981e-07,-2.449613589550877e-07,6.734868256641635e-10,7.146247939210215e-10,45,47,2023/11/Data_1118/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-083.hdf5,-1.0474982116927903e-08,9.8197408337993e-10,4.794477357932475e-07,9.8197408337993e-10,-0.021848016655239843,0.0020486245899184016
-0.475,3.072975990835075e-07,-3.225252217850408e-07,-0.0001106687812908,-9.766962772141067e-05,3.0740385680220645e-07,-3.2274235761755416e-07,4.685831021274321e-10,4.3299188546830855e-10,47,45,2023/11/Data_1118/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-084.hdf5,-1.533850081534771e-08,6.380063451728113e-10,6.301462144197606e-07,6.380063451728113e-10,-0.024341177435258293,0.00101277340036595
-0.45,3.8533955227059145e-07,-4.054221824457314e-07,-9.157354085552024e-05,-7.641853451766583e-05,3.849411529731216e-07,-4.0565324879419e-07,5.766249725504688e-10,1.222420807006361e-09,59,61,2023/11/Data_1118/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-085.hdf5,-2.071209582106843e-08,1.3515949794116994e-09,7.905944017673116e-07,1.3515949794116994e-09,-0.026198131146347822,0.001710179992524752
-0.425,4.692352525315683e-07,-4.957029432463868e-07,-8.115784559206293e-05,-6.438956948198138e-05,4.6819388901728533e-07,-4.947866397492585e-07,8.247595470745296e-10,9.702129089659058e-10,61,59,2023/11/Data_1118/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-085.hdf5,-2.6592750731973155e-08,1.2733975809678091e-09,9.629805287665439e-07,1.2733975809678091e-09,-0.02761504509965025,0.001322854399407228
-0.4,5.531337135719706e-07,-5.881717637686874e-07,-7.192112096452662e-05,-5.6417408961426415e-05,5.530224719171745e-07,-5.875059245499364e-07,1.333391420386247e-09,1.4458068685430038e-09,61,59,2023/11/Data_1118/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-085.hdf5,-3.448345263276194e-08,1.9667969343798002e-09,1.140528396467111e-06,1.9667969343798002e-09,-0.030234628738379093,0.0017252491844104811
-0.375,6.371199694859782e-07,-6.811552087273113e-07,-6.51145529349534e-05,-5.013520248830188e-05,6.372646101744921e-07,-6.812315638246791e-07,1.10449829463118e-09,1.1760819792508495e-09,61,57,2023/11/Data_1118/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-085.hdf5,-4.396695365018694e-08,1.6134079783990722e-09,1.3184961739991712e-06,1.6134079783990722e-09,-0.0333462883830974,0.0012243530134019333
-0.35,7.251646798344075e-07,-7.792650500161316e-07,-5.392037050919604e-05,-4.088757433310229e-05,7.241509052954517e-07,-7.788104221228372e-07,1.1410278112710659e-09,1.260155756158906e-09,57,57,2023/11/Data_1118/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-085.hdf5,-5.465951682738547e-08,1.6999814692738457e-09,1.5029613274182889e-06,1.6999814692738457e-09,-0.036367879751953984,0.0011318357191094446
-0.325,8.137627596583629e-07,-8.788908063173468e-07,-4.692804201296277e-05,-3.487211895377021e-05,8.123116295653824e-07,-8.786659142345316e-07,1.801286959951846e-09,1.9802838028238686e-09,45,45,2023/11/Data_1119/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-086.hdf5,-6.635428466914924e-08,2.6769681828178543e-09,1.6909775437999141e-06,2.6769681828178543e-09,-0.03924019269944879,0.0015843074841184275
