VectorMagnet - Field Z,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.6,7.551358252681737e-08,-7.651376695107374e-08,-0.0003018405023601,-0.0002768942188625,7.45027044768751e-08,-7.449752112503464e-08,1.1070231454422863e-09,1.063846843552927e-09,35,29,2023/11/Data_1118/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-078.hdf5,5.183351840460743e-12,1.5353404674802455e-09,1.4900022560190978e-07,1.5353404674802455e-09,3.4787543572647496e-05,0.0103042828439152
-0.575,9.692733935232493e-08,-9.875929569868969e-08,-0.0002653610132326,-0.0002445342216387,9.502346276403217e-08,-9.66996665968635e-08,1.0323131105651781e-09,9.89265867596702e-10,33,33,2023/11/Data_1118/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-079.hdf5,-1.676203832831331e-09,1.429796249483334e-09,1.917231293608957e-07,1.429796249483334e-09,-0.0087428357674888,0.0074578946108391
-0.55,1.2873705500488297e-07,-1.319414934878501e-07,-0.0002198689682974,-0.0002161692744256,1.275432815472288e-07,-1.3058600408916045e-07,8.99208755996424e-10,1.001610487564982e-09,37,39,2023/11/Data_1118/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-081.hdf5,-3.0427225419316605e-09,1.3460311867340954e-09,2.5812928563638924e-07,1.3460311867340954e-09,-0.0117875913785999,0.005214924350307
-0.525,1.748483509659483e-07,-1.802770459689081e-07,-0.00017794154163,-0.0001650022599087,1.736899380540091e-07,-1.803989147737969e-07,1.2719135736671822e-09,9.114726772953419e-10,43,43,2023/11/Data_1118/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-082.hdf5,-6.708976719787796e-09,1.5647832374916215e-09,3.54088852827806e-07,1.5647832374916215e-09,-0.0189471559644109,0.0044199755915743
-0.5,2.347839642571731e-07,-2.452146556040305e-07,-0.0001404212957356,-0.0001300727172831,2.3448637683815981e-07,-2.449613589550877e-07,6.734868256641634e-10,7.146247939210214e-10,45,47,2023/11/Data_1118/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-083.hdf5,-1.0474982116927904e-08,9.819740833799301e-10,4.794477357932475e-07,9.819740833799301e-10,-0.0218480166552398,0.0020486245899184
-0.475,3.072975990835075e-07,-3.225252217850408e-07,-0.0001106687812908,-9.766962772141067e-05,3.0740385680220645e-07,-3.2274235761755416e-07,4.68583102127432e-10,4.3299188546830855e-10,47,45,2023/11/Data_1118/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-084.hdf5,-1.533850081534771e-08,6.380063451728113e-10,6.301462144197606e-07,6.380063451728113e-10,-0.0243411774352582,0.0010127734003659
-0.45,3.8533955227059145e-07,-4.054221824457314e-07,-9.157354085552024e-05,-7.641853451766583e-05,3.849411529731216e-07,-4.0565324879419e-07,5.766249725504688e-10,1.222420807006361e-09,59,61,2023/11/Data_1118/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-085.hdf5,-2.071209582106843e-08,1.3515949794116994e-09,7.905944017673116e-07,1.3515949794116994e-09,-0.0261981311463478,0.0017101799925247
-0.425,4.692352525315683e-07,-4.957029432463868e-07,-8.115784559206293e-05,-6.438956948198138e-05,4.6819388901728533e-07,-4.947866397492585e-07,8.247595470745296e-10,9.702129089659058e-10,61,59,2023/11/Data_1118/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-085.hdf5,-2.6592750731973158e-08,1.2733975809678091e-09,9.62980528766544e-07,1.2733975809678091e-09,-0.0276150450996502,0.0013228543994072
-0.4,5.531337135719706e-07,-5.881717637686874e-07,-7.192112096452662e-05,-5.6417408961426415e-05,5.530224719171745e-07,-5.875059245499364e-07,1.333391420386247e-09,1.4458068685430038e-09,61,59,2023/11/Data_1118/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-085.hdf5,-3.4483452632761944e-08,1.9667969343798e-09,1.140528396467111e-06,1.9667969343798e-09,-0.030234628738379,0.0017252491844104
-0.375,6.371199694859782e-07,-6.811552087273113e-07,-6.51145529349534e-05,-5.013520248830188e-05,6.372646101744921e-07,-6.812315638246791e-07,1.10449829463118e-09,1.1760819792508495e-09,61,57,2023/11/Data_1118/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-085.hdf5,-4.3966953650186945e-08,1.613407978399072e-09,1.3184961739991712e-06,1.613407978399072e-09,-0.0333462883830974,0.0012243530134019
