in-plane magnitude,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.22,1.6599201290299016e-06,-1.787531296343011e-06,-4.692306249135622e-05,-3.552721982639599e-05,1.6599078093650649e-06,-1.7856351295958544e-06,6.36003409471391e-10,1.966629905262835e-09,35,35,2023/07/Data_0706/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-311.hdf5,-1.257273202307895e-07,2.066914009128909e-09,3.445542938960919e-06,2.066914009128909e-09,-0.0364898428079684,0.0006002797367307
-0.2,1.779749342915373e-06,-1.9393410354021514e-06,-4.577511831256721e-05,-3.23233365188904e-05,1.7796666985446337e-06,-1.936653677543657e-06,7.650401597622962e-10,2.5078903948010195e-09,37,35,2023/07/Data_0706/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-311.hdf5,-1.569869789990234e-07,2.621984111009129e-09,3.716320376088291e-06,2.621984111009129e-09,-0.0422425848990619,0.0007061615211104
-0.18,1.9047906593165005e-06,-2.094193065338625e-06,-4.877348843490708e-05,-3.034383098708238e-05,1.904470385655586e-06,-2.0895331012201745e-06,8.188117553996008e-10,2.9624834751399955e-09,37,35,2023/07/Data_0706/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-311.hdf5,-1.8506271556458867e-07,3.073558366333413e-09,3.99400348687576e-06,3.073558366333413e-09,-0.0463351412117445,0.0007703688763182
-0.16,2.0398446879178724e-06,-2.245092785630078e-06,-5.28409510959165e-05,-3.1517868220406305e-05,2.038465652036304e-06,-2.2393770251633745e-06,8.672579504495807e-10,4.379267703152958e-09,35,35,2023/07/Data_0705/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-310.hdf5,-2.0091137312707077e-07,4.464316517508205e-09,4.277842677199678e-06,4.464316517508205e-09,-0.0469655824880847,0.0010447409503598
-0.14,2.1789386021413207e-06,-2.391007048575724e-06,-5.789716745713957e-05,-3.265651755040018e-05,2.178174582374176e-06,-2.3866471531285262e-06,1.1236595697985135e-09,3.5015879218187542e-09,35,35,2023/07/Data_0705/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-308.hdf5,-2.084725707543502e-07,3.6774622775803917e-09,4.564821735502703e-06,3.6774622775803917e-09,-0.0456693783095545,0.0008064488648918
-0.12,2.325876578367032e-06,-2.5249065891656625e-06,-6.061561379527856e-05,-3.052071263759766e-05,2.3238963302342583e-06,-2.5212746250944303e-06,1.4871820957921522e-09,3.879654934190761e-09,35,33,2023/07/Data_0705/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-306.hdf5,-1.9737829486017198e-07,4.154928759249123e-09,4.845170955328688e-06,4.154928759249123e-09,-0.0407371167457149,0.0008582514315657
-0.1,2.471384988044309e-06,-2.6509571134440247e-06,-5.999320512962048e-05,-2.878626916370648e-05,2.46978559635873e-06,-2.645334365110719e-06,1.629952944104238e-09,4.047349161529519e-09,35,33,2023/07/Data_0705/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-304.hdf5,-1.755487687519888e-07,4.363230664923386e-09,5.11511996146945e-06,4.363230664923386e-09,-0.0343195800048368,0.0008535087195216
-0.08,2.603955628482014e-06,-2.74941168701002e-06,-6.168049986173212e-05,-2.940328453802389e-05,2.6023906360115275e-06,-2.747263237059456e-06,1.497624997846253e-09,3.6308575452628757e-09,35,33,2023/07/Data_0704/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-301.hdf5,-1.4487260104792866e-07,3.927595593765522e-09,5.349653873070984e-06,3.927595593765522e-09,-0.0270807428826725,0.0007344466776396
-0.06,2.718421798594349e-06,-2.836701647513575e-06,-5.718349430336329e-05,-2.4915761995899343e-05,2.7167601970323053e-06,-2.832220630214956e-06,1.5932051550899507e-09,3.740679212822448e-09,35,33,2023/07/Data_0704/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-299.hdf5,-1.1546043318265073e-07,4.065831235977111e-09,5.548980827247261e-06,4.065831235977111e-09,-0.0208075026346645,0.0007328753554134
-0.04,2.8051380236000064e-06,-2.892805710076571e-06,-5.578602751201632e-05,-2.229281197444585e-05,2.8030899779886173e-06,-2.888010368346228e-06,1.5200222206940811e-09,3.6443404334247907e-09,35,31,2023/07/Data_0704/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-297.hdf5,-8.492039035761083e-08,3.948630743194223e-09,5.6911003463348455e-06,3.948630743194223e-09,-0.0149216118482783,0.0006939027725057
