VectorMagnet - Field Z,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-1.0,2.137264467377065e-07,-2.1452489208117146e-07,5.846875933568296e-05,6.267935202630496e-05,2.1449266389554282e-07,-2.152527429567267e-07,1.032841363510259e-09,1.0720626883033586e-09,52,53,2023/06/Data_0608/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-126.hdf5,-7.600790611838734e-10,1.4886502913142346e-09,4.297454068522695e-07,1.4886502913142346e-09,-0.0017686729143917535,0.0034640338115933932
-0.95,2.2060248547987322e-07,-2.209409146629995e-07,5.635905700198689e-05,6.154051408988213e-05,2.2105306166485575e-07,-2.210417040081064e-07,9.244286146670299e-10,8.48026319063594e-10,53,53,2023/06/Data_0608/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-125.hdf5,1.1357656749335463e-11,1.2544787369420625e-09,4.4209476567296215e-07,1.2544787369420625e-09,2.5690547889764532e-05,0.0028375788060880118
-0.9,2.386590556405166e-07,-2.389237057288843e-07,6.9011106181349e-05,7.455308164667285e-05,2.38421929579458e-07,-2.387375166889244e-07,7.485886478950607e-10,9.003387047062224e-10,53,51,2023/06/Data_0607/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-124.hdf5,-3.1558710946643365e-10,1.170894848801306e-09,4.771594462683824e-07,1.170894848801306e-09,-0.0006613871147987899,0.0024538864609140987
-0.85,2.697565234912316e-07,-2.693821111249239e-07,8.04599218559094e-05,8.56457989500232e-05,2.7004392764437174e-07,-2.7020019368142576e-07,8.24039904854836e-10,7.836117087716231e-10,51,49,2023/06/Data_0607/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-123.hdf5,-1.5626603705401575e-10,1.1371407454300237e-09,5.402441213257975e-07,1.1371407454300237e-09,-0.0002892507866083351,0.0021048647233947075
-0.8,3.105354248215779e-07,-3.09765409360303e-07,7.722916293801046e-05,8.096240700306859e-05,3.102585698441703e-07,-3.097766248895241e-07,1.572398041852763e-09,1.4797609620085e-09,49,47,2023/06/Data_0606/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-122.hdf5,4.819449546462326e-10,2.159196171427396e-09,6.200351947336944e-07,2.159196171427396e-09,0.000777286448801069,0.0034823778424707156
-0.75,3.488516452789184e-07,-3.474358876525896e-07,7.625398976843198e-05,8.109188767372195e-05,3.485098865589612e-07,-3.4701287997859775e-07,2.570004877732182e-09,2.197556963272233e-09,53,53,2023/06/Data_0606/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-121.hdf5,1.497006580363469e-09,3.381446684245293e-09,6.95522766537559e-07,3.381446684245293e-09,0.0021523473456028543,0.004861745264663519
-0.7,3.767711110622362e-07,-3.742391850869087e-07,7.338388235673672e-05,7.758100488023726e-05,3.770103266163116e-07,-3.741428196351074e-07,3.306187734080105e-09,2.690813538316929e-09,53,53,2023/06/Data_0606/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-120.hdf5,2.8675069812041615e-09,4.262787213897899e-09,7.51153146251419e-07,4.262787213897899e-09,0.003817473168440109,0.005675032176957779
-0.65,4.006602553392498e-07,-3.975931301690156e-07,6.568232607142072e-05,6.819808422220152e-05,4.021878065793623e-07,-3.993061947321228e-07,1.522529624268697e-09,1.5035916728743287e-09,51,49,2023/06/Data_0606/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-119.hdf5,2.8816118472394685e-09,2.1398327914846063e-09,8.014940013114852e-07,2.1398327914846063e-09,0.00359530057932347,0.002669822379053482
-0.6,4.436009567407777e-07,-4.394987610326615e-07,5.501800529062062e-05,5.742891820939408e-05,4.433625814904537e-07,-4.39473917555796e-07,1.1252663811938435e-09,1.1755348087497894e-09,51,53,2023/06/Data_0606/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-118.hdf5,3.888663934657696e-09,1.627300376460195e-09,8.828364990462497e-07,1.627300376460195e-09,0.004404738520506025,0.0018432814732466916
-0.55,5.268557993627019e-07,-5.225566559908234e-07,4.742503284159035e-05,5.0810342488543375e-05,5.269462629800734e-07,-5.228904670333666e-07,3.795867079471134e-09,3.7756135265609045e-09,57,57,2023/06/Data_0605/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-117.hdf5,4.055795946706852e-09,5.353864434869675e-09,1.04983673001344e-06,5.353864434869675e-09,0.003863263525419738,0.005099749546144747
-0.5,6.34748285812973e-07,-6.363407354889101e-07,4.453411582154097e-05,4.958369412034007e-05,6.360763477129622e-07,-6.378261527000832e-07,5.2235584067413475e-09,5.144674363421001e-09,57,59,2023/06/Data_0605/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-116.hdf5,-1.7498049871209234e-09,7.331659889430188e-09,1.2739025004130454e-06,7.331659889430188e-09,-0.0013735784226450401,0.0057552809602272655
