in-plane magnitude,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.3,5.780756788902591e-07,-5.837714764034832e-07,-1.9384348299851488e-05,-1.590294733771485e-05,5.782250542322528e-07,-5.839637169978568e-07,2.2982071354014502e-10,2.576761910374329e-10,35,35,2023/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-316.hdf5,-5.738662765604031e-09,3.452746440149653e-10,1.1621887712301097e-06,3.452746440149653e-10,-0.004937806067021271,0.00029709360627769304
-0.28,6.57200375333371e-07,-6.684493106324407e-07,-1.5777339747054645e-05,-1.1413085515536058e-05,6.574420191749856e-07,-6.690041318844587e-07,3.3265334235217164e-10,4.897270427035473e-10,35,37,2023/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-318.hdf5,-1.156211270947312e-08,5.920226537331431e-10,1.3264461510594443e-06,5.920226537331431e-10,-0.008716609189327706,0.0004463393734900676
-0.26,7.549153236418807e-07,-7.727021001424201e-07,-9.919673158552122e-06,-5.561214809417877e-06,7.549867204891436e-07,-7.72914207374876e-07,3.653986383331222e-10,4.5297304951693513e-10,35,37,2023/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-320.hdf5,-1.7927486885732442e-08,5.819800241282957e-10,1.5279009278640197e-06,5.819800241282957e-10,-0.011733409253697341,0.0003809278949780557
-0.24,8.663768900848584e-07,-8.96650897666547e-07,-1.4337384326030509e-05,-1.0058251364728127e-05,8.666005655597076e-07,-8.96671473657136e-07,3.3478319825034327e-10,4.1702260840609484e-10,35,35,2023/07/Data_0708/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-322.hdf5,-3.007090809742834e-08,5.347781275936328e-10,1.7632720392168436e-06,5.347781275936328e-10,-0.017054037850441,0.00030333146419550663
-0.22,9.905508348406334e-07,-1.046771372258404e-06,-1.402556211888043e-05,-9.46472536306188e-06,9.908306472835352e-07,-1.0474266453367984e-06,4.5339261500484256e-10,7.90589406186116e-10,35,37,2023/07/Data_0708/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-324.hdf5,-5.659599805326324e-08,9.11370655943368e-10,2.0382572926203336e-06,9.11370655943368e-10,-0.027766856646691946,0.00044730462840838635
-0.2,1.1191331767809583e-06,-1.215223201580836e-06,-1.4673738798566471e-05,-8.974359199182528e-06,1.1191795143371518e-06,-1.2152252226425571e-06,3.4762383776693684e-10,8.029761526567421e-10,35,37,2023/07/Data_0708/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-325.hdf5,-9.604570830540536e-08,8.7499316244142e-10,2.334404736979709e-06,8.7499316244142e-10,-0.041143554407652064,0.00037514207633332363
-0.18,1.2573856570048789e-06,-1.3982733108889498e-06,-1.6360945188464727e-05,-1.0591230618370132e-05,1.2571384991294978e-06,-1.3979322842869845e-06,3.9625990216012406e-10,1.1718072719286876e-09,35,35,2023/07/Data_0708/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-325.hdf5,-1.4079378515748672e-07,1.2369940147813587e-09,2.6550707834164825e-06,1.2369940147813587e-09,-0.053028260503215886,0.00046655328849840266
-0.16,1.407540257675662e-06,-1.588604066039699e-06,-1.3973024232836278e-05,-7.739780945003043e-06,1.406850047558214e-06,-1.5876697274773827e-06,5.738426389544943e-10,1.294489620705537e-09,35,35,2023/07/Data_0709/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-327.hdf5,-1.8081967991916876e-07,1.4159797853064935e-09,2.9945197750355967e-06,1.4159797853064935e-09,-0.06038353175243911,0.00047371832387209004
-0.14,1.568982079162847e-06,-1.7743187155709683e-06,-1.96815486910106e-05,-1.3125975375392152e-05,1.5694557497869235e-06,-1.7722318028029342e-06,5.764662638454914e-10,1.548412440337166e-09,35,35,2023/07/Data_0709/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-329.hdf5,-2.0277605301601067e-07,1.6522392195874293e-09,3.341687552589858e-06,1.6522392195874293e-09,-0.0606807338582137,0.0004953420378260242
-0.12,1.7536693522401855e-06,-1.9525345752298925e-06,-2.3094627468899355e-05,-1.892752538046525e-05,1.7535284882291976e-06,-1.951026621365976e-06,6.81265076429084e-10,2.006515392911457e-09,33,35,2023/07/Data_0709/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-331.hdf5,-1.9749813313677858e-07,2.1190153671817827e-09,3.704555109595174e-06,2.1190153671817827e-09,-0.053312240550893245,0.00057281495218111
