VectorMagnet - Field Y,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,datafile,delta,sigma,delta_err,sigma_err,eta,eta_err
-0.5,1.25432980859165e-07,-1.2458441612234157e-07,-1.130000797441393e-05,-2.8120195060257424e-05,1.231657027076393e-07,-1.2390246663318234e-07,1.0794888295303367e-09,1.2130999764765212e-09,19,25,2023/06/Data_0615/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-155.hdf5,-7.367639255430306e-10,2.470681693408217e-07,1.6238558082564203e-09,1.6238558082564203e-09,-0.0029820268936654,0.0065725302965131
-0.4,2.3530477238434765e-07,-2.361311192464664e-07,-8.048819658805408e-05,-8.597943118034845e-05,2.3510925612568642e-07,-2.3635124415270094e-07,4.1083155634359807e-10,5.48774760216598e-10,43,45,2023/06/Data_0615/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-154.hdf5,-1.241988027014516e-09,4.714605002783874e-07,6.855190042139514e-10,6.855190042139514e-10,-0.0026343416389732,0.0014540377878365
-0.3,5.051073418539261e-07,-5.060498137856115e-07,-0.0001156482186209,-0.0001211867934372,5.058976604004136e-07,-5.065751211105569e-07,8.07970213180226e-10,8.68372660533534e-10,43,43,2023/06/Data_0615/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-153.hdf5,-6.774607101432391e-10,1.0124727815109704e-06,1.1861226508875835e-09,1.1861226508875835e-09,-0.000669114985128,0.0011715109167081
-0.25,7.554778554817352e-07,-7.552943299709049e-07,-0.0001237574671856,-0.000125826148297,7.563357129379124e-07,-7.561721194139536e-07,1.081277015415796e-09,1.1530588680749943e-09,43,43,2023/06/Data_0615/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-152.hdf5,1.6359352395878528e-10,1.512507832351866e-06,1.5807291789907843e-09,1.5807291789907843e-09,0.0001081604474764,0.001045104795113
-0.2,1.0806734960017943e-06,-1.0805996052460089e-06,-0.0001267534770227,-0.0001248085219121,1.0816163638444536e-06,-1.0813177551188663e-06,9.383917139526882e-10,8.961100005045521e-10,43,43,2023/06/Data_0615/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-151.hdf5,2.9860872558732437e-10,2.16293411896332e-06,1.297533098544824e-09,1.297533098544824e-09,0.0001380572450031,0.0005998948833134
-0.15,1.5161674502492874e-06,-1.5197651627685827e-06,-0.000120777036315,-0.0001146626700329,1.515762971972404e-06,-1.5201031391071612e-06,8.65471044355386e-10,8.70443699117144e-10,35,35,2023/06/Data_0615/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-150.hdf5,-4.340167134757246e-09,3.035866111079565e-06,1.2274821228638483e-09,1.2274821228638483e-09,-0.0014296306147749,0.000404327243805
-0.1,2.1014043292216463e-06,-2.1184887829738904e-06,-0.0001149697404945,-9.978776854474572e-05,2.0988533262606683e-06,-2.116535892273008e-06,1.066186729328139e-09,1.788837736264342e-09,35,37,2023/06/Data_0614/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-149.hdf5,-1.768256601233992e-08,4.2153892185336765e-06,2.0824731903385382e-09,2.0824731903385382e-09,-0.0041947647288643,0.0004940211695646
-0.05,2.814556195965606e-06,-2.8408184538102225e-06,-8.913228812973439e-05,-6.485606128268282e-05,2.8084537082134363e-06,-2.830306669787739e-06,5.059409454912437e-09,6.6958704303184435e-09,35,39,2023/06/Data_0614/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-148.hdf5,-2.1852961574302842e-08,5.638760378001175e-06,8.392395656311151e-09,8.392395656311151e-09,-0.0038754903754305,0.0014883517152631
0.0,3.311609938680845e-06,-3.323253848577989e-06,-9.774026914324064e-05,-7.112989107381356e-05,3.3063204734712955e-06,-3.319874332547163e-06,5.927521950398294e-09,8.125004157184956e-09,19,23,2023/06/Data_0614/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-147.hdf5,-1.3553859075867664e-08,6.626194806018459e-06,1.0057395737800436e-08,1.0057395737800436e-08,-0.0020454966195012,0.0015178269085899
0.0,3.29053144675834e-06,-3.3007210208165703e-06,8.422632981200089e-05,0.0001100257226966,3.279922113301756e-06,-3.28703935368446e-06,7.770121435067533e-09,7.218694016334422e-09,41,43,2023/06/Data_0616/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-157.hdf5,-7.117240382704064e-09,6.566961466986216e-06,1.0605863020855884e-08,1.0605863020855884e-08,-0.0010837950578032,0.0016150344878766
