VectorMagnet - Field Y,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.3,-1.330774061633239e-06,1.26777310765482e-06,3.4080778828336844e-05,3.502365827183248e-05,-1.3298329076233167e-06,1.2672764471740804e-06,2.354810942106735e-09,1.5976944141308187e-09,45,45,2024/01/Data_0112/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-170.hdf5,-6.255646044923628e-08,2.845656692928792e-09,2.597109354797397e-06,2.845656692928792e-09,-0.02408695665189515,0.0010960193365087303
-0.275,-1.4563902965565344e-06,1.3780258362526554e-06,2.3865810748444643e-05,2.416814466316448e-05,-1.455662885319262e-06,1.3776198635604032e-06,2.140887715550429e-09,1.6241455739440682e-09,45,45,2024/01/Data_0112/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-172.hdf5,-7.804302175885875e-08,2.6872381837040127e-09,2.833282748879665e-06,2.6872381837040127e-09,-0.02754508768661316,0.0009488136819650411
-0.25,-1.5993159934299198e-06,1.5039741064051168e-06,2.6397534920945285e-05,2.732205280088754e-05,-1.5985629925904923e-06,1.5046450545166843e-06,3.0236458334275443e-09,2.5022022847894503e-09,61,63,2024/01/Data_0112/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-173.hdf5,-9.391793807380804e-08,3.92472297111647e-09,3.1032080471071766e-06,3.92472297111647e-09,-0.030264789420534895,0.0012653099437045972
-0.225,-1.758768809579249e-06,1.650051920303702e-06,2.748922941590672e-05,2.8664050223366053e-05,-1.7585179504112577e-06,1.6505333286892562e-06,2.0358361578203656e-09,2.591203584302191e-09,61,63,2024/01/Data_0112/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-173.hdf5,-1.0798462172200143e-07,3.295294353588054e-09,3.409051279100514e-06,3.295294353588054e-09,-0.03167585726387003,0.0009671157317243434
-0.2,-1.9433946828362734e-06,1.813694918203772e-06,3.05879321556299e-05,3.251727941830163e-05,-1.9433019053601988e-06,1.8139053472555328e-06,2.1728651771563592e-09,1.2391592954977402e-09,45,45,2024/01/Data_0112/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-175.hdf5,-1.2939655810466594e-07,2.501371391400564e-09,3.757207252615732e-06,2.501371391400564e-09,-0.03443955826886613,0.0006661475401214634
-0.19,-2.026487442199663e-06,1.885249989538569e-06,2.7753865637959293e-05,2.9459891518826665e-05,-2.026647769566096e-06,1.8848746515459864e-06,3.3014102522844542e-09,1.859689274488061e-09,53,53,2024/01/Data_0112/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-176.hdf5,-1.4177311802010958e-07,3.7891626847543555e-09,3.9115224211120824e-06,3.7891626847543555e-09,-0.03624499689811369,0.0009693542234440676
-0.18,-2.1159149020064264e-06,1.958103222996516e-06,2.7443663651211908e-05,2.895431194216417e-05,-2.1157182018199027e-06,1.958368044490804e-06,2.8708323054546143e-09,1.6036031285371404e-09,55,53,2024/01/Data_0112/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-176.hdf5,-1.5735015732909888e-07,3.288346259124176e-09,4.074086246310707e-06,3.288346259124176e-09,-0.03862219595169039,0.0008077388932349615
-0.17,-2.21148815841056e-06,2.0336196577655623e-06,2.61126975521664e-05,2.8833885981140307e-05,-2.21051297909638e-06,2.0332070538524395e-06,2.6438910354865636e-09,1.890900352638351e-09,53,55,2024/01/Data_0112/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-176.hdf5,-1.773059252439406e-07,3.2504867252665492e-09,4.2437200329488196e-06,3.2504867252665492e-09,-0.04178077815391055,0.0007666204514191106
-0.16,-2.313125528757769e-06,2.109683891240434e-06,2.5798127868652416e-05,2.8935384430837403e-05,-2.311480640861613e-06,2.1090567613191176e-06,2.586952482270384e-09,1.736582755375667e-09,55,55,2024/01/Data_0112/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-176.hdf5,-2.0242387954249525e-07,3.1157732285570856e-09,4.420537402180731e-06,3.1157732285570856e-09,-0.045791690268842854,0.0007055789678217825
-0.15,-2.4161949584796523e-06,2.188318406814633e-06,2.698515591743376e-05,3.0230897012645057e-05,-2.4150167872494315e-06,2.187636212119616e-06,3.098153683800714e-09,1.839174152907241e-09,53,55,2024/01/Data_0112/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-176.hdf5,-2.273805751298155e-07,3.602931835765146e-09,4.6026529993690475e-06,3.602931835765146e-09,-0.049402067712031705,0.0007837492312330213
-0.14,-2.520930470504461e-06,2.266944353075426e-06,2.5152205160390564e-05,2.890885035054565e-05,-2.5191104543844663e-06,2.267244376006297e-06,2.851477176129791e-09,1.4455872386487323e-09,55,55,2024/01/Data_0112/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-176.hdf5,-2.5186607837816935e-07,3.1969742805554745e-09,4.786354830390764e-06,3.1969742805554745e-09,-0.05262168963716522,0.0006688592075759674
-0.13,-2.625920264982336e-06,2.3482144957552044e-06,2.648994104112665e-05,3.0146269547766485e-05,-2.6238700844423883e-06,2.348534758635665e-06,2.453451946165546e-09,1.522816312975872e-09,53,53,2024/01/Data_0112/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-176.hdf5,-2.7533532580672335e-07,2.887628088104307e-09,4.972404843078053e-06,2.887628088104307e-09,-0.05537266865750282,0.0005816203057173536
-0.12,-2.728628647197891e-06,2.4338135489441587e-06,2.520589413310388e-05,2.871941231114029e-05,-2.726453869909104e-06,2.432915563977286e-06,3.373699925228627e-09,1.164179169508233e-09,53,53,2024/01/Data_0112/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-176.hdf5,-2.9353830593181773e-07,3.5689164075675018e-09,5.15936943388639e-06,3.5689164075675018e-09,-0.05689422122088757,0.0006928536506018167
