VectorMagnet - Field Y,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.3,-1.173307913293802e-06,1.1154241332178015e-06,-2.3172133159284934e-05,-2.1535864186477847e-05,-1.1722661697583134e-06,1.1159303958630103e-06,1.5404252647032274e-09,1.9004536391465197e-09,45,47,2024/01/Data_0110/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-135.hdf5,-5.6335773895303085e-08,2.4463511666727772e-09,2.2881965656213238e-06,2.4463511666727772e-09,-0.024620163644029417,0.001069441551483817
-0.275,-1.2862210990437737e-06,1.2186331931188875e-06,-3.574206209428324e-05,-3.516812292262512e-05,-1.2863381514231617e-06,1.218780618446917e-06,2.215941296655244e-09,1.4074927207247572e-09,45,45,2024/01/Data_0110/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-137.hdf5,-6.755753297624475e-08,2.6251536315262206e-09,2.5051187698700788e-06,2.6251536315262206e-09,-0.026967796413001385,0.001048296822056001
-0.25,-1.4237097728865736e-06,1.341259009433578e-06,-2.825911268696425e-05,-2.709494344220244e-05,-1.42322011185209e-06,1.3413788050827143e-06,1.9063153267827486e-09,1.7547070171413775e-09,47,45,2024/01/Data_0110/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-139.hdf5,-8.184130676937561e-08,2.5909524968883562e-09,2.7645989169348043e-06,2.5909524968883562e-09,-0.029603320130109717,0.0009375998563479454
-0.225,-1.590996452493362e-06,1.4930375377173306e-06,-2.1965858301908087e-05,-2.013545726158093e-05,-1.5910078591898416e-06,1.492753394544998e-06,1.7786292310675167e-09,1.6365600503787807e-09,45,43,2024/01/Data_0110/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-141.hdf5,-9.82544646448436e-08,2.416992085238101e-09,3.0837612537348396e-06,2.416992085238101e-09,-0.03186189090541447,0.0007841782862486213
-0.2,-1.8026155535346704e-06,1.692282636180887e-06,-1.5930188759478976e-05,-1.4937924239251436e-05,-1.80206420228506e-06,1.692351762851198e-06,2.025849189496196e-09,1.0914188885056107e-09,43,45,2024/01/Data_0110/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-143.hdf5,-1.0971243943386203e-07,2.3011432221331243e-09,3.494415965136258e-06,2.3011432221331243e-09,-0.03139650245662268,0.0006588446054001998
-0.19,-1.903143582321104e-06,1.782205107155364e-06,-2.137833246365218e-05,-1.976724107190272e-05,-1.902397777486815e-06,1.7827719692757973e-06,2.685591456948254e-09,1.4656160698915703e-09,55,55,2024/01/Data_0110/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-144.hdf5,-1.1962580821101762e-07,3.059482299010383e-09,3.685169746762612e-06,3.059482299010383e-09,-0.03246141058118362,0.0008306520565505556
-0.18,-2.0206076602738047e-06,1.8759658815626653e-06,-2.058858529228824e-05,-1.938518977317707e-05,-2.0193987592069263e-06,1.8760745534042967e-06,2.786397627572881e-09,1.8947965199126062e-09,55,55,2024/01/Data_0110/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-144.hdf5,-1.4332420580262957e-07,3.3696091154341187e-09,3.895473312611223e-06,3.3696091154341187e-09,-0.03679250101358188,0.0008655916171042355
-0.17,-2.155749756294567e-06,1.97071937608869e-06,-1.9150699134666373e-05,-1.745533200198728e-05,-2.154248618007268e-06,1.970880189787647e-06,3.001062037448141e-09,2.161695939604415e-09,55,55,2024/01/Data_0110/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-144.hdf5,-1.8336842821962087e-07,3.698554134782213e-09,4.1251288077949155e-06,3.698554134782213e-09,-0.04445156424524846,0.0008974765558675852
-0.16,-2.30815358971134e-06,2.065678540149917e-06,-1.9079566378038515e-05,-1.676985861937462e-05,-2.3067112862471934e-06,2.065909909674389e-06,3.2121092583828284e-09,1.5492486616505891e-09,53,55,2024/01/Data_0110/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-144.hdf5,-2.4080137657280455e-07,3.5662048880308076e-09,4.372621195921582e-06,3.5662048880308076e-09,-0.05507025781181413,0.0008168117722409347
-0.15,-2.4728422286735726e-06,2.1626370236241824e-06,-2.1062689804115232e-05,-1.711662657163301e-05,-2.470967513202472e-06,2.162357376812615e-06,3.822208333170219e-09,1.764917670112075e-09,53,55,2024/01/Data_0110/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-144.hdf5,-3.086101363898573e-07,4.210013173902156e-09,4.633324890015087e-06,4.210013173902156e-09,-0.0666066256339845,0.0009106509213416579
-0.14,-2.6458727352727982e-06,2.2594603556709094e-06,-2.106535238825026e-05,-1.5806495058789123e-05,-2.643592069811969e-06,2.259960618819177e-06,3.57961360374214e-09,1.6449665107382568e-09,53,55,2024/01/Data_0110/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-144.hdf5,-3.8363145099279204e-07,3.9394858006529465e-09,4.903552688631146e-06,3.9394858006529465e-09,-0.07823540917225974,0.0008058491507486895
-0.13,-2.821135678016464e-06,2.3611587968761166e-06,-2.2331958900186505e-05,-1.5778801225576625e-05,-2.818279939529096e-06,2.360779704806321e-06,3.960196665088902e-09,1.3667895766242614e-09,53,55,2024/01/Data_0110/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-144.hdf5,-4.57500234722775e-07,4.1894237518959564e-09,5.179059644335417e-06,4.1894237518959564e-09,-0.08833654488284656,0.0008120659031586698
-0.12,-2.995907285876504e-06,2.467387954104297e-06,-2.5608002289258568e-05,-1.7264921008776758e-05,-2.992060077706053e-06,2.4677607763522763e-06,4.067864293794607e-09,1.1805966100356695e-09,51,55,2024/01/Data_0110/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-144.hdf5,-5.242993013537766e-07,4.235720513484903e-09,5.4598208540583295e-06,4.235720513484903e-09,-0.09602866382768963,0.000779367248006844
-0.11,-3.1658105756694777e-06,2.5852930917737363e-06,-2.670718829098989e-05,-1.715322114732658e-05,-3.160455930121625e-06,2.5850278888792348e-06,4.5138832440151e-09,1.1178713712516098e-09,51,55,2024/01/Data_0110/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-144.hdf5,-5.754280412423903e-07,4.6502449766936194e-09,5.74548381900086e-06,4.6502449766936194e-09,-0.100153104485195,0.0008134231001726867
-0.1,-3.326300875923625e-06,2.720933620185084e-06,-2.5042451237037585e-05,-1.3823737470873854e-05,-3.323609067770465e-06,2.721155493565951e-06,4.911294523945016e-09,1.5115208631174027e-09,51,55,2024/01/Data_0110/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-144.hdf5,-6.024535742045141e-07,5.138629118799242e-09,6.044764561336417e-06,5.138629118799242e-09,-0.09966534975703333,0.0008543074706821576
-0.09,-3.480688157743854e-06,2.885708588311096e-06,-2.740523395718201e-05,-1.5712342601294615e-05,-3.475189917412549e-06,2.8854003825697265e-06,4.8652313925702085e-09,2.432931966204565e-09,51,55,2024/01/Data_0110/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-144.hdf5,-5.897895348428226e-07,5.439635507589701e-09,6.3605902999822755e-06,5.439635507589701e-09,-0.09272559731515266,0.0008588779170575579
-0.08,-3.6206468896404567e-06,3.0904559676769724e-06,-2.6463603672146515e-05,-1.5472684816500416e-05,-3.617785055067421e-06,3.086988551467614e-06,4.519990217750315e-09,2.413663260078624e-09,53,53,2024/01/Data_0110/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-144.hdf5,-5.307965035998067e-07,5.124068881427328e-09,6.704773606535035e-06,5.124068881427328e-09,-0.07916695398670104,0.0007666330608238737
-0.07,-3.7457587460716377e-06,3.320298643244723e-06,-2.995353070962964e-05,-1.994071595644153e-05,-3.744680725073189e-06,3.314939044847589e-06,3.531056022945638e-09,3.661648182573332e-09,51,53,2024/01/Data_0110/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-144.hdf5,-4.297416802255999e-07,5.086848144983616e-09,7.059619769920778e-06,5.086848144983616e-09,-0.060873204822817585,0.0007218893331132794
-0.06,-3.860670902667243e-06,3.5402491357660266e-06,-2.938614455271969e-05,-2.0545420797325547e-05,-3.858009753074455e-06,3.535011172571395e-06,3.769902133931599e-09,3.931831628844555e-09,51,53,2024/01/Data_0110/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-144.hdf5,-3.229985805030601e-07,5.447151738019096e-09,7.3930209256458505e-06,5.447151738019096e-09,-0.043689661337573335,0.0007374993306900956
-0.05,-3.955878062908646e-06,3.721713172684293e-06,-3.012126065782018e-05,-2.1758737244824543e-05,-3.95500673619468e-06,3.7197424832410543e-06,3.698037268864169e-09,3.7467639663798905e-09,51,53,2024/01/Data_0110/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-144.hdf5,-2.352642529536253e-07,5.264382191831358e-09,7.674749219435734e-06,5.264382191831358e-09,-0.03065432449021735,0.0006862576089211532
