VectorMagnet - Field Y,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.3,-9.532861348662662e-07,9.115214011542476e-07,-3.718023643973972e-05,-3.63657473431472e-05,-9.541439399985442e-07,9.142844083353492e-07,3.266757451470061e-09,2.8892764408414342e-09,39,39,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-3.9859531663195014e-08,4.361149229083604e-09,1.8684283483338933e-06,4.361149229083604e-09,-0.0213331871670317,0.002334658168843
-0.2875,-1.0018170402704903e-06,9.58369434790051e-07,-5.009783640287992e-05,-5.023693730484501e-05,-1.0024192049392256e-06,9.586937004115975e-07,3.925549030088281e-09,2.919801898843256e-09,41,41,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-4.3725504527628137e-08,4.892359176932508e-09,1.961112905350823e-06,4.892359176932508e-09,-0.0222962708614709,0.0024953051230858
-0.275,-1.0533450258844143e-06,1.00656785046414e-06,-4.824540057406078e-05,-4.869596838507277e-05,-1.0570590197889774e-06,1.0086959384584372e-06,4.341472555437698e-09,2.854406616649245e-09,41,41,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-4.8363081330540265e-08,5.1957695371128354e-09,2.0657549582474146e-06,5.1957695371128354e-09,-0.023411819072467,0.0025158808194645
-0.2625,-1.1173744858146712e-06,1.0631939792206488e-06,-4.734558589714019e-05,-4.758820529238592e-05,-1.1165837408966711e-06,1.0620314260201605e-06,3.313804786227488e-09,2.2586006388392447e-09,41,39,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-5.455231487651065e-08,4.010309091203476e-09,2.178615166916832e-06,4.010309091203476e-09,-0.0250399041119836,0.0018413376444784
-0.25,-1.1789959048517086e-06,1.1215307281781868e-06,-4.221564395173894e-05,-4.170695594351074e-05,-1.1821917352080964e-06,1.122359845574506e-06,3.482535844648723e-09,2.6087998020762302e-09,39,39,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-5.983188963359038e-08,4.351309264643939e-09,2.3045515807826026e-06,4.351309264643939e-09,-0.0259624866427472,0.0018887733108062
-0.2375,-1.2531094175168418e-06,1.1855734530559578e-06,-3.852127112870957e-05,-3.8591193755007525e-05,-1.2567671149672018e-06,1.1869912050592322e-06,3.4757875257479674e-09,2.992536335846564e-09,39,37,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-6.977590990796969e-08,4.5865425589987884e-09,2.443758320026434e-06,4.5865425589987884e-09,-0.0285527047974264,0.0018776045674614
-0.225,-1.3359176000989249e-06,1.2629775146804084e-06,-3.940683391898028e-05,-3.94283211299047e-05,-1.338524622786478e-06,1.2659509376251125e-06,2.87543930691435e-09,2.375335693625766e-09,39,39,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-7.25736851613656e-08,3.729660958473394e-09,2.6044755604115908e-06,3.729660958473394e-09,-0.0278649898906698,0.001432575792278
-0.2125,-1.4362132252451791e-06,1.3601588678423373e-06,-3.506773806222924e-05,-3.5163705228907046e-05,-1.4368619174473797e-06,1.358744937032521e-06,3.9475377390061426e-09,2.799181710747585e-09,39,39,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-7.811698041485866e-08,4.839263626902497e-09,2.7956068544799005e-06,4.839263626902497e-09,-0.0279427632285554,0.0017317000400934
-0.2,-1.5420727614633438e-06,1.4620930523710427e-06,-3.5912363559287646e-05,-3.494112886738231e-05,-1.5446896269345383e-06,1.4633014849928805e-06,3.105375902108687e-09,2.808417301523132e-09,39,39,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-8.13881419416578e-08,4.1869520218043835e-09,3.007991111927419e-06,4.1869520218043835e-09,-0.027057307988356,0.0013924523760106
-0.1875,-1.6686003211122789e-06,1.5810098940330757e-06,-3.4451117058196143e-05,-3.456030725495906e-05,-1.6704815321722914e-06,1.5798254184163838e-06,4.068040492486011e-09,3.710860328102938e-09,39,39,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-9.065611375590765e-08,5.506308910985115e-09,3.2503069505886752e-06,5.506308910985115e-09,-0.0278915545928634,0.0016947477158508
-0.175,-1.8195371457333608e-06,1.698685168476098e-06,-3.037421651819637e-05,-3.0615839184686094e-05,-1.821696881580276e-06,1.6989981271696823e-06,3.704488697715014e-09,2.679984752025309e-09,37,37,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-1.2269875441059378e-07,4.572259264585336e-09,3.5206950087499584e-06,4.572259264585336e-09,-0.0348507195612376,0.001299469303971
-0.1625,-1.999373955764939e-06,1.8182477257391635e-06,-3.33017150514195e-05,-3.291234438394307e-05,-2.000722075876778e-06,1.821342471741036e-06,3.705359840649016e-09,3.53179543839888e-09,37,39,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-1.7937960413574217e-07,5.118913025964559e-09,3.822064547617814e-06,5.118913025964559e-09,-0.046932646453484,0.0013407799652758
-0.15,-2.1998687050161387e-06,1.941125510178334e-06,-3.1374133854455536e-05,-2.995447469798407e-05,-2.198114857670816e-06,1.943973297294469e-06,4.046070827861451e-09,1.7697324646115303e-09,37,37,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-2.541415603763472e-07,4.416179586517225e-09,4.142088154965285e-06,4.416179586517225e-09,-0.0613559033193674,0.0010681772260857
-0.1375,-2.41133384663268e-06,2.0692826542922588e-06,-2.951875804101112e-05,-2.822920564904764e-05,-2.408302853315044e-06,2.0701435598695768e-06,5.790662101666311e-09,2.965653020587925e-09,37,37,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-3.3815929344546737e-07,6.505910037358093e-09,4.478446413184621e-06,6.505910037358093e-09,-0.0755081700765517,0.0014568512704612
-0.125,-2.625895501027353e-06,2.2028107364821645e-06,-3.2497133968057206e-05,-2.954887463795131e-05,-2.6220193939974685e-06,2.20142063098205e-06,7.015426843911444e-09,2.3049228565570496e-09,37,37,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-4.2059876301541865e-07,7.384367486586268e-09,4.823440024979518e-06,7.384367486586268e-09,-0.0871989204462441,0.0015367431466018
-0.1125,-2.8504527456982834e-06,2.34795652711995e-06,-3.359409741655937e-05,-2.9641819737572136e-05,-2.8372314036828744e-06,2.3489271462470127e-06,8.214283748081962e-09,2.521829669823875e-09,35,37,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-4.883042574358617e-07,8.592676089415186e-09,5.186158549929887e-06,8.592676089415186e-09,-0.0941552890708409,0.0016641758903489
-0.1,-3.049328573048543e-06,2.525490575587533e-06,-3.358792394302103e-05,-3.0048839289964656e-05,-3.043753469473557e-06,2.5274936462697783e-06,8.864307829862057e-09,2.984744541430094e-09,37,39,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-5.162598232037789e-07,9.353323114281389e-09,5.571247115743336e-06,9.353323114281389e-09,-0.0926650375541451,0.0016860488650525
-0.0875,-3.252220648036172e-06,2.76140616577898e-06,-3.553061623533294e-05,-3.2349724023437285e-05,-3.2417813757504427e-06,2.761935577206865e-06,8.910871220414922e-09,3.4326133680613646e-09,37,37,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-4.798457985435778e-07,9.54916019560948e-09,6.003716952957308e-06,9.54916019560948e-09,-0.079924786978376,0.0015956134507125
-0.075,-3.4428375022684563e-06,3.0831465968729583e-06,-3.841366954663657e-05,-3.726809654158104e-05,-3.431099177203149e-06,3.067030989287497e-06,9.502604249719233e-09,8.663182850551919e-09,37,35,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-3.640681879156519e-07,1.2858857827539697e-08,6.498130166490646e-06,1.2858857827539697e-08,-0.0560266074374852,0.0019819584308552
-0.0625,-3.613148693925764e-06,3.406061945444997e-06,-3.8546766081925e-05,-3.8715222234202806e-05,-3.599228956947004e-06,3.3932983244991515e-06,1.095348779018621e-08,1.3771130934542708e-08,37,35,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-2.0593063244785237e-07,1.7596105875621392e-08,6.992527281446155e-06,1.7596105875621392e-08,-0.0294501006802311,0.0025175067809892
-0.05,-3.7440503233595686e-06,3.657695369482712e-06,-4.041391593327724e-05,-4.095135737443538e-05,-3.741597040413347e-06,3.654124970904013e-06,9.329368850969422e-09,9.092772451299934e-09,37,37,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-8.747206950933428e-08,1.30274953083299e-08,7.39572201131736e-06,1.30274953083299e-08,-0.0118273874241729,0.0017616138689035
-0.0375,-3.852842218924821e-06,3.830044580629452e-06,-4.042585560951825e-05,-4.122533209461112e-05,-3.852352703303131e-06,3.824177602955235e-06,7.66462059178104e-09,6.539652412456135e-09,37,37,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-2.81751003478958e-08,1.007538894989654e-08,7.676530306258366e-06,1.007538894989654e-08,-0.0036702910330368,0.0013125014050187
-0.025,-3.9405977640542406e-06,3.9186559801563e-06,-4.38555103356181e-05,-4.5234370715303386e-05,-3.935117004526615e-06,3.921216730821185e-06,6.938424766811033e-09,7.881210695709722e-09,37,39,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-1.3900273705429814e-08,1.0500248581574915e-08,7.856333735347799e-06,1.0500248581574915e-08,-0.0017693079461337,0.0013365350009984
-0.0125,-3.984262946148877e-06,3.966338714943342e-06,-4.3589510973476136e-05,-4.452726746002601e-05,-3.9785137087373865e-06,3.972426884540107e-06,7.280448363107473e-09,6.527741527734008e-09,37,39,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-6.0868241972793645e-09,9.778360691893985e-09,7.950940593277494e-06,9.778360691893985e-09,-0.0007655476890904,0.0012298373308851
0.0,-3.985398013500482e-06,4.006749536428926e-06,-4.910305456875494e-05,-5.046020503204923e-05,-3.990588554146472e-06,3.997765612532917e-06,7.938716563850837e-09,7.081150803723488e-09,39,39,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,7.177058386445346e-09,1.0637947047538517e-08,7.988354166679388e-06,1.0637947047538517e-08,0.0008984401838844,0.0013316824866576
0.0125,-3.9667471918995535e-06,4.006899718349364e-06,-5.439994654224281e-05,-5.584720360446184e-05,-3.973072387871574e-06,3.998183264847796e-06,8.737253035879605e-09,9.0196573601975e-09,39,39,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,2.511087697622161e-08,1.255761957969552e-08,7.97125565271937e-06,1.255761957969552e-08,0.0031501783495872,0.001575370611003
