angle-from-z,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
0.0,-3.849265529586574e-06,3.895758396720495e-06,-5.64997831079927e-05,-6.686199828039945e-06,-3.846973575030188e-06,3.895927937523578e-06,1.3405691729339595e-09,1.3112484469552912e-09,17,17,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-143.hdf5,4.895436249338919e-08,1.875232838093313e-09,7.742901512553766e-06,1.875232838093313e-09,0.0063224829108336,0.0002421921956207
15.0,-3.845644347216601e-06,3.890733558060565e-06,-6.608560948742993e-05,-1.6175144234544674e-05,-3.845451712175081e-06,3.891230291274119e-06,1.478791116496241e-09,1.521501928789967e-09,17,19,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-143.hdf5,4.577857909903845e-08,2.1217425116021475e-09,7.7366820034492e-06,2.1217425116021475e-09,0.0059170816480022,0.0002742493039525
30.0,-3.8306861518998114e-06,3.871297097341518e-06,-7.267472409123896e-05,-2.30455413160898e-05,-3.829405769120795e-06,3.873150766008985e-06,1.8893415166227487e-09,1.343420615896918e-09,15,19,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-143.hdf5,4.374499688819056e-08,2.318273132668194e-09,7.70255653512978e-06,2.318273132668194e-09,0.0056792828054787,0.0003009793578116
45.0,-3.806025646881046e-06,3.846451783798663e-06,-7.360331851056892e-05,-2.4452332157476463e-05,-3.807671656906051e-06,3.846474634983611e-06,1.4030434472274583e-09,1.6317674392181994e-09,15,21,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-143.hdf5,3.88029780775598e-08,2.152021349917474e-09,7.654146291889662e-06,2.152021349917474e-09,0.0050695370323239,0.0002811612061446
60.0,-3.7864498543441314e-06,3.815780557558777e-06,-6.70835455995497e-05,-1.8655357036090946e-05,-3.7865602256172434e-06,3.815333956068068e-06,1.9619512726268513e-09,2.2308626836428362e-09,17,19,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-143.hdf5,2.8773730450824647e-08,2.970858648510938e-09,7.601894181685311e-06,2.970858648510938e-09,0.003785073793864,0.0003908078511559
75.0,-3.771029436415368e-06,3.785712264081543e-06,-7.591985696387127e-05,-2.7974382995590653e-05,-3.773102358359823e-06,3.78633902058076e-06,1.2332222943135954e-09,2.1073441937259397e-09,15,21,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-143.hdf5,1.3236662220936626e-08,2.441666803235552e-09,7.559441378940583e-06,2.441666803235552e-09,0.0017510106312632,0.0003229961612185
90.0,-3.7757517504108127e-06,3.7666313293539214e-06,-8.374987625082116e-05,-3.547964317592615e-05,-3.77511954252118e-06,3.766519629253902e-06,1.450581394092927e-09,2.484668918143933e-09,13,21,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-143.hdf5,-8.599913267277661e-09,2.877110705843472e-09,7.541639171775082e-06,2.877110705843472e-09,-0.0011403241485568,0.0003814969810834
105.0,-3.79095231368124e-06,3.765853106210796e-06,-7.549979802874392e-05,-2.8497201804006684e-05,-3.790976620975499e-06,3.763534004216118e-06,1.474636416547241e-09,2.5930921231422736e-09,17,23,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-144.hdf5,-2.744261675938108e-08,2.983065423370696e-09,7.554510625191618e-06,2.983065423370696e-09,-0.0036326134306926,0.000394874698494
120.0,-3.816037771525238e-06,3.771752372570616e-06,-7.138296034988035e-05,-2.365406370112054e-05,-3.81572206619528e-06,3.7727437703119263e-06,1.735597412697115e-09,1.6735730026274091e-09,17,21,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-144.hdf5,-4.2978295883353714e-08,2.411046447931736e-09,7.588465836507206e-06,2.411046447931736e-09,-0.0056636343642202,0.0003177302459865
135.0,-3.8457258389958204e-06,3.79136648664662e-06,-6.223617974774645e-05,-1.3628076192894292e-05,-3.8445884023739766e-06,3.792848241716559e-06,1.969825863999785e-09,1.7342858113137152e-09,19,19,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-144.hdf5,-5.17401606574177e-08,2.6244925623454476e-09,7.637436644090535e-06,2.6244925623454476e-09,-0.0067745453178261,0.0003436431500253
150.0,-3.875725925392141e-06,3.816558819949216e-06,-5.348773547175212e-05,-4.6443539429566966e-06,-3.874956474535421e-06,3.8185774626040894e-06,1.666445573660094e-09,2.015275122193324e-09,21,19,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-144.hdf5,-5.637901193133158e-08,2.615028617071453e-09,7.69353393713951e-06,2.615028617071453e-09,-0.0073281033647189,0.0003399086625796
165.0,-3.900448011486675e-06,3.840782416224463e-06,-6.305045053749964e-05,-1.3826066165938172e-05,-3.898415334181816e-06,3.841083887699987e-06,2.07432314185359e-09,1.7251495866056991e-09,19,19,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-144.hdf5,-5.733144648182898e-08,2.697954334860981e-09,7.739499221881803e-06,2.697954334860981e-09,-0.0074076429027522,0.0003486050297512
180.0,-3.910729888002358e-06,3.850896769343667e-06,-5.589082475985375e-05,-6.231332307147509e-06,-3.909563682297259e-06,3.852765836382669e-06,1.5575349029917812e-09,2.079808639755887e-09,19,19,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-144.hdf5,-5.6797845914590333e-08,2.5983685173663976e-09,7.762329518679929e-06,2.5983685173663976e-09,-0.0073171134744933,0.0003347497769454
195.0,-3.905784852709886e-06,3.851131406547019e-06,-5.415755966360592e-05,-4.948351566861456e-06,-3.905354990354405e-06,3.851800241501066e-06,1.705780685805537e-09,1.147320272459164e-09,21,19,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-144.hdf5,-5.3554748853338655e-08,2.055731391904832e-09,7.75715523185547e-06,2.055731391904832e-09,-0.0069039160945769,0.0002650173062321
210.0,-3.885941165878236e-06,3.835866880662481e-06,-4.7589197966383095e-05,1.9155050474781365e-06,-3.888472903773188e-06,3.8361615851504336e-06,2.0376244009095736e-09,2.494675229756765e-09,21,17,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-144.hdf5,-5.2311318622754816e-08,3.221073998085742e-09,7.724634488923623e-06,3.221073998085742e-09,-0.006772012151224,0.0004169967991785
225.0,-3.856261816176841e-06,3.812426316527541e-06,-4.0527972384446726e-05,7.960206319639857e-06,-3.858688005381101e-06,3.812801146316348e-06,2.2629294927558347e-09,1.8546513815493163e-09,23,17,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-144.hdf5,-4.588685906475285e-08,2.925847165568797e-09,7.671489151697449e-06,2.925847165568797e-09,-0.0059814800174226,0.0003813991583477
240.0,-3.8257058717870896e-06,3.790705360379358e-06,-3.079226576459708e-05,1.717357082382377e-05,-3.825123412437506e-06,3.791053687129629e-06,2.139947967249952e-09,1.384415128467684e-09,23,15,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-144.hdf5,-3.406972530787699e-08,2.5487217483411948e-09,7.616177099567134e-06,2.5487217483411948e-09,-0.0044733368017155,0.0003346491574185
255.0,-3.7973367705994095e-06,3.7764809838829695e-06,-4.470184064920471e-05,2.7232453193047504e-06,-3.796644813505615e-06,3.777685258917949e-06,2.480573774254877e-09,1.245271381279882e-09,21,17,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-144.hdf5,-1.895955458766614e-08,2.775598505287785e-09,7.574330072423564e-06,2.775598505287785e-09,-0.0025031328720006,0.000366449200686
270.0,-3.775963952899992e-06,3.780685456478792e-06,-4.401052167331565e-05,3.4882656626841022e-06,-3.776418653915968e-06,3.779273041470892e-06,2.7312575846092397e-09,1.431051077148455e-09,23,17,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-144.hdf5,2.8543875549241406e-09,3.083451828534581e-09,7.55569169538686e-06,3.083451828534581e-09,0.000377779781124,0.0004080965943129
