angle-from-z,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
0.0,-3.7878252837486783e-06,3.791027089676101e-06,-5.877791283851112e-05,-1.3574569239907788e-05,-3.786996813595116e-06,3.790930973743727e-06,1.4885713654862219e-09,1.6402472657281223e-09,19,21,-2.2,2024/07/Data_0704/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-150.hdf5,3.9341601486109905e-09,2.2150069532338035e-09,7.577927787338844e-06,2.2150069532338035e-09,0.0005191604168073,0.000292297223449
15.0,-3.783825637341888e-06,3.785964248080269e-06,-6.499980833452733e-05,-1.9121219425977217e-05,-3.782477765015385e-06,3.7871343975685576e-06,1.3660819816616791e-09,1.1268952084471567e-09,17,21,-2.2,2024/07/Data_0704/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-150.hdf5,4.656632553172603e-09,1.7708960419634632e-09,7.569612162583943e-06,1.7708960419634632e-09,0.0006151745232325,0.0002339480991913
30.0,-3.761890878773688e-06,3.767949502566836e-06,-7.311509748575157e-05,-2.7497623053881235e-05,-3.7620195874778025e-06,3.768189243575062e-06,1.3842013724878228e-09,1.5743722786893386e-09,15,23,-2.2,2024/07/Data_0704/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-150.hdf5,6.1696560972593715e-09,2.096344797857126e-09,7.530208831052864e-06,2.096344797857126e-09,0.0008193207168195,0.0002783914162959
45.0,-3.7325124541774e-06,3.738332812931047e-06,-6.919886271341131e-05,-2.4798574169229155e-05,-3.732480042138985e-06,3.738068979666608e-06,1.5940834064575108e-09,2.322743714209757e-09,17,23,-2.2,2024/07/Data_0704/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-150.hdf5,5.5889375276227465e-09,2.817133342361365e-09,7.470549021805592e-06,2.817133342361365e-09,0.0007481294227919,0.0003770986740746
60.0,-3.700266014170057e-06,3.7058915373021583e-06,-7.377365715193637e-05,-2.9792754981803548e-05,-3.700230743156352e-06,3.706046015493413e-06,1.1245275684993802e-09,2.235824281371757e-09,15,23,-2.2,2024/07/Data_0704/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-150.hdf5,5.815272337061022e-09,2.5026930434007803e-09,7.406276758649765e-06,2.5026930434007803e-09,0.0007851816137264,0.000337915243573
75.0,-3.680038378933182e-06,3.678676671315083e-06,-7.455667546719994e-05,-3.098635145313925e-05,-3.6792216107068673e-06,3.677723449348902e-06,1.429708027420748e-09,2.810165840840137e-09,15,23,-2.2,2024/07/Data_0704/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-150.hdf5,-1.498161357965341e-09,3.1529505382571543e-09,7.35694506005577e-06,3.1529505382571543e-09,-0.0002036390574804,0.0004285679147925
90.0,-3.6728816462179138e-06,3.663230580380448e-06,-6.79935719517635e-05,-2.4553855780927453e-05,-3.67241195094128e-06,3.663201856414464e-06,1.1530595693877572e-09,2.753152240037393e-09,17,23,-2.2,2024/07/Data_0704/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-150.hdf5,-9.21009452681578e-09,2.984860738356078e-09,7.335613807355744e-06,2.984860738356078e-09,-0.0012555315436017,0.0004069002498425
105.0,-3.6829799823944062e-06,3.665550765392592e-06,-7.399220726597296e-05,-3.0457893509520167e-05,-3.6833676855734953e-06,3.665474537546525e-06,1.227103618962568e-09,2.209630408062741e-09,15,23,-2.2,2024/07/Data_0704/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-150.hdf5,-1.789314802697037e-08,2.527498730347168e-09,7.34884222312002e-06,2.527498730347168e-09,-0.0024348254437518,0.0003439325740814
120.0,-3.7055877596068257e-06,3.68520995848264e-06,-7.306261758380215e-05,-2.9577007757631222e-05,-3.706286578534992e-06,3.683541927256192e-06,1.336173434148644e-09,2.083939357613797e-09,15,23,-2.2,2024/07/Data_0704/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-150.hdf5,-2.274465127880014e-08,2.4755126120333916e-09,7.389828505791184e-06,2.4755126120333916e-09,-0.0030778320851391,0.0003349907694601
135.0,-3.7356388776715575e-06,3.713236882976214e-06,-6.713904603047947e-05,-2.3389113314198044e-05,-3.735498211484028e-06,3.713836278059047e-06,1.4536155650337494e-09,1.6388029150277342e-09,17,23,-2.2,2024/07/Data_0704/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-150.hdf5,-2.166193342498101e-08,2.1905874109954583e-09,7.449334489543075e-06,2.1905874109954583e-09,-0.0029079018341019,0.000294066090835
