angle-from-z,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
0.0,-3.6828577771494352e-06,3.6789268062102112e-06,-6.749814492135082e-05,-1.6238269893999842e-05,-3.682188210701453e-06,3.678441195066272e-06,1.0357057534059458e-09,1.633640660743397e-09,17,21,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-153.hdf5,-3.747015635180731e-09,1.9342875215624748e-09,7.3606294057677245e-06,1.9342875215624748e-09,-0.0005090618517275986,0.00026278836571723614
15.0,-3.678188314869556e-06,3.67490240758125e-06,-6.887456407068756e-05,-1.727271761270633e-05,-3.6776130748531777e-06,3.6753913345987575e-06,1.6119761728336186e-09,1.1726880111264734e-09,17,21,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-153.hdf5,-2.221740254420151e-09,1.993405215510154e-09,7.353004409451935e-06,1.993405215510154e-09,-0.00030215407617112405,0.0002711007903033171
30.0,-3.657118224717151e-06,3.6584666769774015e-06,-7.341102637882502e-05,-2.202446058014797e-05,-3.656967376196428e-06,3.657515725595936e-06,1.0333358221465542e-09,1.633390669106934e-09,17,21,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-153.hdf5,5.483493995079416e-10,1.9328083193262833e-09,7.314483101792363e-06,1.9328083193262833e-09,7.496762134477724e-05,0.00026424400711022117
45.0,-3.6247229300330505e-06,3.631009074047055e-06,-8.326842481042921e-05,-3.296445549805102e-05,-3.625788725682626e-06,3.630521491999276e-06,1.3345136906507135e-09,1.688259809097825e-09,15,23,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-153.hdf5,4.732766316649918e-09,2.1520102168784454e-09,7.256310217681902e-06,2.1520102168784454e-09,0.0006522276714572225,0.0002965709306870644
60.0,-3.5935519369067423e-06,3.600739172936308e-06,-7.461779239867132e-05,-2.481338625564268e-05,-3.5946031639440136e-06,3.60029088615684e-06,5.697783592292225e-10,2.0266419284103653e-09,17,21,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-153.hdf5,5.687722212826281e-09,2.105213738468574e-09,7.194894050100853e-06,2.105213738468574e-09,0.0007905220248165508,0.0002925983873576825
75.0,-3.5711125620218124e-06,3.575852670625454e-06,-7.606175205102963e-05,-2.640767082551325e-05,-3.571596561790338e-06,3.575634218713265e-06,8.8101093867693e-10,1.7426599538289287e-09,17,21,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-153.hdf5,4.037656922926777e-09,1.9527017152518326e-09,7.147230780503603e-06,1.9527017152518326e-09,0.0005649260597462168,0.0002732109941339056
90.0,-3.565757053982596e-06,3.5633901928185142e-06,-7.324564821366961e-05,-2.401568284887851e-05,-3.565153019866227e-06,3.5627874351042908e-06,1.2583802311922162e-09,2.2250757337410928e-09,17,21,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-153.hdf5,-2.365584761936056e-09,2.5562634502607194e-09,7.127940454970518e-06,2.5562634502607194e-09,-0.0003318749331423589,0.0003586258340938902
105.0,-3.5755507598669987e-06,3.567900121107597e-06,-7.286261736153934e-05,-2.3856193579268995e-05,-3.574231953193912e-06,3.566911700867912e-06,7.927810520194477e-10,1.8998909017189463e-09,17,21,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-153.hdf5,-7.320252325999797e-09,2.058661515372426e-09,7.141143654061824e-06,2.058661515372426e-09,-0.0010250812307684215,0.0002882819190751376
120.0,-3.597894585718765e-06,3.586289521575252e-06,-6.902383309075557e-05,-1.994077276780186e-05,-3.5965919161121644e-06,3.586168510300174e-06,1.428090254509096e-09,1.636646110752028e-09,17,21,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-153.hdf5,-1.0423405811990374e-08,2.1721077935644893e-09,7.1827604264123385e-06,2.1721077935644893e-09,-0.0014511699114537612,0.0003024060321837467
135.0,-3.623633759836028e-06,3.615600329320049e-06,-6.390495884436384e-05,-1.4051481848099705e-05,-3.623612304916419e-06,3.6158553975909337e-06,8.73587782940726e-10,9.314215085459e-10,19,19,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-153.hdf5,-7.756907325485342e-09,1.2769892877723028e-09,7.239467702507353e-06,1.2769892877723028e-09,-0.001071474816138592,0.00017639280583555572
