angle-from-z,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
0.0,-1.3991996539822624e-06,1.3778156282629003e-06,-5.622944907083739e-05,-1.5252624202107636e-05,-1.3980084558655157e-06,1.3761341225325914e-06,1.6929791255860064e-09,1.533332570068972e-09,19,21,-5.0,2024/06/Data_0628/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-128.hdf5,-2.1874333332924303e-08,2.284138150398149e-09,2.774142578398107e-06,2.284138150398149e-09,-0.007885078980171,0.0008233928474409
15.0,-1.3984370618801182e-06,1.3759091539881297e-06,-6.018513593663916e-05,-1.9341009434153145e-05,-1.3985160827779292e-06,1.3763354386099102e-06,1.317510918252818e-09,1.0094455448340332e-09,19,21,-5.0,2024/06/Data_0628/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-128.hdf5,-2.2180644168019e-08,1.6597636360942067e-09,2.77485152138784e-06,1.6597636360942067e-09,-0.0079934526215389,0.0005981641352659
30.0,-1.3928449233968189e-06,1.37145779059425e-06,-5.875497053650188e-05,-1.7950742043273835e-05,-1.392388271301613e-06,1.3721063678129266e-06,1.3251187083692675e-09,9.177939590349891e-10,17,21,-5.0,2024/06/Data_0628/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-128.hdf5,-2.0281903488686492e-08,1.6119197692538407e-09,2.76449463911454e-06,1.6119197692538407e-09,-0.0073365682109561,0.0005830950535556
45.0,-1.3842048834334706e-06,1.365810767990003e-06,-6.418850209812029e-05,-2.417089103944248e-05,-1.383752664889948e-06,1.3652126550607603e-06,1.4922062147747004e-09,8.069087042416187e-10,17,21,-5.0,2024/06/Data_0628/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-128.hdf5,-1.8540009829187752e-08,1.6964023828069587e-09,2.7489653199507084e-06,1.6964023828069587e-09,-0.0067443593029831,0.0006171198129201
60.0,-1.3757518759431236e-06,1.358600445743543e-06,-7.237522285981902e-05,-3.130925289582856e-05,-1.3744035355487405e-06,1.358035002924341e-06,1.7521505298209351e-09,1.5567260628400451e-09,15,23,-5.0,2024/06/Data_0628/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-128.hdf5,-1.6368532624399392e-08,2.343806202286625e-09,2.7324385384730816e-06,2.343806202286625e-09,-0.0059904486025681,0.0008577862679092
75.0,-1.3691841411700316e-06,1.3534571743379472e-06,-7.054358337881336e-05,-2.8740412086101885e-05,-1.3678757706571591e-06,1.3521511918673071e-06,1.7896602138121827e-09,1.4754359186206615e-09,17,23,-5.0,2024/06/Data_0628/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-128.hdf5,-1.5724578789851998e-08,2.319438473177994e-09,2.7200269625244663e-06,2.319438473177994e-09,-0.0057810378376756,0.0008527405290793
90.0,-1.365849987425565e-06,1.3507681378023818e-06,-6.762232852729293e-05,-2.6662713186454188e-05,-1.3648261304706549e-06,1.3502962973545803e-06,1.6055387466700143e-09,1.1018658497994279e-09,17,23,-5.0,2024/06/Data_0628/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-128.hdf5,-1.4529833116074576e-08,1.9472706586432547e-09,2.715122427825235e-06,1.9472706586432547e-09,-0.0053514467587793,0.000717204690823
105.0,-1.367846438959989e-06,1.3530028778124191e-06,-6.448293046509925e-05,-2.421473694707977e-05,-1.3655452995653824e-06,1.3519384595187003e-06,1.70954078639485e-09,1.67256832672642e-09,17,23,-5.0,2024/06/Data_0628/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-129.hdf5,-1.3606840046682104e-08,2.391655181650553e-09,2.7174837590840827e-06,2.391655181650553e-09,-0.005007146777307,0.0008801101955739
120.0,-1.3708103615218666e-06,1.358126879952072e-06,-6.413522603527052e-05,-2.324346052866971e-05,-1.3698259885250764e-06,1.356588956701148e-06,1.1301184420760187e-09,1.2834145477758183e-09,17,23,-5.0,2024/06/Data_0628/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-129.hdf5,-1.3237031823928332e-08,1.7100645001177402e-09,2.7264149452262245e-06,1.7100645001177402e-09,-0.0048551053635858,0.0006272283160179
135.0,-1.378743354145316e-06,1.365718594941656e-06,-5.8254441280641336e-05,-1.7347710978157738e-05,-1.377854027213726e-06,1.3655546851180962e-06,9.197902723688403e-10,8.339830021504632e-10,19,21,-5.0,2024/06/Data_0628/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-129.hdf5,-1.2299342095629827e-08,1.2415884153052672e-09,2.7434087123318223e-06,1.2415884153052672e-09,-0.0044832335919702,0.0004525759822961
150.0,-1.3838887228297587e-06,1.3754156471049128e-06,-5.333103175547599e-05,-1.2478208212159478e-05,-1.3832629055881945e-06,1.373877980475974e-06,1.7440872484881044e-09,1.372764380863976e-09,19,21,-5.0,2024/06/Data_0628/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-129.hdf5,-9.384925112220557e-09,2.2195320172747372e-09,2.7571408860641684e-06,2.2195320172747372e-09,-0.0034038612824089,0.0008050168515169
165.0,-1.391072748933188e-06,1.3829520760312176e-06,-4.745353117868581e-05,-7.401726366314828e-06,-1.3904174070186974e-06,1.382609120400133e-06,1.1448711067873304e-09,1.0079274393056688e-09,21,19,-5.0,2024/06/Data_0628/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-129.hdf5,-7.808286618564383e-09,1.5253352333378161e-09,2.7730265274188304e-06,1.5253352333378161e-09,-0.0028157994672457,0.0005500637174678
180.0,-1.3940500205769189e-06,1.3879361796343692e-06,-5.335186295947966e-05,-1.3568235957279433e-05,-1.3928010670074166e-06,1.386960463219787e-06,1.468668907201144e-09,9.848778649472403e-10,19,21,-5.0,2024/06/Data_0628/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-129.hdf5,-5.840603787629701e-09,1.7683248479401164e-09,2.7797615302272035e-06,1.7683248479401164e-09,-0.0021011168490961,0.000636144047614
195.0,-1.3937787865492024e-06,1.3860751810277764e-06,-4.898560522881955e-05,-8.088825903008486e-06,-1.3925098912898447e-06,1.3853523430409614e-06,1.6323284168233155e-09,1.1876799247138652e-09,21,19,-5.0,2024/06/Data_0628/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-129.hdf5,-7.1575482488833395e-09,2.018682655579436e-09,2.7778622343308063e-06,2.018682655579436e-09,-0.0025766390285397,0.0007267060733632
210.0,-1.385588991539027e-06,1.3807617021998595e-06,-3.985575133948365e-05,7.415826246404967e-07,-1.3871933629618257e-06,1.3790602574433608e-06,1.7088020136724594e-09,1.5609657173627255e-09,23,19,-5.0,2024/06/Data_0628/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-129.hdf5,-8.133105518464944e-09,2.314436927788869e-09,2.7662536204051867e-06,2.314436927788869e-09,-0.0029401156345431,0.0008366719934915
225.0,-1.383480031842738e-06,1.3733322263475902e-06,-4.403963574694097e-05,-4.065320230393735e-06,-1.3819948037490318e-06,1.3728717607459657e-06,1.6506735038242302e-09,9.4559669486378e-10,21,19,-5.0,2024/06/Data_0628/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-130.hdf5,-9.123043003066146e-09,1.902334388472401e-09,2.754866564494997e-06,1.902334388472401e-09,-0.003311609760213,0.0006905397321899
240.0,-1.376312225303665e-06,1.3653896788175474e-06,-3.423436994087827e-05,5.960713912150055e-06,-1.3760293292551795e-06,1.3644669956167946e-06,1.042837737215659e-09,6.024198814278244e-10,23,17,-5.0,2024/06/Data_0628/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-130.hdf5,-1.156233363838488e-08,1.2043339485792922e-09,2.740496324871974e-06,1.2043339485792922e-09,-0.0042190655515383,0.0004394622450258
