angle-from-z,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
0.0,-3.4311901709433697e-07,3.480151274291255e-07,-5.891716647583939e-05,-4.311741887089287e-05,-3.429590848085412e-07,3.4798009517866095e-07,2.9846384604710435e-10,1.0687935176755868e-10,19,15,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-094.hdf5,5.021010370119767e-09,3.1702344271596563e-10,6.909391799872021e-07,3.1702344271596563e-10,0.007266935376588094,0.00045884185255459564
15.0,-3.432202692188673e-07,3.478816464869146e-07,-5.824314464268044e-05,-4.22093845545421e-05,-3.4315423554094786e-07,3.477752256297012e-07,2.5235672024627365e-10,1.1229122314512789e-10,19,17,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-095.hdf5,4.620990088753319e-09,2.7621229706311946e-10,6.90929461170649e-07,2.7621229706311946e-10,0.006688077942028882,0.0003997781105866439
30.0,-3.430375108963706e-07,3.466600804538241e-07,-5.360641392777541e-05,-3.775455006186096e-05,-3.431891550558012e-07,3.4680889853858817e-07,2.6601408477263224e-10,1.4739413479623526e-10,19,16,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-096.hdf5,3.619743482786965e-09,3.041192599454233e-10,6.899980535943894e-07,3.041192599454233e-10,0.005246019845897719,0.00044075985884816775
45.0,-3.433456253882131e-07,3.453130522525868e-07,-6.0329891251969895e-05,-4.413151757501531e-05,-3.431141339433092e-07,3.4548356578585537e-07,2.3925257568565556e-10,1.6951858490845794e-10,17,19,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-096.hdf5,2.369431842546149e-09,2.932206432050554e-10,6.885976997291646e-07,2.932206432050554e-10,0.003440952305646796,0.00042582538280893354
60.0,-3.427489346319972e-07,3.435779692195355e-07,-5.9436485921720665e-05,-4.364952074157477e-05,-3.424954506855703e-07,3.4363672755273655e-07,1.8124237643747108e-10,1.3349120218136365e-10,17,19,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-096.hdf5,1.1412768671662243e-09,2.2509709033332188e-10,6.861321782383069e-07,2.2509709033332188e-10,0.0016633484091892231,0.0003280671113578487
75.0,-3.4247355320674205e-07,3.417434661238194e-07,-6.184502061606569e-05,-4.493175411076155e-05,-3.421511977933594e-07,3.4192260591915485e-07,2.242199263628228e-10,1.9843130205784812e-10,17,19,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-097.hdf5,-2.285918742045667e-10,2.994153586817527e-10,6.840738037125143e-07,2.994153586817527e-10,-0.0003341625902994433,0.0004376945495849404
90.0,-3.42288964753877e-07,3.4051898492156735e-07,-5.839804124999496e-05,-4.285604776171448e-05,-3.422101004558713e-07,3.40341921361942e-07,2.416037269754826e-10,1.4129006178873027e-10,17,17,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-097.hdf5,-1.868179093929298e-09,2.798843376266467e-10,6.825520218178133e-07,2.798843376266467e-10,-0.0027370501210352465,0.00041005722208265947
105.0,-3.435260549579175e-07,3.396661951167555e-07,-5.57453730588528e-05,-3.923644255751e-05,-3.434194367834697e-07,3.396859684679211e-07,1.7655446749509047e-10,1.5023638482569042e-10,19,17,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-098.hdf5,-3.7334683155486e-09,2.3182418190941147e-10,6.831054052513908e-07,2.3182418190941147e-10,-0.005465435182985618,0.0003393731662922393
120.0,-3.448989979936129e-07,3.396108154806698e-07,-5.197210215292013e-05,-3.5026908415815145e-05,-3.447039807097674e-07,3.3981599591490285e-07,1.9913825360574882e-10,1.336135308384341e-10,19,17,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-098.hdf5,-4.8879847948645375e-09,2.3980954875121363e-10,6.845199766246703e-07,2.3980954875121363e-10,-0.0071407482057235456,0.0003503413645200037
135.0,-3.462918511534296e-07,3.405715030621815e-07,-4.929207000257665e-05,-3.309048075251764e-05,-3.462971873214564e-07,3.406574073931078e-07,1.9337409092052572e-10,1.2572375814664376e-10,19,15,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-098.hdf5,-5.639779928348622e-09,2.3065125710009803e-10,6.869545947145642e-07,2.3065125710009803e-10,-0.008209829254715155,0.0003357704160372282
