angle-from-z,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
0.0,-3.855522365408708e-06,3.915674112618159e-06,-6.521458128598915e-05,-1.779392150092669e-05,-3.853074137568524e-06,3.915298312439121e-06,1.8620421734505157e-09,1.6673372327630891e-09,15,19,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-138.hdf5,6.222417487059638e-08,2.499442838607516e-09,7.768372450007644e-06,2.499442838607516e-09,0.0080099371227412,0.0003217563311233
15.0,-3.850644723115576e-06,3.910899357400408e-06,-6.7388440252408e-05,-1.968181182244391e-05,-3.849179567586661e-06,3.9105017387705885e-06,1.845954390888069e-09,2.5033532204833782e-09,15,19,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-138.hdf5,6.132217118392707e-08,3.1103576900002104e-09,7.759681306357249e-06,3.1103576900002104e-09,0.0079026662001811,0.0004008482681075
30.0,-3.831004926736181e-06,3.891486900639001e-06,-7.380248617324474e-05,-2.7224964085879213e-05,-3.833120050156689e-06,3.8922582821197095e-06,1.879293104190244e-09,1.8944466086053716e-09,13,21,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-138.hdf5,5.9138231963020855e-08,2.6684584546725473e-09,7.725378332276397e-06,2.6684584546725473e-09,0.0076550596513756,0.0003454247189588
45.0,-3.812094803928725e-06,3.865791313407698e-06,-7.400400007081838e-05,-2.736414824624617e-05,-3.8141512706713175e-06,3.86644554458427e-06,2.015086024654594e-09,2.470820162256914e-09,13,21,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-138.hdf5,5.2294273912952224e-08,3.188341882699146e-09,7.680596815255588e-06,3.188341882699146e-09,0.0068086211489558,0.0004151260455444
60.0,-3.791451859645457e-06,3.835705924521104e-06,-7.847611783733944e-05,-3.211425081295446e-05,-3.792335091408782e-06,3.833372256696427e-06,1.7521319255532594e-09,2.759391156767215e-09,13,21,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-138.hdf5,4.103716528764491e-08,3.268670347494235e-09,7.625707348105209e-06,3.268670347494235e-09,0.0053814240980335,0.0004286445214635
75.0,-3.783636066941291e-06,3.8057904038528246e-06,-8.278552854537994e-05,-3.673169835136928e-05,-3.782570717104193e-06,3.805070586060063e-06,1.616590353774586e-09,1.6867586406678543e-09,11,19,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-138.hdf5,2.2499868955870057e-08,2.336347380802929e-09,7.587641303164256e-06,2.336347380802929e-09,0.0029653311295154,0.0003079161967998
90.0,-3.785751659042173e-06,3.786428190036943e-06,-8.37915994737472e-05,-3.796653304937188e-05,-3.7860553266206016e-06,3.7857553907811054e-06,1.6528602772834372e-09,2.330857531163541e-09,11,19,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-138.hdf5,-2.999358394961525e-10,2.857419102407499e-09,7.571810717401707e-06,2.857419102407499e-09,-3.9612168170928144e-05,0.0003773759291264
105.0,-3.801397324973123e-06,3.777579591422504e-06,-8.150214063109543e-05,-3.648676035063243e-05,-3.800383784622513e-06,3.777683153050837e-06,1.667910084992631e-09,2.690456264874806e-09,15,19,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-139.hdf5,-2.2700631571676165e-08,3.165514012735407e-09,7.57806693767335e-06,3.165514012735407e-09,-0.0029955702105009,0.0004177223877164
120.0,-3.826602751970865e-06,3.78577690568182e-06,-7.526259015533191e-05,-2.9495703716758343e-05,-3.827628500030992e-06,3.78547981530577e-06,1.593368702803726e-09,1.2269102338673244e-09,17,17,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-139.hdf5,-4.2148684725221974e-08,2.011002870471049e-09,7.613108315336762e-06,2.011002870471049e-09,-0.0055363306259957,0.0002641540887793
135.0,-3.856500414321412e-06,3.8048892836486815e-06,-7.335268749145192e-05,-2.7461599181539725e-05,-3.858143748816298e-06,3.8035933652484414e-06,1.4963750312637795e-09,1.824101930819007e-09,17,17,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-139.hdf5,-5.4550383567856375e-08,2.3593401806876652e-09,7.66173711406474e-06,2.3593401806876652e-09,-0.0071198453765423,0.000307945828064
