VectorMagnet - Field Y,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.3,-1.4425450555367324e-06,1.372630941984552e-06,-4.3105425044831086e-05,-4.349407279514054e-05,-1.4487456553893996e-06,1.3770667920696343e-06,7.996666519774777e-09,6.214993741214331e-09,37,37,2023/08/Data_0803/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-503.hdf5,-7.167886331976528e-08,1.0127824180534541e-08,2.825812447459034e-06,1.0127824180534541e-08,-0.0253657539743017,0.0035851926038099
-0.25,-1.7375209568833985e-06,1.620492682030772e-06,-3.976889420619855e-05,-4.262784293924464e-05,-1.7279318076224975e-06,1.6141370644428658e-06,5.496435642143416e-09,3.586931208698729e-09,31,31,2023/08/Data_0803/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-505.hdf5,-1.1379474317963173e-07,6.5632979716116375e-09,3.3420688720653637e-06,6.5632979716116375e-09,-0.0340491915444303,0.001964980882292
-0.2,-2.1041652505767977e-06,1.9246315010010948e-06,-3.7409955910703634e-05,-3.963282556535586e-05,-2.103303264829824e-06,1.925548165895652e-06,1.355741229109366e-09,2.0911231969762656e-09,45,47,2023/08/Data_0803/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-507.hdf5,-1.777550989341721e-07,2.4921537884406757e-09,4.028851430725476e-06,2.4921537884406757e-09,-0.0441205395608652,0.0006191785159467
-0.15,-2.535940725478044e-06,2.3098739468033644e-06,-1.843740098807434e-05,-2.2696261659894185e-05,-2.524999520952479e-06,2.307050475127941e-06,2.165919382967081e-08,1.2138976295710441e-08,49,49,2023/08/Data_0803/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-507.hdf5,-2.1794904582453829e-07,2.4828923111143384e-08,4.83204999608042e-06,2.4828923111143384e-08,-0.0451048821931334,0.0051436071449539
-0.135,-2.6871753875394343e-06,2.4391638402779843e-06,-8.518829060341763e-06,-1.265595600924976e-05,-2.679231066503768e-06,2.437456809413006e-06,1.5998834027911178e-08,1.1484689847944737e-08,39,39,2023/08/Data_0804/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-509.hdf5,-2.417742570907622e-07,1.969418165743714e-08,5.116687875916774e-06,1.969418165743714e-08,-0.0472521019366346,0.003853304340324
-0.12,-2.839816207035435e-06,2.572217209631133e-06,-6.2819076286261175e-06,-1.0665103738916404e-05,-2.84312260681922e-06,2.575755919588409e-06,1.879610703255649e-08,9.597628408213657e-09,33,31,2023/08/Data_0804/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-510.hdf5,-2.673666872308111e-07,2.110469404283013e-08,5.418878526407629e-06,2.110469404283013e-08,-0.0493398561949419,0.0038993985903149
-0.105,-2.9930473033224923e-06,2.7079020833018804e-06,-1.8686570541752853e-06,-5.009493885558161e-06,-2.9992884417784323e-06,2.7122040346160145e-06,1.4330062919757785e-08,9.390247194922872e-09,31,31,2023/08/Data_0804/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-510.hdf5,-2.8708440716241777e-07,1.7132642693582735e-08,5.711492476394447e-06,1.7132642693582735e-08,-0.050264341299395,0.0030034657240188
-0.09,-3.1416155998824936e-06,2.8456875562398656e-06,3.606843149165474e-06,-4.834199383560389e-07,-3.1354107802044003e-06,2.8410379065165343e-06,2.4324801320476306e-08,1.5025820614632177e-08,41,43,2023/08/Data_0805/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-511.hdf5,-2.94372873687866e-07,2.8591454045286878e-08,5.976448686720934e-06,2.8591454045286878e-08,-0.0492554841710484,0.0047898204163497
-0.075,-3.271259351865455e-06,2.980959849197e-06,4.624349083912662e-06,6.774611459905235e-07,-3.2632498766890207e-06,2.9732221480173985e-06,1.7881894358062962e-08,1.3811472403043224e-08,39,39,2023/08/Data_0805/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-511.hdf5,-2.9002772867162214e-07,2.2594665648620443e-08,6.236472024706419e-06,2.2594665648620443e-08,-0.0465050957532797,0.0036269040211949
-0.06,-3.386276732951004e-06,3.1154099830921912e-06,-8.22578126359566e-07,-3.202019335314959e-06,-3.385255502425564e-06,3.1122802494027566e-06,2.3825576977208678e-09,2.893897563472108e-09,41,43,2023/08/Data_0805/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-511.hdf5,-2.729752530228073e-07,3.748496270618229e-09,6.49753575182832e-06,3.748496270618229e-09,-0.0420121202020313,0.0005774193536827
-0.045,-3.4724485201405217e-06,3.238970093747108e-06,1.2139369491996468e-05,6.618755281941888e-06,-3.4723768297567347e-06,3.243408267774884e-06,2.3539220492970443e-08,1.2472862353485349e-08,31,25,2023/08/Data_0805/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-513.hdf5,-2.289685619818506e-07,2.6639579514430625e-08,6.715785097531619e-06,2.6639579514430625e-08,-0.0340940870883447,0.0039690159295445
-0.03,-3.527108035295352e-06,3.3414497282584974e-06,1.143343158265874e-05,1.0492680795025772e-05,-3.5321297191076413e-06,3.341064760103506e-06,2.4675115644782564e-08,2.322897955901408e-08,33,31,2023/08/Data_0805/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-514.hdf5,-1.9106495900413546e-07,3.3888741839089975e-08,6.873194479211147e-06,3.3888741839089975e-08,-0.0277985672574864,0.0049324711167198
-0.015,-3.529485330551055e-06,3.413698751506249e-06,7.848690616021183e-06,6.709686288152171e-06,-3.527426203662925e-06,3.408656523892427e-06,3.2237924513877104e-08,3.2013510755049425e-08,47,47,2023/08/Data_0805/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-516.hdf5,-1.1876967977049785e-07,4.5432902700863214e-08,6.936082727555352e-06,4.5432902700863214e-08,-0.0171234520168934,0.0065511852651537
0.0,-3.4895141193420746e-06,3.470460447454381e-06,1.1805026764781865e-05,9.952251767607024e-06,-3.4794971925100657e-06,3.464354198580387e-06,3.507851924282544e-08,3.3478287072539424e-08,43,41,2023/08/Data_0805/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-516.hdf5,-1.514299392967887e-08,4.849018681734105e-08,6.943851391090452e-06,4.849018681734105e-08,-0.0021807773635692,0.0069831998685904
0.015,-3.4341517774303096e-06,3.5157504416604e-06,2.126037331584522e-07,-1.2859435550818725e-06,-3.4270489084379405e-06,3.510520086404859e-06,7.390322101394312e-09,6.2474865586539644e-09,45,45,2023/08/Data_0805/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-516.hdf5,8.347117796691868e-08,9.677187042881789e-09,6.9375689948428e-06,9.677187042881789e-09,0.0120317618504362,0.0013949969327095
0.03,-3.358352670693661e-06,3.52021295998474e-06,1.62256050892588e-05,1.4690508984670924e-05,-3.3639660688566074e-06,3.527696026011716e-06,2.349883180856004e-08,2.5308356230675905e-08,35,35,2023/08/Data_0806/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-518.hdf5,1.6372995715510862e-07,3.4535604692343024e-08,6.891662094868324e-06,3.4535604692343024e-08,0.0237576878989794,0.0050126296484734
0.045,-3.25507029782252e-06,3.4774400292640195e-06,2.089733255459561e-05,1.9394443095746107e-05,-3.2479744646037737e-06,3.479565993848189e-06,2.4593715799114613e-08,2.8613466831239097e-08,37,43,2023/08/Data_0807/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-520.hdf5,2.3159152924441529e-07,3.773037689859512e-08,6.727540458451963e-06,3.773037689859512e-08,0.0344243978426709,0.0056116684098285
0.06,-3.1337300593768564e-06,3.3984284554741846e-06,2.782249634420939e-05,2.538444049652293e-05,-3.132390495386933e-06,3.3969318677935484e-06,2.1307698423238724e-08,2.7064297637981545e-08,43,45,2023/08/Data_0807/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-520.hdf5,2.645413724066156e-07,3.444552538041688e-08,6.529322363180481e-06,3.444552538041688e-08,0.0405159000723247,0.0052798412595105
0.075,-2.999472162175426e-06,3.287755439513006e-06,2.639089169992125e-05,2.416736458074702e-05,-3.0045272063769576e-06,3.291490310641772e-06,1.3512993689546672e-08,1.6505881292876905e-08,41,45,2023/08/Data_0807/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-520.hdf5,2.869631042648142e-07,2.1331786510001264e-08,6.29601751701873e-06,2.1331786510001264e-08,0.0455785110967569,0.0033916570737988
0.09,-2.862278794802804e-06,3.154018814392512e-06,4.18178276555011e-05,3.8680294780321845e-05,-2.8657962668233977e-06,3.157074769035777e-06,1.2642048606440818e-08,1.9684401752514842e-08,35,35,2023/08/Data_0807/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-522.hdf5,2.9127850221237934e-07,2.3394381063024972e-08,6.022871035859175e-06,2.3394381063024972e-08,0.0483620686011962,0.0038887971174172
0.09,-2.860309784125273e-06,3.1524030825990264e-06,4.183525565776858e-05,3.850687116232042e-05,-2.8645277700074967e-06,3.15297378964956e-06,1.2451402212570152e-08,1.9522414375643648e-08,35,35,2023/08/Data_0807/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-523.hdf5,2.884460196420635e-07,2.3155173938313112e-08,6.017501559657057e-06,2.3155173938313112e-08,0.0479345151442723,0.003852389645773
0.105,-2.723621818080473e-06,3.0060989547896013e-06,3.936304437589717e-05,3.577121237679577e-05,-2.7207873249637977e-06,2.998986949387338e-06,1.018900429299028e-08,1.539892833817227e-08,33,33,2023/08/Data_0807/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-525.hdf5,2.7819962442354025e-07,1.8464636537087303e-08,5.719774274351135e-06,1.8464636537087303e-08,0.0486382173630619,0.0032320268989879
0.12,-2.587431564366909e-06,2.8531188838728173e-06,4.449867484884825e-05,4.014303685075356e-05,-2.584584533579676e-06,2.849605775285505e-06,1.4812448107006414e-08,2.0197401242008223e-08,47,41,2023/08/Data_0807/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-526.hdf5,2.6502124170582904e-07,2.5046828858229403e-08,5.434190308865181e-06,2.5046828858229403e-08,0.0487692234983896,0.0046145968207045
0.135,-2.4529832056392537e-06,2.698765417490958e-06,4.782625656884859e-05,4.478782295838689e-05,-2.453315386986992e-06,2.6946407597804343e-06,1.4055213891993078e-08,2.1918461659421343e-08,47,47,2023/08/Data_0807/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-526.hdf5,2.413253727934423e-07,2.603781863108349e-08,5.147956146767427e-06,2.603781863108349e-08,0.0468778998719673,0.0050634488190902
0.15,-2.320587060170108e-06,2.545505311318992e-06,4.460112301386911e-05,4.213663236413738e-05,-2.317850583918488e-06,2.5407438723201687e-06,8.338616082064949e-09,1.2838182206257526e-08,43,43,2023/08/Data_0807/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-526.hdf5,2.2289328840168065e-07,1.530854142383067e-08,4.858594456238657e-06,1.530854142383067e-08,0.0458760842069202,0.0031541307652939
0.2,-1.927718125667178e-06,2.111904854943545e-06,4.30520322626403e-05,4.122151879283111e-05,-1.928616377020054e-06,2.111676672244892e-06,2.038832668859633e-09,3.402908456744592e-09,33,31,2023/08/Data_0808/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-528.hdf5,1.8306029522483818e-07,3.966941468763203e-09,4.040293049264946e-06,3.966941468763203e-09,0.0453086677111558,0.0009828522711022
0.25,-1.6209855497266944e-06,1.741815373179286e-06,5.134616980235882e-05,4.9722745488117766e-05,-1.6220385037844505e-06,1.7426754330492573e-06,5.001208991190419e-09,6.270509580421202e-09,31,31,2023/08/Data_0808/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-530.hdf5,1.2063692926480686e-07,8.020684619888626e-09,3.364713936833708e-06,8.020684619888626e-09,0.0358535469967261,0.0023852958429835
0.3,-1.366567810135463e-06,1.43723754534825e-06,2.0745319824115835e-05,2.0166961398758e-05,-1.3654342645285942e-06,1.4365513473371347e-06,2.11749850751057e-09,2.6856231279153483e-09,21,21,2023/08/Data_0808/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-531.hdf5,7.111708280854056e-08,3.419995835451165e-09,2.8019856118657287e-06,3.419995835451165e-09,0.0253809593123451,0.0012209546017892
0.3,-1.363764502516701e-06,1.4351683897859092e-06,2.9563282992091893e-05,2.783574065213313e-05,-1.3643756805280108e-06,1.4344819116142576e-06,2.930144202013938e-09,3.5722093145374555e-09,23,23,2023/08/Data_0809/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-532.hdf5,7.010623108624682e-08,4.620219089119482e-09,2.7988575921422684e-06,4.620219089119482e-09,0.0250481593929853,0.0016512695255817
