VectorMagnet - Field Y,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.3,-1.2110489810888517e-06,1.1639876707678175e-06,0.0002707388672207,0.0002694460592076,-1.2114548668137595e-06,1.1640867678856451e-06,8.13977552458167e-10,5.447256574044688e-10,37,37,2023/07/Data_0719/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-418.hdf5,-4.73680989281144e-08,9.79431211336722e-10,2.375541634699405e-06,9.79431211336722e-10,-0.019939915274988746,0.00041238001839667465
-0.28,-1.3105023118902365e-06,1.2522798236795314e-06,0.0002496705620774,0.0002482532144026,-1.3109130187651012e-06,1.2525413517013209e-06,7.350825037949267e-10,5.477315536131877e-10,37,37,2023/07/Data_0720/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-420.hdf5,-5.837166706378028e-08,9.167094099053061e-10,2.563454370466422e-06,9.167094099053061e-10,-0.022770706487418194,0.00035769976985381303
-0.26,-1.430385928024898e-06,1.3545483663021703e-06,0.0002432929186096,0.0002418814208042,-1.4306214388050427e-06,1.3546600699363655e-06,8.88776593611005e-10,5.933460685751642e-10,35,35,2023/07/Data_0720/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-420.hdf5,-7.596136886867722e-08,1.0686362292400463e-09,2.7852815087414084e-06,1.0686362292400463e-09,-0.02727242062616574,0.00038381526957827097
-0.24,-1.5662503205480214e-06,1.467463342741356e-06,0.0002358031788621,0.0002336979610871,-1.5669454771412757e-06,1.4678680061633267e-06,2.224456837360977e-09,1.5427206041564112e-09,33,31,2023/07/Data_0720/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-420.hdf5,-9.907747097794892e-08,2.707063923103908e-09,3.0348134833046024e-06,2.707063923103908e-09,-0.03264697205380268,0.0008924786256956816
-0.22,-1.7184120109220276e-06,1.5958558401339622e-06,0.0002192822024838,0.0002161033121605,-1.717436788081071e-06,1.5954800536572683e-06,1.2555025880544255e-09,1.0197061148407083e-09,35,35,2023/07/Data_0720/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-422.hdf5,-1.2195673442380258e-07,1.6174323198374924e-09,3.3129168417383392e-06,1.6174323198374924e-09,-0.03681249492510955,0.0004885507139870557
-0.2,-1.8892812303469048e-06,1.7408989265308432e-06,0.0002225846241238,0.0002195422898815,-1.8892812668981184e-06,1.7408248790057122e-06,1.3099479192159631e-09,9.34250731349351e-10,35,35,2023/07/Data_0720/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-424.hdf5,-1.484563878924062e-07,1.608971093613875e-09,3.6301061459038307e-06,1.608971093613875e-09,-0.04089588070583629,0.0004436002549771468
-0.18,-2.0873917542302948e-06,1.9127858191399875e-06,0.0002175883352384,0.0002139368940376,-2.087350791368668e-06,1.9125538273078707e-06,1.8644248245658327e-09,1.150432412945936e-09,35,33,2023/07/Data_0720/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-426.hdf5,-1.7479696406079749e-07,2.1907931584734205e-09,3.999904618676539e-06,2.1907931584734205e-09,-0.043700283062907914,0.0005482340867453211
-0.16,-2.320172222694823e-06,2.1174544814813413e-06,0.0002101432864351,0.0002057671804895,-2.3192409824942606e-06,2.1172348499262927e-06,1.252227899971932e-09,7.564571447946451e-10,31,31,2023/07/Data_0720/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-428.hdf5,-2.0200613256796793e-07,1.4629771445169543e-09,4.436475832420554e-06,1.4629771445169543e-09,-0.04553301769205239,0.00033010276116574646
-0.14,-2.6123979065229315e-06,2.3367649432230583e-06,0.0002043320270278,0.0001988315441416,-2.6110431747968308e-06,2.3368032159443525e-06,1.666421116485792e-09,8.884265391907071e-10,33,31,2023/07/Data_0721/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-429.hdf5,-2.7423995885247826e-07,1.8884546732733964e-09,4.947846390741184e-06,1.8884546732733964e-09,-0.05542612627701187,0.0003822578589331507
-0.12,-2.961412171117265e-06,2.5634374384946947e-06,0.0001936024748535,0.0001871448076635,-2.961105792255421e-06,2.563776722227946e-06,1.4509545094092095e-09,9.459833864114751e-10,29,27,2023/07/Data_0721/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-431.hdf5,-3.97329070027475e-07,1.732095134725989e-09,5.524882514483366e-06,1.732095134725989e-09,-0.07191629305888134,0.0003143177273177366
