VectorMagnet - Field Y,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.3,-1.2110489810888517e-06,1.1639876707678175e-06,0.0002707388672207,0.0002694460592076,-1.2114548668137595e-06,1.1640867678856451e-06,8.13977552458167e-10,5.447256574044688e-10,37,37,2023/07/Data_0719/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-418.hdf5,-4.73680989281144e-08,9.79431211336722e-10,2.375541634699405e-06,9.79431211336722e-10,-0.0199399152749887,0.0004123800183966
-0.28,-1.3105023118902365e-06,1.2522798236795314e-06,0.0002496705620774,0.0002482532144026,-1.3109130187651012e-06,1.2525413517013209e-06,7.350825037949267e-10,5.477315536131877e-10,37,37,2023/07/Data_0720/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-420.hdf5,-5.837166706378028e-08,9.167094099053059e-10,2.563454370466422e-06,9.167094099053059e-10,-0.0227707064874181,0.0003576997698538
-0.26,-1.430385928024898e-06,1.3545483663021703e-06,0.0002432929186096,0.0002418814208042,-1.4306214388050427e-06,1.3546600699363655e-06,8.88776593611005e-10,5.93346068575164e-10,35,35,2023/07/Data_0720/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-420.hdf5,-7.596136886867723e-08,1.0686362292400463e-09,2.7852815087414084e-06,1.0686362292400463e-09,-0.0272724206261657,0.0003838152695782
-0.24,-1.5662503205480214e-06,1.467463342741356e-06,0.0002358031788621,0.0002336979610871,-1.5669454771412757e-06,1.4678680061633267e-06,2.224456837360977e-09,1.5427206041564112e-09,33,31,2023/07/Data_0720/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-420.hdf5,-9.907747097794892e-08,2.707063923103908e-09,3.0348134833046024e-06,2.707063923103908e-09,-0.0326469720538026,0.0008924786256956
-0.22,-1.7184120109220276e-06,1.5958558401339622e-06,0.0002192822024838,0.0002161033121605,-1.717436788081071e-06,1.5954800536572683e-06,1.2555025880544255e-09,1.0197061148407083e-09,35,35,2023/07/Data_0720/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-422.hdf5,-1.2195673442380258e-07,1.617432319837492e-09,3.3129168417383392e-06,1.617432319837492e-09,-0.0368124949251095,0.000488550713987
-0.2,-1.8892812303469048e-06,1.7408989265308432e-06,0.0002225846241238,0.0002195422898815,-1.8892812668981184e-06,1.7408248790057122e-06,1.3099479192159631e-09,9.34250731349351e-10,35,35,2023/07/Data_0720/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-424.hdf5,-1.484563878924062e-07,1.608971093613875e-09,3.630106145903831e-06,1.608971093613875e-09,-0.0408958807058362,0.0004436002549771
-0.18,-2.0873917542302948e-06,1.9127858191399875e-06,0.0002175883352384,0.0002139368940376,-2.087350791368668e-06,1.9125538273078707e-06,1.8644248245658327e-09,1.150432412945936e-09,35,33,2023/07/Data_0720/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-426.hdf5,-1.7479696406079749e-07,2.19079315847342e-09,3.999904618676539e-06,2.19079315847342e-09,-0.0437002830629079,0.0005482340867453
-0.16,-2.320172222694823e-06,2.1174544814813413e-06,0.0002101432864351,0.0002057671804895,-2.3192409824942606e-06,2.1172348499262927e-06,1.252227899971932e-09,7.564571447946451e-10,31,31,2023/07/Data_0720/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-428.hdf5,-2.02006132567968e-07,1.4629771445169543e-09,4.436475832420554e-06,1.4629771445169543e-09,-0.0455330176920523,0.0003301027611657
-0.14,-2.6123979065229315e-06,2.3367649432230583e-06,0.0002043320270278,0.0001988315441416,-2.6110431747968308e-06,2.3368032159443525e-06,1.666421116485792e-09,8.884265391907071e-10,33,31,2023/07/Data_0721/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-429.hdf5,-2.7423995885247826e-07,1.8884546732733964e-09,4.947846390741184e-06,1.8884546732733964e-09,-0.0554261262770118,0.0003822578589331
-0.12,-2.961412171117265e-06,2.5634374384946947e-06,0.0001936024748535,0.0001871448076635,-2.961105792255421e-06,2.563776722227946e-06,1.4509545094092095e-09,9.459833864114751e-10,29,27,2023/07/Data_0721/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-431.hdf5,-3.97329070027475e-07,1.732095134725989e-09,5.524882514483366e-06,1.732095134725989e-09,-0.0719162930588813,0.0003143177273177
-0.1,-3.3221677959300823e-06,2.80413494029439e-06,0.0001844795438132,0.0001761031905566,-3.3144110075862283e-06,2.8036201120755763e-06,4.857502025108054e-09,1.2166875308691315e-09,29,27,2023/07/Data_0721/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-433.hdf5,-5.10790895510652e-07,5.007559732215011e-09,6.118031119661804e-06,5.007559732215011e-09,-0.0834894242151039,0.0008213397224797
-0.08,-3.654088775629528e-06,3.1072065790669778e-06,0.0001759705510264,0.0001647405191509,-3.65454706127824e-06,3.107249804590732e-06,2.162446072360306e-09,7.422057551560898e-10,29,25,2023/07/Data_0721/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-433.hdf5,-5.472972566875079e-07,2.28627259941883e-09,6.761796865868972e-06,2.28627259941883e-09,-0.0809396182026792,0.0003392218605419
-0.06,-3.950593864617328e-06,3.5563375105936524e-06,0.0001614439572923,0.0001527021099579,-3.949011371680752e-06,3.556344442653415e-06,1.289318419340478e-09,1.3126022077810015e-09,23,21,2023/07/Data_0721/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-433.hdf5,-3.926669290273374e-07,1.8399093842692878e-09,7.505355814334167e-06,1.8399093842692878e-09,-0.0523182296404121,0.0002454814676922
-0.04,-4.178234979636181e-06,3.952806617569598e-06,0.0001387588197789,0.0001306876591868,-4.177310995006683e-06,3.949757365931989e-06,2.7082439185236462e-09,2.5568583753151427e-09,33,29,2023/07/Data_0722/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-435.hdf5,-2.275536290746943e-07,3.724528141072303e-09,8.127068360938672e-06,3.724528141072303e-09,-0.0279994727457186,0.0004584664050566
-0.02,-4.35404022827493e-06,4.247376529485736e-06,0.0001509646249003,0.0001431020211146,-4.35281702625582e-06,4.247639436888257e-06,1.206213778088445e-09,1.174035342774872e-09,19,21,2023/07/Data_0723/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-437.hdf5,-1.0517758936756253e-07,1.68324408941036e-09,8.600456463144076e-06,1.68324408941036e-09,-0.012229303155976,0.0001957303035511
