angle-from-z,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err,parent_csv
0.0,-9.865757778759565e-07,9.7611345192718e-07,-5.800923338105935e-05,-3.0654544323948635e-05,-9.86444459449486e-07,9.758090258279703e-07,4.1294826604258856e-10,3.3985160035906237e-10,11,15,-5.25,2024/06/Data_0620/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-087.hdf5,-1.0635433621515772e-08,5.348134073620408e-10,1.962253485277456e-06,5.348134073620408e-10,-0.0054200100554347,0.0002725546249719,Wsc=0.9um-NNE_diode-angle_20mT_-5.25V/data.csv
15.0,-9.875893273280383e-07,9.771300226178034e-07,-5.801681707358255e-05,-2.916627134888105e-05,-9.87791272869688e-07,9.77103334983178e-07,5.061401143976686e-10,2.4338595282107247e-10,17,15,-5.25,2024/06/Data_0620/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-088.hdf5,-1.0687937886510116e-08,5.616177858945586e-10,1.964894607852866e-06,5.616177858945586e-10,-0.0054394458836595,0.0002858301366606,Wsc=0.9um-NNE_diode-angle_20mT_-5.25V/data.csv
30.0,-9.839975959183022e-07,9.740665466880602e-07,-5.960708604035277e-05,-3.016632562628395e-05,-9.837759274307906e-07,9.737731644261456e-07,4.2753810950125343e-10,5.347294462914296e-10,17,15,-5.25,2024/06/Data_0620/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-088.hdf5,-1.0002763004644996e-08,6.846345125737124e-10,1.957549091856936e-06,6.846345125737124e-10,-0.0051098401803841,0.0003497452265318,Wsc=0.9um-NNE_diode-angle_20mT_-5.25V/data.csv
45.0,-9.79321534021691e-07,9.694438929444402e-07,-6.69569959709372e-05,-3.809535568869735e-05,-9.79006128187807e-07,9.696355225461663e-07,7.339865465089147e-10,4.647968680482517e-10,15,17,-5.25,2024/06/Data_0620/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-088.hdf5,-9.370605641640648e-09,8.687763688104938e-10,1.948641650733973e-06,8.687763688104938e-10,-0.004808788541552,0.0004458420630657,Wsc=0.9um-NNE_diode-angle_20mT_-5.25V/data.csv
60.0,-9.750757250589833e-07,9.65287118736731e-07,-7.106924181615942e-05,-4.200701819882114e-05,-9.7525825986247e-07,9.653520842755296e-07,4.428488213528051e-10,3.813224808898872e-10,15,17,-5.25,2024/06/Data_0620/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-088.hdf5,-9.906175586940424e-09,5.84398761981566e-10,1.9406103441379994e-06,5.84398761981566e-10,-0.0051046700935424,0.0003011456564314,Wsc=0.9um-NNE_diode-angle_20mT_-5.25V/data.csv
75.0,-9.72367379005276e-07,9.606170710608286e-07,-7.030400165634895e-05,-4.06347962692674e-05,-9.713902752058344e-07,9.607772131625414e-07,6.823064136375693e-10,5.167758133287602e-10,15,17,-5.25,2024/06/Data_0620/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-088.hdf5,-1.0613062043293022e-08,8.55920138408113e-10,1.932167488368376e-06,8.55920138408113e-10,-0.0054928271525028,0.0004429911255162,Wsc=0.9um-NNE_diode-angle_20mT_-5.25V/data.csv
90.0,-9.712221419442347e-07,9.586967041181837e-07,-6.41822957071924e-05,-3.378753427406255e-05,-9.709202006321336e-07,9.584647637782608e-07,4.861703890665036e-10,5.619924675444377e-10,17,17,-5.25,2024/06/Data_0620/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-088.hdf5,-1.2455436853872746e-08,7.430997111974686e-10,1.9293849644103944e-06,7.430997111974686e-10,-0.0064556514555813,0.0003851565183961,Wsc=0.9um-NNE_diode-angle_20mT_-5.25V/data.csv
105.0,-9.728661427735046e-07,9.594765775603042e-07,-5.972459197695927e-05,-3.068159892209426e-05,-9.730845443885464e-07,9.594387905515084e-07,3.4813692617329165e-10,3.2156464865818557e-10,15,17,-5.25,2024/06/Data_0620/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-089.hdf5,-1.3645753837037978e-08,4.739231400048431e-10,1.932523334940055e-06,4.739231400048431e-10,-0.0070611068908315,0.0002452415171451,Wsc=0.9um-NNE_diode-angle_20mT_-5.25V/data.csv
120.0,-9.768427038051443e-07,9.623350692863068e-07,-5.746857661249484e-05,-2.826062392873329e-05,-9.764330131252218e-07,9.621322375565282e-07,7.010904266720218e-10,5.457300237145503e-10,17,15,-5.25,2024/06/Data_0620/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-089.hdf5,-1.4300775568693654e-08,8.884531755554938e-10,1.93856525068175e-06,8.884531755554938e-10,-0.0073769895357736,0.0004583169690645,Wsc=0.9um-NNE_diode-angle_20mT_-5.25V/data.csv
135.0,-9.81713096481246e-07,9.663322504422097e-07,-5.196360621148826e-05,-2.1888615668848268e-05,-9.81190216063836e-07,9.660556039035516e-07,7.125378244806225e-10,4.358744965809401e-10,17,15,-5.25,2024/06/Data_0620/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-089.hdf5,-1.5134612160284314e-08,8.352824241448316e-10,1.9472458199673875e-06,8.352824241448316e-10,-0.0077723171903061,0.0004289687744868,Wsc=0.9um-NNE_diode-angle_20mT_-5.25V/data.csv
