VectorMagnet - Field Y,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate 21 - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.05,-3.842465850928284e-06,3.7237878877009782e-06,0.0001222443008875,0.0001242659700586,-3.843486193829838e-06,3.727673229462615e-06,3.138962962683383e-09,1.976138945528873e-09,17,17,-2.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-294.hdf5,-1.1581296436722291e-07,3.709206601570477e-09,7.571159423292453e-06,3.709206601570477e-09,-0.015296595658906306,0.0004899699398331436
-0.045,-3.8748817358918455e-06,3.782682360117532e-06,0.0001118706454818,0.0001141955789702,-3.878130782846605e-06,3.785318505932632e-06,2.800700364090478e-09,2.436209503706015e-09,19,19,-2.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-294.hdf5,-9.281227691397252e-08,3.7120128334050847e-09,7.663449288779237e-06,3.7120128334050847e-09,-0.012111031653836027,0.0004844143827603452
-0.04,-3.912388731109259e-06,3.83262634771417e-06,0.0001043093121866,0.0001063750039934,-3.912566875819165e-06,3.834917403348617e-06,3.324177299712506e-09,2.2593325109469474e-09,19,19,-2.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-294.hdf5,-7.764947247054861e-08,4.019295723748847e-09,7.747484279167781e-06,4.019295723748847e-09,-0.010022540178537744,0.0005188132619063458
-0.035,-3.942547264561886e-06,3.882346935840972e-06,9.751680199445889e-05,9.963969150297998e-05,-3.9444737531467e-06,3.8828530719337965e-06,2.577338852545685e-09,2.503062608740881e-09,21,21,-2.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-294.hdf5,-6.162068121290377e-08,3.592770238147468e-09,7.827326825080496e-06,3.592770238147468e-09,-0.007872506487841725,0.00045901770171625974
-0.03,-3.972358969711424e-06,3.922143456331377e-06,9.165798518318352e-05,9.36272844310354e-05,-3.971563490632799e-06,3.920853055375174e-06,1.9083599111015622e-09,1.935991022285368e-09,23,23,-2.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-294.hdf5,-5.071043525762512e-08,2.718436828154943e-09,7.892416546007975e-06,2.718436828154943e-09,-0.0064252101953836595,0.00034444367257932144
-0.025,-3.992485605808652e-06,3.952279162866282e-06,8.443291912172809e-05,8.62038780456516e-05,-3.992491671902109e-06,3.952973384281339e-06,2.609254337304828e-09,2.3494653238191247e-09,23,23,-2.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-294.hdf5,-3.951828762077028e-08,3.5111530163996786e-09,7.945465056183448e-06,3.5111530163996786e-09,-0.004973690947141693,0.00044191201144996113
-0.02,-4.012390113345454e-06,3.982027316088012e-06,8.216559098586333e-05,8.417968304114464e-05,-4.013444577938279e-06,3.980632898513018e-06,2.3780126709797887e-09,2.110759615518102e-09,23,23,-2.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-294.hdf5,-3.281167942526098e-08,3.1796619974208823e-09,7.994077476451299e-06,3.1796619974208823e-09,-0.004104498551823721,0.0003977555622161344
-0.015,-4.022163588850868e-06,3.994575165236823e-06,7.80665932352257e-05,8.023835836691564e-05,-4.022142065690088e-06,3.9969941643125e-06,2.7185940862588884e-09,2.7592588569203683e-09,23,23,-2.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-294.hdf5,-2.5147901377588646e-08,3.873533689712186e-09,8.019136230002589e-06,3.873533689712186e-09,-0.003135986302801658,0.0004830386497403986
-0.01,-4.022400770360589e-06,4.012208234026426e-06,8.063512418638316e-05,8.319248003927783e-05,-4.026641315548403e-06,4.013015743236103e-06,3.3291542215438404e-09,2.59662025794197e-09,23,23,-2.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-294.hdf5,-1.362557231229954e-08,4.222049809604074e-09,8.039657058784506e-06,4.222049809604074e-09,-0.0016947952148545443,0.000525153727614339
-0.005,-4.032539976105644e-06,4.030713947201861e-06,7.046809684656712e-05,7.306752750059278e-05,-4.030869363086218e-06,4.02746828296137e-06,2.997167801120657e-09,2.686411060937936e-09,21,21,-2.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-294.hdf5,-3.4010801248487827e-09,4.024899901414211e-09,8.058337646047589e-06,4.024899901414211e-09,-0.0004220572870282901,0.000499470292346307
0.0,-4.022826153392084e-06,4.03303372537855e-06,7.247048891184976e-05,7.492904349662896e-05,-4.0261474031272e-06,4.036846790556334e-06,3.60416031964935e-09,4.097367680009113e-09,23,23,-2.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-294.hdf5,1.0699387429134165e-08,5.4569582658215535e-09,8.062994193683534e-06,5.4569582658215535e-09,0.0013269744678119642,0.0006767911447297719
0.005,-4.013263475901752e-06,4.042548978228673e-06,7.343477605398482e-05,7.635629192625278e-05,-4.016561829318467e-06,4.043174218658331e-06,2.796593877882612e-09,2.816876510348765e-09,21,23,-2.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-294.hdf5,2.661238933986417e-08,3.969348887710067e-09,8.059736047976798e-06,3.969348887710067e-09,0.0033018934095918146,0.0004924938610813196
0.01,-4.003849715582434e-06,4.042723044762806e-06,7.256576339656983e-05,7.565995316165086e-05,-4.006369015371289e-06,4.044644871802149e-06,1.851825272676069e-09,3.785668991945891e-09,21,23,-2.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-294.hdf5,3.8275856430860036e-08,4.214326346772686e-09,8.051013887173437e-06,4.214326346772686e-09,0.004754165992911731,0.0005234587881556729
0.015,-3.985992743506367e-06,4.036842056758346e-06,6.789606082793475e-05,7.069797254336709e-05,-3.987543308151797e-06,4.036534167183598e-06,2.4616739772065294e-09,2.4553519417277393e-09,21,21,-2.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-294.hdf5,4.8990859031800856e-08,3.4768652444122696e-09,8.024077475335395e-06,3.4768652444122696e-09,0.0061054818055271964,0.00043331212315545224
0.02,-3.971889255101101e-06,4.027362543962652e-06,7.098062415625479e-05,7.409327992843889e-05,-3.968997268243371e-06,4.028888625140733e-06,2.822492314548366e-09,2.52176703803015e-09,21,21,-2.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-294.hdf5,5.989135689736241e-08,3.784940139523999e-09,7.997885893384104e-06,3.784940139523999e-09,0.007488398521277339,0.00047325584671465375
0.025,-3.950288743409705e-06,4.014102137028808e-06,7.038347813577583e-05,7.351748507520134e-05,-3.9479613898097455e-06,4.018047377958945e-06,2.787395206485724e-09,2.2084758022689772e-09,21,21,-2.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-294.hdf5,7.008598814919974e-08,3.5562532820859643e-09,7.966008767768691e-06,3.5562532820859643e-09,0.00879813093261647,0.00044644577011423883
0.03,-3.912387794358879e-06,3.992497732254181e-06,7.176720581400032e-05,7.469061061708324e-05,-3.915589738731066e-06,3.994057888092052e-06,3.156657354050637e-09,3.2367014914767478e-09,21,21,-2.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-294.hdf5,7.846814936098654e-08,4.521141691631636e-09,7.909647626823119e-06,4.521141691631636e-09,0.009920561959661279,0.0005716264970728218
0.035,-3.872505651706366e-06,3.96303271444234e-06,7.374482404616125e-05,7.663658927503423e-05,-3.873949686031061e-06,3.9647301940241645e-06,2.522485786795714e-09,2.8733776025369223e-09,21,23,-2.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-294.hdf5,9.078050799310352e-08,3.823510610858459e-09,7.838679880055226e-06,3.823510610858459e-09,0.011581096483361425,0.00048780752229024956
0.04,-3.823031952622653e-06,3.932363979063321e-06,7.266589824638161e-05,7.55382580091885e-05,-3.824931415143939e-06,3.931233717119891e-06,1.595214824818998e-09,2.87421877064291e-09,21,21,-2.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-294.hdf5,1.0630230197595128e-07,3.287224342638991e-09,7.75616513226383e-06,3.287224342638991e-09,0.013705523304778363,0.0004238606335013404
0.045,-3.7658987065622905e-06,3.892430592719223e-06,7.31477920480381e-05,7.594097594312998e-05,-3.769540448964536e-06,3.892548161190484e-06,2.947147923453981e-09,2.9868942991668363e-09,21,21,-2.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-294.hdf5,1.230077122259481e-07,4.196095618204435e-09,7.66208861015502e-06,4.196095618204435e-09,0.01605407069593514,0.0005477144070549468
0.05,-3.702363339460166e-06,3.844076329631387e-06,7.391980411282176e-05,7.684600164735504e-05,-3.699972695056131e-06,3.846146117533073e-06,1.971595333355162e-09,3.005231440058905e-09,21,23,-2.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-294.hdf5,1.4617342247694214e-07,3.594245980289381e-09,7.546118812589204e-06,3.594245980289381e-09,0.019370675986850452,0.0004763932729347898
