VectorMagnet - Field Y,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate 21 - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.05,-3.969931417481129e-06,3.755958342423896e-06,0.0001189146006123,0.0001282252754892,-3.96808141109858e-06,3.7530886427196335e-06,3.194891621338074e-09,1.956035948527965e-09,17,15,0.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-290.hdf5,-2.1499276837894653e-07,3.746119205795502e-09,7.721170053818213e-06,3.746119205795502e-09,-0.02784458403071047,0.00048536311471972677
-0.045,-4.00032152992634e-06,3.81892108438302e-06,0.000109283148126,0.0001182597558042,-4.002081200076505e-06,3.8157504184834935e-06,3.3999098110782046e-09,2.467772032773062e-09,19,17,0.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-290.hdf5,-1.8633078159301113e-07,4.201105274710778e-09,7.817831618559999e-06,4.201105274710778e-09,-0.02383407454704585,0.0005375273550002581
-0.04,-4.030615318462747e-06,3.869393516766739e-06,0.0001018053724712,0.0001105476428612,-4.032977135070509e-06,3.870430220368895e-06,2.918226850333557e-09,2.2329578772711276e-09,21,19,0.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-290.hdf5,-1.6254691470161376e-07,3.674527021492003e-09,7.903407355439404e-06,3.674527021492003e-09,-0.020566688187942536,0.0004650277931625789
-0.035,-4.060573466402234e-06,3.9194987925388885e-06,9.498769534103654e-05,0.0001041037247774,-4.059957048362722e-06,3.9184371612042925e-06,2.996090174401669e-09,2.1587245390404355e-09,21,21,0.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-290.hdf5,-1.4151988715842912e-07,3.6927832279463093e-09,7.978394209567015e-06,3.6927832279463093e-09,-0.017737891039368604,0.0004629207357481976
-0.03,-4.080696678700153e-06,3.959849191009128e-06,8.736004744090035e-05,9.63469071133196e-05,-4.0844166503087785e-06,3.962676201591922e-06,3.336991546354781e-09,2.552486390905946e-09,23,21,0.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-290.hdf5,-1.2174044871685691e-07,4.201273539797586e-09,8.047092851900701e-06,4.201273539797586e-09,-0.015128500560062775,0.0005221456202346566
-0.025,-4.1008330357742816e-06,4.000003025747615e-06,8.53057466006317e-05,9.346591345859098e-05,-4.10203710827962e-06,3.999784836748735e-06,2.4345928510544692e-09,3.220384086519136e-09,23,23,0.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-290.hdf5,-1.0225227153088556e-07,4.037092520008827e-09,8.101821945028356e-06,4.037092520008827e-09,-0.012620898388618892,0.0004983340862008651
-0.02,-4.115791172438665e-06,4.030338317653123e-06,8.135617873712692e-05,8.974891198464773e-05,-4.11584320114317e-06,4.032108870421156e-06,2.795584301281127e-09,2.6621767293618423e-09,23,23,0.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-290.hdf5,-8.37343307220138e-08,3.86037258874389e-09,8.147952071564326e-06,3.86037258874389e-09,-0.010276733341895768,0.0004738094184695608
-0.015,-4.1209263194370725e-06,4.059914713221031e-06,7.67262761540271e-05,8.531877298343855e-05,-4.123731798169112e-06,4.060115103391868e-06,3.293615249258534e-09,2.826293230082645e-09,23,23,0.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-290.hdf5,-6.361669477724453e-08,4.340027054357997e-09,8.18384690156098e-06,4.340027054357997e-09,-0.007773446344054938,0.0005303322790413445
-0.01,-4.121036611606127e-06,4.080465354358349e-06,7.568273965427787e-05,8.430706015887815e-05,-4.126474240868358e-06,4.080234388843569e-06,4.219605670892024e-09,2.4190063532362664e-09,23,23,0.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-290.hdf5,-4.623985202478907e-08,4.86381164878139e-09,8.206708629711926e-06,4.86381164878139e-09,-0.005634396700448252,0.0005926722967692492
-0.005,-4.124136269585293e-06,4.101009896318725e-06,6.786666760331205e-05,7.687192432477876e-05,-4.127205621263853e-06,4.101654624791806e-06,2.0872366834627307e-09,2.790747284244653e-09,21,23,0.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-290.hdf5,-2.5550996472047147e-08,3.484942951801565e-09,8.22886024605566e-06,3.484942951801565e-09,-0.003105046836139246,0.00042350454950907513
