field,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err,parent_csv
-0.06,-3.672144080501984e-06,3.529291724064501e-06,-6.864234949860006e-05,-6.942133162063168e-05,-3.6698307174020136e-06,3.5266376323220567e-06,3.6653335990218334e-09,3.867751403014624e-09,45,45,-3.1,2023/12/Data_1222/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-034.hdf5,-1.4319308507995694e-07,5.328618142411777e-09,7.19646834972407e-06,5.328618142411777e-09,-0.0198976884384473,0.0007405956125911,diode-lowfield_-3.1V/data.csv
-0.055,-3.724372210801948e-06,3.6192439548140304e-06,-7.822368085342479e-05,-7.88866149461223e-05,-3.720984428173873e-06,3.618257198108176e-06,3.417035697812678e-09,2.371868037478153e-09,43,43,-3.1,2023/12/Data_1222/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-034.hdf5,-1.0272723006569693e-07,4.159554176511785e-09,7.339241626282049e-06,4.159554176511785e-09,-0.0139969816088119,0.0005668108271862,diode-lowfield_-3.1V/data.csv
-0.05,-3.769596869733449e-06,3.694328853956805e-06,-8.50069173189162e-05,-8.621455728780794e-05,-3.770036480164541e-06,3.694946545700316e-06,2.946753063046714e-09,2.01847976543574e-09,41,41,-3.1,2023/12/Data_1222/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-034.hdf5,-7.508993446422492e-08,3.5717802533258835e-09,7.464983025864856e-06,3.5717802533258835e-09,-0.0100589558213396,0.0004784955220087,diode-lowfield_-3.1V/data.csv
-0.045,-3.815343072719848e-06,3.761742134268581e-06,-8.997814239485753e-05,-9.113514702564032e-05,-3.816791616840209e-06,3.7608856605745432e-06,3.480174972688915e-09,1.899400770920198e-09,39,41,-3.1,2023/12/Data_1222/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-034.hdf5,-5.5905956265665713e-08,3.964762430348448e-09,7.577677277414752e-06,3.964762430348448e-09,-0.0073777167090888,0.0005232302968486,diode-lowfield_-3.1V/data.csv
-0.04,-3.859340709075207e-06,3.821553656036449e-06,-9.544156058789464e-05,-9.6517339259672e-05,-3.859328766884645e-06,3.818450387241308e-06,2.695751505503978e-09,2.362167170581852e-09,39,39,-3.1,2023/12/Data_1222/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-034.hdf5,-4.087837964333628e-08,3.584258629228872e-09,7.677779154125953e-06,3.584258629228872e-09,-0.0053242453087972,0.0004668419551357,diode-lowfield_-3.1V/data.csv
-0.035,-3.896884928098595e-06,3.866719247375236e-06,-0.0001013906987734,-0.0001024920226824,-3.897464822900627e-06,3.866531858632902e-06,2.666114766600211e-09,2.114617362582757e-09,37,37,-3.1,2023/12/Data_1222/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-034.hdf5,-3.093296426772565e-08,3.402906777862149e-09,7.763996681533529e-06,3.402906777862149e-09,-0.0039841547512892,0.0004382966563922,diode-lowfield_-3.1V/data.csv
-0.03,-3.92910706554159e-06,3.905071740919468e-06,-0.0001020606631301,-0.0001031625850611,-3.930935774883134e-06,3.9078345779258685e-06,2.67301503266048e-09,2.910591349200309e-09,37,37,-3.1,2023/12/Data_1222/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-034.hdf5,-2.3101196957265324e-08,3.951778253757235e-09,7.838770352809002e-06,3.951778253757235e-09,-0.0029470434669625,0.000504134607417,diode-lowfield_-3.1V/data.csv
-0.025,-3.956999640452869e-06,3.941571308919255e-06,-0.0001022888745547,-0.0001035443398258,-3.958535654231349e-06,3.939276935746784e-06,2.6009472426720634e-09,2.050337607545076e-09,37,37,-3.1,2023/12/Data_1222/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-034.hdf5,-1.925871848456504e-08,3.3119195135264194e-09,7.897812589978133e-06,3.3119195135264194e-09,-0.0024384876527715,0.0004193476766489,diode-lowfield_-3.1V/data.csv
-0.02,-3.985993974879335e-06,3.964282082056744e-06,-0.0001015649676585,-0.0001030423590592,-3.9834243456025085e-06,3.964663390883854e-06,2.792973296675579e-09,2.350435956055425e-09,37,37,-3.1,2023/12/Data_1222/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-034.hdf5,-1.8760954718654265e-08,3.6503765585842005e-09,7.948087736486363e-06,3.6503765585842005e-09,-0.0023604362886597,0.0004592786150485,diode-lowfield_-3.1V/data.csv
-0.015,-3.999905962038203e-06,3.986185051188376e-06,-0.000101249041692,-0.0001024268379435,-4.000524181939056e-06,3.9855135173146855e-06,2.867250475723596e-09,1.872367140914919e-09,37,37,-3.1,2023/12/Data_1222/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-034.hdf5,-1.5010664624370432e-08,3.424453825198274e-09,7.98603769925374e-06,3.424453825198274e-09,-0.0018796135442452,0.0004288058738715,diode-lowfield_-3.1V/data.csv
-0.01,-4.00930429085888e-06,3.996438961918031e-06,-9.70677903020058e-05,-9.86936984497182e-05,-4.012472723947824e-06,3.998796651250883e-06,3.297538409183796e-09,2.269090897863197e-09,39,37,-3.1,2023/12/Data_1222/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-034.hdf5,-1.3676072696941244e-08,4.002815641871109e-09,8.011269375198707e-06,4.002815641871109e-09,-0.0017071043372077,0.0004996488430125,diode-lowfield_-3.1V/data.csv
-0.005,-4.018618371120587e-06,4.012191662664692e-06,-0.000107660832816,-0.0001090178989462,-4.021818896763998e-06,4.01450374207543e-06,3.916530703540885e-09,2.653161654215662e-09,37,35,-3.1,2023/12/Data_1222/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-034.hdf5,-7.315154688567945e-09,4.730589763991256e-09,8.036322638839428e-06,4.730589763991256e-09,-0.000910261448839,0.0005886512944309,diode-lowfield_-3.1V/data.csv
0.0,-4.017709931481567e-06,4.017474082007023e-06,-0.0001043303376638,-0.0001058494265741,-4.021709789338615e-06,4.01933948136951e-06,4.135794788137954e-09,2.325753072671757e-09,37,35,-3.1,2023/12/Data_1222/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-034.hdf5,-2.3703079691049427e-09,4.744884180317912e-09,8.041049270708125e-06,4.744884180317912e-09,-0.0002947759538968,0.0005900827400412,diode-lowfield_-3.1V/data.csv
0.005,-4.0153818781299664e-06,4.017188129193224e-06,-0.0001007899100299,-0.0001027285197391,-4.017034087679736e-06,4.020170039198151e-06,3.820291931351207e-09,3.234575185406043e-09,37,37,-3.1,2023/12/Data_1222/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-034.hdf5,3.135951518415176e-09,5.0057074495810956e-09,8.037204126877888e-06,5.0057074495810956e-09,0.000390179404294,0.0006228170582199,diode-lowfield_-3.1V/data.csv
0.01,-4.010300255304033e-06,4.017744085436202e-06,-0.0001022000805852,-0.0001040360442261,-4.010775027624484e-06,4.020905062390351e-06,3.47049574213603e-09,2.608218873041573e-09,37,37,-3.1,2023/12/Data_1222/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-034.hdf5,1.0130034765866456e-08,4.3413300249894124e-09,8.031680090014835e-06,4.3413300249894124e-09,0.0012612597429596,0.0005405261949398,diode-lowfield_-3.1V/data.csv
