VectorMagnet - Field Y,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate 21 - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.0625,-3.61575437904542e-06,3.40980070828108e-06,-3.868188999748177e-05,-3.873086522497656e-05,-3.6016314066992237e-06,3.397626394556892e-06,1.090764554745478e-08,1.326881450295496e-08,37,35,-3.0,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-2.0400501214233165e-07,1.7176675164383182e-08,6.999257801256115e-06,1.7176675164383182e-08,-0.029146663537056756,0.002455113118653884
-0.05,-3.7468988012940376e-06,3.660669352965213e-06,-4.041551789474326e-05,-4.103871873713476e-05,-3.743689764075471e-06,3.6576220236804265e-06,9.661421615018736e-09,8.58260652027304e-09,37,37,-3.0,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-8.60677403950445e-08,1.2923010574358613e-08,7.4013117877558976e-06,1.2923010574358613e-08,-0.011628714322970109,0.0017461613137493132
-0.0375,-3.855858867606242e-06,3.832664705680458e-06,-4.040036990075718e-05,-4.124645312646814e-05,-3.85512754945431e-06,3.827068945509828e-06,7.607216035293731e-09,5.9702832869394e-09,37,37,-3.0,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-2.805860394448204e-08,9.670264646530517e-09,7.682196494964138e-06,9.670264646530517e-09,-0.003652419456190052,0.0012587974226032186
-0.025,-3.943318574640675e-06,3.921350620614908e-06,-4.383778782185444e-05,-4.5234976806836623e-05,-3.937125647868069e-06,3.923716753595795e-06,7.3365981054930565e-09,7.345518043888859e-09,37,39,-3.0,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-1.340889427227453e-08,1.0381825807372281e-08,7.860842401463865e-06,1.0381825807372281e-08,-0.0017057833737739727,0.0013207033522782802
-0.0125,-3.986915545503694e-06,3.973051196559615e-06,-4.362165501886725e-05,-4.46355851949223e-05,-3.980954090921875e-06,3.975203121454289e-06,7.049305137465005e-09,6.158933479946998e-09,37,39,-3.0,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,-5.750969467586251e-09,9.360831401724024e-09,7.956157212376163e-06,9.360831401724024e-09,-0.0007228325577378432,0.0011765521466341091
0.0,-3.98812756602103e-06,4.009204476294646e-06,-4.907721948557807e-05,-5.049059133066196e-05,-3.9929025014353e-06,4.000377210127559e-06,7.955046983847071e-09,7.155337272760963e-09,39,39,-3.0,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,7.474708692258513e-09,1.0699608591073633e-08,7.99327971156286e-06,1.0699608591073633e-08,0.0009351241245124707,0.001338576110850887
0.0125,-3.972483578014694e-06,4.009391376297792e-06,-5.4418094969762414e-05,-5.585347028007697e-05,-3.9756791161983895e-06,4.000505519319495e-06,8.745263600978194e-09,9.024146924669346e-09,39,39,-3.0,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,2.482640312110572e-08,1.2566418072331244e-08,7.976184635517885e-06,1.2566418072331244e-08,0.003112566252610797,0.0015755000064048214
0.025,-3.921936436265851e-06,3.965365953309911e-06,-5.24612801721983e-05,-5.308036553758461e-05,-3.92900925234816e-06,3.964332731122573e-06,6.255210299667665e-09,7.86525697447523e-09,39,39,-3.0,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,3.532347877441273e-08,1.0049374267465595e-08,7.893341983470734e-06,1.0049374267465595e-08,0.004475097981106458,0.001273158430853852
0.0375,-3.833597414936615e-06,3.898284652543017e-06,-4.805544110347053e-05,-4.786680437684596e-05,-3.839459079165895e-06,3.887009915402223e-06,5.622378636182051e-09,8.988792827243644e-09,37,39,-3.0,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,4.755083623632742e-08,1.060233644154453e-08,7.726468994568118e-06,1.060233644154453e-08,0.006154277752199191,0.0013722357819021074
0.05,-3.682280248548937e-06,3.789329932315864e-06,-4.104573636477781e-05,-4.110584750918292e-05,-3.6815624233546288e-06,3.7797976165195336e-06,8.436946470182964e-09,9.565099937534318e-09,37,37,-3.0,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,9.823519316490487e-08,1.2754340537862074e-08,7.461360039874162e-06,1.2754340537862074e-08,0.013165856176344175,0.0017095336291262162
0.0625,-3.4506254318288405e-06,3.638075971348148e-06,-3.842664130350871e-05,-3.790180263056283e-05,-3.44084534380204e-06,3.636857042022237e-06,1.2042954817099912e-08,9.79337463504647e-09,35,37,-3.0,2023/12/Data_1220/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-031.hdf5,1.96011698220197e-07,1.552233704920369e-08,7.077702385824277e-06,1.552233704920369e-08,0.027694255499183335,0.0021939730803984332
