VectorMagnet - Field Y,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate 21 - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.06,-3.5694212573162728e-06,3.425875081740091e-06,-6.469027183262136e-05,-6.363096595707789e-05,-3.566025700835161e-06,3.4246019945823123e-06,2.6156273181396047e-09,2.1774254804661834e-09,37,37,-3.4,2023/12/Data_1224/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-043.hdf5,-1.414237062528485e-07,3.4033348337155384e-09,6.990627695417473e-06,3.4033348337155384e-09,-0.020230473201362904,0.0004869421396318832
-0.055,-3.61803475245706e-06,3.5138109967209968e-06,-7.550711994365257e-05,-7.471210749006825e-05,-3.614997778438416e-06,3.511708874807913e-06,3.409600364244949e-09,1.9327815786154527e-09,41,41,-3.4,2023/12/Data_1224/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-043.hdf5,-1.0328890363050296e-07,3.919313622880227e-09,7.126706653246329e-06,3.919313622880227e-09,-0.014493216664594046,0.0005500051320224203
-0.05,-3.665987551055594e-06,3.5860138172742397e-06,-8.397625779865431e-05,-8.335223638814857e-05,-3.6634595242258286e-06,3.587955353297101e-06,3.05326812212148e-09,2.27948112440437e-09,43,45,-3.4,2023/12/Data_1224/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-043.hdf5,-7.550417092872763e-08,3.8103123785431345e-09,7.2514148775229296e-06,3.8103123785431345e-09,-0.010412336379037757,0.000525486265528203
-0.045,-3.706992914665041e-06,3.650276763541794e-06,-9.160928083694358e-05,-9.158740832182115e-05,-3.708031897085115e-06,3.6537261552700023e-06,3.2664050564304634e-09,2.447853758387595e-09,45,47,-3.4,2023/12/Data_1224/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-043.hdf5,-5.4305741815112534e-08,4.081836598288419e-09,7.361758052355117e-06,4.081836598288419e-09,-0.007376735479338316,0.0005544800069249535
-0.04,-3.753783964878212e-06,3.707729492114798e-06,-9.740373506211602e-05,-9.69494488669726e-05,-3.750842777009328e-06,3.7103445427185294e-06,3.5677447909931118e-09,3.3931654401560366e-09,43,45,-3.4,2023/12/Data_1224/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-043.hdf5,-4.049823429079872e-08,4.923654597748281e-09,7.461187319727858e-06,4.923654597748281e-09,-0.005427853846226161,0.0006599120107278529
-0.035,-3.788864525915439e-06,3.754567412594405e-06,-9.5978261904709e-05,-9.583134732898762e-05,-3.787305866992723e-06,3.756397614492269e-06,2.580537725905211e-09,2.414024023502978e-09,45,45,-3.4,2023/12/Data_1224/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-043.hdf5,-3.090825250045403e-08,3.5336506534842327e-09,7.543703481484992e-06,3.5336506534842327e-09,-0.004097225265589267,0.0004684277851296493
-0.03,-3.821393872534948e-06,3.793979477688068e-06,-9.959435859659924e-05,-9.938834271317716e-05,-3.820975115567757e-06,3.7962305554144695e-06,3.014305926941536e-09,1.933086397034854e-09,43,43,-3.4,2023/12/Data_1224/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-043.hdf5,-2.474456015328736e-08,3.580902573318083e-09,7.617205670982226e-06,3.580902573318083e-09,-0.003248508865600394,0.0004701095942836024
-0.025,-3.849950933934034e-06,3.825919414730937e-06,-9.828761603286804e-05,-9.77222451946854e-05,-3.850477662278931e-06,3.827040642849754e-06,2.3976601813423038e-09,2.6080324373079314e-09,43,45,-3.4,2023/12/Data_1224/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-043.hdf5,-2.343701942917655e-08,3.5426836634456595e-09,7.677518305128686e-06,3.5426836634456595e-09,-0.0030526816736497135,0.0004614381925910538
-0.02,-3.8739106469082575e-06,3.850042588334995e-06,-0.0001002704964981,-9.993522597030268e-05,-3.874775938568563e-06,3.852374187312501e-06,3.152366225617539e-09,2.915006438486338e-09,43,43,-3.4,2023/12/Data_1224/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-043.hdf5,-2.2401751256061542e-08,4.2935620825639604e-09,7.727150125881064e-06,4.2935620825639604e-09,-0.002899096159789862,0.0005556485969285842
-0.015,-3.890052924961437e-06,3.866923639288694e-06,-0.0001012039494222,-0.0001007744967854,-3.892503270522035e-06,3.870918229492615e-06,2.800441268845868e-09,2.356439485400069e-09,43,43,-3.4,2023/12/Data_1224/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-043.hdf5,-2.158504102941934e-08,3.6599560582891697e-09,7.76342150001465e-06,3.6599560582891697e-09,-0.0027803515536775386,0.00047143778096220794
-0.01,-3.904811037864874e-06,3.881791695990898e-06,-0.0001060440321578,-0.0001053334896892,-3.903918707948261e-06,3.884072469435692e-06,2.497686758312112e-09,2.362119430663197e-09,41,41,-3.4,2023/12/Data_1224/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-043.hdf5,-1.984623851256888e-08,3.4377386967837292e-09,7.787991177383954e-06,3.4377386967837292e-09,-0.0025483129167122895,0.0004414167634026312
-0.005,-3.914242767234989e-06,3.898045593911569e-06,-0.0001061804133785,-0.000105469840267,-3.914394975852267e-06,3.897270377064108e-06,3.596135914167597e-09,2.2117536084116934e-09,41,41,-3.4,2023/12/Data_1224/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-043.hdf5,-1.7124598788158956e-08,4.221853566561513e-09,7.811665352916375e-06,4.221853566561513e-09,-0.0021921828463588406,0.0005404562945571453
