VectorMagnet - Field Y,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate 21 - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.06,-3.4537208838814514e-06,3.2185332099940675e-06,-6.756200131993758e-05,-6.154651570486146e-05,-3.4531885116486097e-06,3.2166779967134498e-06,3.1907515557156105e-09,2.599108225876878e-09,35,33,7.0,2024/01/Data_0109/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-125.hdf5,-2.3651051493515995e-07,4.115368642068708e-09,6.6698665083620595e-06,4.115368642068708e-09,-0.03545955749468824,0.0006173969322585669
-0.055,-3.4834847691456108e-06,3.261961937450325e-06,-7.8324163030777e-05,-7.208190729072949e-05,-3.48042179417036e-06,3.2624730651827864e-06,2.7186647387043827e-09,2.1796439251424014e-09,39,39,7.0,2024/01/Data_0109/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-125.hdf5,-2.1794872898757372e-07,3.4845352060044885e-09,6.742894859353146e-06,3.4845352060044885e-09,-0.03232272392402123,0.0005170412786197506
-0.05,-3.507890444449646e-06,3.3054196981806194e-06,-8.673050870319836e-05,-8.11641845166596e-05,-3.5070257182429e-06,3.3046155297625926e-06,3.345261648115205e-09,2.999807074022673e-09,43,41,7.0,2024/01/Data_0109/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-125.hdf5,-2.0241018848030756e-07,4.4932858773626824e-09,6.811641248005493e-06,4.4932858773626824e-09,-0.029715333076235483,0.0006599392222772327
-0.045,-3.5317648736319227e-06,3.345650991900337e-06,-9.284729376035552e-05,-8.760131616779518e-05,-3.530109653969296e-06,3.344751963258707e-06,3.129914362776065e-09,2.9378981775795303e-09,45,43,7.0,2024/01/Data_0109/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-125.hdf5,-1.8535769071058907e-07,4.292739174482538e-09,6.874861617228003e-06,4.292739174482538e-09,-0.026961661344003417,0.0006246379044569155
-0.04,-3.549843493498381e-06,3.383092346725099e-06,-9.862657037971366e-05,-9.30859538619792e-05,-3.5510681843109525e-06,3.382620953455612e-06,2.325049686696863e-09,2.332904526313106e-09,45,45,7.0,2024/01/Data_0109/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-125.hdf5,-1.684472308553406e-07,3.2936756935832887e-09,6.933689137766564e-06,3.2936756935832887e-09,-0.024294026961468273,0.0004751651607145186
-0.035,-3.570313959896456e-06,3.4199241412412166e-06,-0.0001006076144733,-9.454639857538064e-05,-3.570268946181178e-06,3.4205156825228904e-06,2.284905332789346e-09,4.466479059588705e-09,43,45,7.0,2024/01/Data_0109/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-125.hdf5,-1.4975326365828754e-07,5.0169938777672025e-09,6.990784628704068e-06,5.0169938777672025e-09,-0.021421524422795497,0.0007178228361519409
-0.03,-3.585621847313838e-06,3.45361836973879e-06,-9.917262804574164e-05,-9.33549363888128e-05,-3.58596196452041e-06,3.4535439441937387e-06,2.6324400125519356e-09,3.2623572793415342e-09,45,45,7.0,2024/01/Data_0109/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-125.hdf5,-1.3241802032667131e-07,4.191982280229382e-09,7.039505908714149e-06,4.191982280229382e-09,-0.018810698086459746,0.000595599168387771
-0.025,-3.5974803262042665e-06,3.4835554156019606e-06,-0.0001006815045016,-9.497205070951918e-05,-3.5955655912665174e-06,3.481891520194994e-06,1.924656095625147e-09,2.3139758493671272e-09,45,45,7.0,2024/01/Data_0109/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-125.hdf5,-1.1367407107152339e-07,3.0097816063431167e-09,7.077457111461511e-06,3.0097816063431167e-09,-0.016061428459585456,0.00042531798494953917
-0.02,-3.6034388163791462e-06,3.5075686178381748e-06,-0.0001040030161444,-9.849831142391352e-05,-3.6011828847930245e-06,3.5080081144888e-06,1.4516794579269594e-09,1.839864988064275e-09,43,45,7.0,2024/01/Data_0109/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-125.hdf5,-9.317477030422456e-08,2.343603298954809e-09,7.1091909992818245e-06,2.343603298954809e-09,-0.013106240965200843,0.00032968653888752373
-0.015,-3.603555308365708e-06,3.530553774267189e-06,-0.0001051602253973,-9.937045623420849e-05,-3.6029558201719302e-06,3.5284930301795728e-06,1.886297261138755e-09,1.760418828335942e-09,43,45,7.0,2024/01/Data_0109/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-125.hdf5,-7.446278999235744e-08,2.5801534467041413e-09,7.1314488503515026e-06,2.5801534467041413e-09,-0.01044146730277498,0.0003618190562184557
-0.01,-3.598671515311132e-06,3.5491245298848208e-06,-0.000106161073787,-0.0001005541522486,-3.5999765154855022e-06,3.5474663459080427e-06,1.7936631377615034e-09,1.5282985730251211e-09,43,43,7.0,2024/01/Data_0109/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-125.hdf5,-5.2510169577459487e-08,2.3564642963718043e-09,7.147442861393545e-06,2.3564642963718043e-09,-0.007346707150481721,0.00032970223550427523
-0.005,-3.597932318169799e-06,3.567737110423646e-06,-0.0001073726492422,-0.0001015231597426,-3.599065888275823e-06,3.567274556969114e-06,2.300358218482102e-09,2.487318486191077e-09,41,43,7.0,2024/01/Data_0109/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-125.hdf5,-3.179133130670921e-08,3.387978923353276e-09,7.166340445244937e-06,3.387978923353276e-09,-0.004436201649867699,0.00047276741686968365
0.0,-3.591881139802238e-06,3.5800573633229663e-06,-0.0001081666574539,-0.0001020382571504,-3.590317703069718e-06,3.58057947074315e-06,1.9772824330162147e-09,1.8043856989909094e-09,41,43,7.0,2024/01/Data_0109/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-125.hdf5,-9.738232326568337e-09,2.6768364855996406e-09,7.170897173812868e-06,2.6768364855996406e-09,-0.001358021470748601,0.0003732920566361962
0.005,-3.579869782409065e-06,3.592039721745178e-06,-0.0001159977981927,-0.0001099811750602,-3.579721605180799e-06,3.5922317129805164e-06,2.003101763789502e-09,2.091098761485553e-09,39,41,7.0,2024/01/Data_0109/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-125.hdf5,1.251010779971749e-08,2.89570556279174e-09,7.171953318161315e-06,2.89570556279174e-09,0.0017443097082127587,0.00040375471501135257
0.01,-3.567751161653019e-06,3.603709173469154e-06,-0.0001083888751354,-0.0001020517809927,-3.5663672542408736e-06,3.602304718753999e-06,2.110220395676043e-09,2.1376993330619102e-09,41,43,7.0,2024/01/Data_0109/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-125.hdf5,3.5937464513125256e-08,3.0037956916042894e-09,7.1686719729948724e-06,3.0037956916042894e-09,0.005013127208010827,0.00041902230253317615
0.015,-3.5481627749467783e-06,3.603589111029917e-06,-0.0001120975377841,-0.0001059509590689,-3.547459502093677e-06,3.6042197791175656e-06,1.5081712197660663e-09,1.9615313120484303e-09,41,43,7.0,2024/01/Data_0109/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-125.hdf5,5.67602770238887e-08,2.474305057238719e-09,7.151679281211243e-06,2.474305057238719e-09,0.007936636248916842,0.0003459862903795456
0.02,-3.5259337362792536e-06,3.603672182212084e-06,-0.0001075843639444,-0.0001013123511781,-3.5269950143693883e-06,3.60392255524702e-06,1.5744181445616755e-09,1.7170898563292416e-09,41,43,7.0,2024/01/Data_0109/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-125.hdf5,7.69275408776316e-08,2.32963303304057e-09,7.130917569616408e-06,2.32963303304057e-09,0.010787888112100241,0.0003267137175526045
0.025,-3.502867239157577e-06,3.6034666973604977e-06,-0.0001062087269187,-0.0001002828982761,-3.502929679309454e-06,3.601803024363637e-06,1.885939479216219e-09,2.145706571830226e-09,43,43,7.0,2024/01/Data_0109/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-125.hdf5,9.887334505418321e-08,2.85671566867649e-09,7.104732703673091e-06,2.85671566867649e-09,0.013916546783395028,0.0004021252318557532
