gate,delta_slope,delta_slope_err,delta_yint,delta_yint_err,eta_slope,eta_slope_err,eta_yint,eta_yint_err,path,blim,quiet,parent_csv
-3.1,9.909424352495863e-07,9.773154436605633e-08,-8.456241518612068e-10,1.3566168447225762e-09,0.1241921577934297,0.0122430446265864,-0.000108134109088,0.0001694996194567,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-3.1V/data.csv,0.02,True,diode-lowfield_-3.1V/fit_slope/fit.csv
-4.4,-1.2012228830144092e-06,6.1260959076354e-08,-2.5095225115648042e-08,8.378152609035454e-10,-0.1894226587711077,0.0096826463029522,-0.0039524487823187,0.0001321080160946,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-4.4V/data.csv,0.02,True,diode-lowfield_-4.4V/fit_slope/fit.csv
-2.5,2.6573493409771336e-06,1.1055268692090969e-07,-2.366975734327932e-09,1.504981073238654e-09,0.3298032425077624,0.0137195507365013,-0.0002980605612447,0.0001862002244367,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-2.5V/data.csv,0.02,True,diode-lowfield_-2.5V/fit_slope/fit.csv
-5.7,1.1312997502539559e-07,2.0677148025380467e-08,-8.188133717899371e-09,2.7865888188717547e-10,0.0651426140277529,0.0115844201803185,-0.0045747537959057,0.0001555030595975,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-5.7V/data.csv,0.02,True,diode-lowfield_-5.7V/fit_slope/fit.csv
4.0,4.11007351254496e-06,7.614557584867384e-08,-9.009661933758936e-09,9.62738846046935e-10,0.5431879698913262,0.0100615852936046,-0.0011963848965081,0.0001268361068469,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_4.0V/data.csv,0.02,True,diode-lowfield_4.0V/fit_slope/fit.csv
-5.5,-5.401077580798605e-09,2.7785295932330685e-08,-1.7124013348969474e-08,3.641187730501169e-10,-0.0007481546066438,0.0113312973134297,-0.0069661514610885,0.0001480999836679,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-5.5V/data.csv,0.02,True,diode-lowfield_-5.5V/fit_slope/fit.csv
8.0,4.292515138447672e-06,6.294777641517264e-08,-9.493442069107529e-09,8.165453889103461e-10,0.6120260068958187,0.0089735515048136,-0.0013566394818545,0.0001161935561918,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_8.0V/data.csv,0.02,True,diode-lowfield_8.0V/fit_slope/fit.csv
-5.8,1.618129632442414e-07,1.80547000034779e-08,-4.948758027183788e-09,2.1697576414793287e-10,0.1012240833907196,0.0112621075192503,-0.0030792664579875,0.0001349507941194,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-5.8V/data.csv,0.02,True,diode-lowfield_-5.8V/fit_slope/fit.csv
-4.8,-1.2224657338744163e-06,3.801143400881394e-08,-3.271767396127598e-08,5.350530165256159e-10,-0.2438513828337278,0.0076194252456603,-0.0065307502152671,0.0001069087194958,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-4.8V/data.csv,0.02,True,diode-lowfield_-4.8V/fit_slope/fit.csv
-4.2,-9.586814187107815e-07,5.81885212130709e-08,-2.1193699807811243e-08,7.971307625783625e-10,-0.1412601990065474,0.0085989185602961,-0.0031193203257977,0.0001174418456692,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-4.2V/data.csv,0.02,True,diode-lowfield_-4.2V/fit_slope/fit.csv
