field,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,gate,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err,parent_csv
-0.05,3.413249658368193e-06,-3.457778405684633e-06,9.7932878909335e-05,5.200322437933662e-05,3.4130088383695497e-06,-3.4551395149549345e-06,1.403736345636531e-09,2.715875885158844e-09,41,45,-2.5,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-239.hdf5,-4.213067658538477e-08,3.057197663162841e-09,6.868148353324484e-06,3.057197663162841e-09,-0.0061342117872267,0.0004451352860055,diode-lowfield_-2.5V/data.csv
-0.045,3.49572311466147e-06,-3.517492147562026e-06,0.0001026501124492,5.619933123952396e-05,3.4956432572341345e-06,-3.5138878827642565e-06,1.543186040363444e-09,2.9432525365662954e-09,41,47,-2.5,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-239.hdf5,-1.8244625530122007e-08,3.3232752894060012e-09,7.009531139998391e-06,3.3232752894060012e-09,-0.0026028310832393,0.0004741096772605,diode-lowfield_-2.5V/data.csv
-0.04,3.5651234045199784e-06,-3.56925856913528e-06,0.0001064810484324,5.900742015694918e-05,3.563744937604128e-06,-3.566849469157917e-06,1.758123700226905e-09,1.990385771555097e-09,39,47,-2.5,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-239.hdf5,-3.104531553788916e-09,2.6556796615760196e-09,7.130594406762045e-06,2.6556796615760196e-09,-0.000435381873753,0.0003724345772295,diode-lowfield_-2.5V/data.csv
-0.035,3.619364183799807e-06,-3.615495412999777e-06,0.0001070271606465,5.875746331294387e-05,3.619063598962068e-06,-3.6134971411564977e-06,1.5300705104764691e-09,2.764934538189057e-09,39,47,-2.5,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-239.hdf5,5.566457805570448e-09,3.160059930998217e-09,7.232560740118566e-06,3.160059930998217e-09,0.0007696385838412,0.0004369214418608,diode-lowfield_-2.5V/data.csv
-0.03,3.667839199727625e-06,-3.657831638935394e-06,0.00010766054532,5.976450597022476e-05,3.666701922553103e-06,-3.655605557163576e-06,1.651333360180546e-09,2.384842132888796e-09,39,47,-2.5,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-239.hdf5,1.1096365389527197e-08,2.900754016673381e-09,7.322307479716679e-06,2.900754016673381e-09,0.0015154192063451,0.0003961534469142,diode-lowfield_-2.5V/data.csv
-0.025,3.702340962338574e-06,-3.6936127521392414e-06,0.0001160444657012,6.760806113066136e-05,3.701758588531914e-06,-3.693342837504904e-06,2.9817750668352113e-09,1.953909321683665e-09,35,51,-2.5,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-239.hdf5,8.415751027009615e-09,3.564932564097454e-09,7.395101426036818e-06,3.564932564097454e-09,0.0011380169847812,0.0004820670694233,diode-lowfield_-2.5V/data.csv
-0.02,3.7280208162481593e-06,-3.725038066743896e-06,0.0001222301944051,7.36213291394541e-05,3.728765963363297e-06,-3.722933212602873e-06,1.5470479342236699e-09,2.79699987831875e-09,33,49,-2.5,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-239.hdf5,5.832750760424268e-09,3.196336282386574e-09,7.45169917596617e-06,3.196336282386574e-09,0.0007827410396861,0.0004289407269508,diode-lowfield_-2.5V/data.csv
-0.015,3.749756617051761e-06,-3.747988175109725e-06,0.0001224741498104,7.425223110017816e-05,3.749093472356871e-06,-3.745028369386448e-06,1.491290434887094e-09,2.306276748356345e-09,33,49,-2.5,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-239.hdf5,4.065102970423125e-09,2.746426696854452e-09,7.494121841743319e-06,2.746426696854452e-09,0.000542438868258,0.0003664775084934,diode-lowfield_-2.5V/data.csv
-0.01,3.760800636902009e-06,-3.759597009857164e-06,0.0001228210798519,7.394035455749294e-05,3.760476104942129e-06,-3.758078441690717e-06,1.535508632154524e-09,2.088549384412212e-09,33,49,-2.5,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-239.hdf5,2.3976632514119398e-09,2.592262581327302e-09,7.518554546632846e-06,2.592262581327302e-09,0.0003188994954469,0.0003447820584477,diode-lowfield_-2.5V/data.csv
-0.005,3.7630500142983968e-06,-3.763160724727441e-06,0.0001217612644548,7.262391053618821e-05,3.764267041981697e-06,-3.7628644770406015e-06,1.8797456292568403e-09,1.9408563705321592e-09,33,51,-2.5,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-239.hdf5,1.402564941095621e-09,2.701919147892005e-09,7.527131519022299e-06,2.701919147892005e-09,0.0001863345867613,0.0003589573515448,diode-lowfield_-2.5V/data.csv
