VectorMagnet - Field Z,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,gate 15 - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.05,3.336239571690457e-06,-3.351585649728268e-06,0.000143150807322,0.0001020170628517,3.331981466570945e-06,-3.3477153039250526e-06,4.970729696855412e-09,4.893718003397745e-09,63,63,-3.0,2024/01/Data_0116/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-226.hdf5,-1.5733837354107568e-08,6.975430425140768e-09,6.679696770495998e-06,6.975430425140768e-09,-0.002355471796804222,0.001044276411862148
-0.045,3.420495715122017e-06,-3.4105347993564924e-06,0.0001436617596497,0.0001033764193684,3.416899580341834e-06,-3.405970940621249e-06,4.824369442646014e-09,5.17170189071838e-09,63,65,-3.0,2024/01/Data_0116/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-226.hdf5,1.092863972058532e-08,7.072555476318067e-09,6.8228705209630825e-06,7.072555476318067e-09,0.001601765662562022,0.0010365966241693164
-0.04,3.4905421516498907e-06,-3.4648262713772413e-06,0.0001407391950285,0.0001002668085266,3.488322381950943e-06,-3.4599798225907112e-06,4.222311640776767e-09,5.309833645779566e-09,65,63,-3.0,2024/01/Data_0116/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-226.hdf5,2.8342559360231803e-08,6.783969998289476e-09,6.948302204541655e-06,6.783969998289476e-09,0.004079062557426778,0.0009763574232587939
-0.035,3.5478885536277525e-06,-3.516117303107142e-06,0.0001346574800705,9.393535633283538e-05,3.546583811603344e-06,-3.513055740539019e-06,4.796388756163519e-09,4.3333622455644734e-09,67,61,-3.0,2024/01/Data_0116/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-226.hdf5,3.3528071064325006e-08,6.464005990988514e-09,7.059639552142363e-06,6.464005990988514e-09,0.00474926103757668,0.0009156386586332224
-0.03,3.59076005024863e-06,-3.5574910129207835e-06,0.0001278391864252,8.672628980878688e-05,3.589583228406583e-06,-3.554004060847432e-06,5.812005986862333e-09,4.4827279779974875e-09,69,59,-3.0,2024/01/Data_0116/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-226.hdf5,3.5579167559151066e-08,7.339908971918183e-09,7.143587289254015e-06,7.339908971918183e-09,0.004980574341503777,0.0010274949701712568
-0.025,3.62080080170512e-06,-3.590106816979817e-06,0.0001275447756965,8.679152296993009e-05,3.617491777455333e-06,-3.588723374125822e-06,6.470587947220092e-09,3.321066504070481e-09,69,57,-3.0,2024/01/Data_0116/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-226.hdf5,2.8768403329510947e-08,7.273100515403926e-09,7.206215151581155e-06,7.273100515403926e-09,0.003992165474437537,0.0010092896644474081
-0.02,3.649272674077177e-06,-3.626187666792984e-06,0.0001243735069912,8.270558160760697e-05,3.6443123070246015e-06,-3.623698544843215e-06,7.189321547622362e-09,3.761277019170077e-09,67,55,-3.0,2024/01/Data_0116/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-226.hdf5,2.0613762181386612e-08,8.113787594585166e-09,7.268010851867816e-06,8.113787594585166e-09,0.0028362316184611987,0.0011163742589816263
-0.015,3.665975367768664e-06,-3.646182362954014e-06,0.0001200145315506,7.807418098629152e-05,3.6624374980974953e-06,-3.645036267643156e-06,7.434624705081596e-09,2.529430192792221e-09,67,55,-3.0,2024/01/Data_0116/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-226.hdf5,1.7401230454339207e-08,7.853130688178981e-09,7.307473765740651e-06,7.853130688178981e-09,0.0023812922238490583,0.0010746741220968308
-0.01,3.676210372394584e-06,-3.664997354985522e-06,0.0001257215400695,8.408337857385308e-05,3.675860836368675e-06,-3.66342040635885e-06,6.794308272818124e-09,3.4014891438040422e-09,69,59,-3.0,2024/01/Data_0116/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-226.hdf5,1.2440430009825154e-08,7.598207242600162e-09,7.339281242727525e-06,7.598207242600162e-09,0.0016950474574267535,0.0010352809637390948
-0.005,3.6810803173905024e-06,-3.671161165465694e-06,0.0001193200521186,7.770065394990615e-05,3.676229100197597e-06,-3.669304655617965e-06,7.833425984344596e-09,3.7197943350453126e-09,69,57,-3.0,2024/01/Data_0116/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-226.hdf5,6.924444579631884e-09,8.671760637104802e-09,7.345533755815562e-06,8.671760637104802e-09,0.0009426741214210205,0.001180549266859093
0.0,3.678870890408728e-06,-3.672192932824399e-06,0.0001077733465025,6.589099618715547e-05,3.676344347873791e-06,-3.6730159486235616e-06,6.5388483094719115e-09,2.932089558881281e-09,63,53,-3.0,2024/01/Data_0116/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-226.hdf5,3.3283992502294475e-09,7.166148644535941e-09,7.349360296497353e-06,7.166148644535941e-09,0.0004528828518334768,0.0009750711749497554
0.005,3.676825613911839e-06,-3.6763099995744046e-06,9.96129539904724e-05,5.75809961006147e-05,3.674955888115302e-06,-3.675424906623168e-06,4.9872412927475114e-09,2.731131479932795e-09,63,49,-3.0,2024/01/Data_0116/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-226.hdf5,-4.690185078660145e-10,5.686093111510377e-09,7.35038079473847e-06,5.686093111510377e-09,-6.380873603198164e-05,0.0007735780338286964
