VectorMagnet - Field Z,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,gate 15 - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.05,2.551190800485998e-07,-2.6202440409518946e-07,9.83286077049284e-05,8.609107686962194e-05,2.55014769492682e-07,-2.619295524070477e-07,1.6167224694764198e-10,2.207509905739101e-10,37,33,-6.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-268.hdf5,-6.914782914365697e-09,2.7362184721337927e-10,5.169443218997296e-07,2.7362184721337927e-10,-0.013376262435680528,0.0005293535751100995
-0.045,2.592894299955195e-07,-2.658745299424179e-07,0.000103936954513,9.126384969879128e-05,2.5914860834892376e-07,-2.657135693608409e-07,1.7334474908568566e-10,1.8803206044014846e-10,35,37,-6.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-268.hdf5,-6.564961011917142e-09,2.557429525694637e-10,5.248621777097647e-07,2.557429525694637e-10,-0.012507971217441004,0.0004872954616613183
-0.04,2.630382538064203e-07,-2.6912371246419304e-07,0.0001086028170599,9.520896386872863e-05,2.62667277969e-07,-2.6872931510744534e-07,2.1959201556799204e-10,2.1587775647647447e-10,33,37,-6.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-268.hdf5,-6.062037138445332e-09,3.079348292131458e-10,5.313965930764453e-07,3.079348292131458e-10,-0.01140774558479953,0.0005795198339218335
-0.035,2.694866918385441e-07,-2.751908497651453e-07,0.0001113851450868,0.0001052672316068,2.691918167952232e-07,-2.7446394436546253e-07,7.092218703434199e-10,7.10081780330955e-10,25,31,-6.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-268.hdf5,-5.272127570239342e-09,1.0035994201529798e-09,5.436557611606857e-07,1.0035994201529798e-09,-0.009697547505030643,0.0018461068220149393
-0.03,2.706251271998886e-07,-2.755484709446242e-07,0.0001088283423019,0.000100745488867,2.705304232931271e-07,-2.755358029435231e-07,1.3862493449695106e-10,1.9984595956017078e-10,31,35,-6.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-268.hdf5,-5.005379650395978e-09,2.4321858485076624e-10,5.460662262366502e-07,2.4321858485076624e-10,-0.009166250190735624,0.00044541997028915486
-0.025,2.7258146641714053e-07,-2.772002926261217e-07,0.0001094632278,0.0001008021527602,2.725674914247874e-07,-2.76939919651114e-07,1.3830245894311278e-10,2.2649962550000587e-10,33,35,-6.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-268.hdf5,-4.372428226326567e-09,2.653858521122675e-10,5.495074110759014e-07,2.653858521122675e-10,-0.007956995917062563,0.0004829675595292312
-0.02,2.747815957934766e-07,-2.7836439359608066e-07,0.0001110671067803,0.000103375802704,2.746312035494253e-07,-2.78237434195256e-07,1.4794064002325958e-10,1.8020478806010052e-10,31,35,-6.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-268.hdf5,-3.6062306458306996e-09,2.3315273665620444e-10,5.528686377446814e-07,2.3315273665620444e-10,-0.006522762189118932,0.0004217234992067291
-0.015,2.770034506695382e-07,-2.7928623920539445e-07,0.0001101403172731,0.0001019291347617,2.7670219611827085e-07,-2.7910451743108654e-07,1.7325080761415002e-10,2.8660997094582274e-10,31,35,-6.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-268.hdf5,-2.4023213128156966e-09,3.3490463983725365e-10,5.558067135493573e-07,3.3490463983725365e-10,-0.004322224352913224,0.0006025615739059861
-0.01,2.76522270389332e-07,-2.780702773325849e-07,9.988471645227104e-05,8.720703442061284e-05,2.764141363029149e-07,-2.7792889411053575e-07,1.1474746368302611e-10,1.5560026684180888e-10,25,17,-6.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-268.hdf5,-1.5147578076208377e-09,1.9333500320151424e-10,5.543430304134507e-07,1.9333500320151424e-10,-0.002732527919564664,0.0003487655014694736
-0.005,2.7683543063326065e-07,-2.772004901132779e-07,0.0001018423802837,8.862031548322472e-05,2.767467087502442e-07,-2.770403823808572e-07,1.5865814969671844e-10,2.1211176475398344e-10,35,35,-6.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-268.hdf5,-2.936736306130059e-10,2.64884520522124e-10,5.537870911311014e-07,2.64884520522124e-10,-0.0005303006070675683,0.00047831479283192313
