gate,delta_slope,delta_slope_err,delta_yint,delta_yint_err,eta_slope,eta_slope_err,eta_yint,eta_yint_err,path,blim,quiet,parent_csv
-2.5,-2.042983155274529e-07,7.518262479939006e-08,8.60084660036843e-10,9.608679269049992e-10,-0.0272947690342027,0.0100572868087431,0.0001144261459218,0.0001281025889771,../data/processed/centermax/JS633-W2_Wsc=0.9um-NNE_WFS06_slopes/diode-lowfield_-2.5V/data.csv,0.02,True,diode-lowfield_-2.5V/fit_slope/fit.csv
-5.5,1.4026025884381406e-07,1.9922007874989128e-08,6.318488627623764e-09,2.845828775316933e-10,0.0868629711657862,0.0124303253587621,0.0039284915812644,0.000177056636727,../data/processed/centermax/JS633-W2_Wsc=0.9um-NNE_WFS06_slopes/diode-lowfield_-5.5V/data.csv,0.02,True,diode-lowfield_-5.5V/fit_slope/fit.csv
-3.75,-1.9174311759412363e-06,5.64246376214528e-08,1.04120933862373e-08,7.365041904845216e-10,-0.2934013411543346,0.0086341410833538,0.0015865694225741,0.0001123703353242,../data/processed/centermax/JS633-W2_Wsc=0.9um-NNE_WFS06_slopes/diode-lowfield_-3.75V/data.csv,0.02,True,diode-lowfield_-3.75V/fit_slope/fit.csv
-6.75,3.3661557737801565e-08,1.4280659832626296e-08,1.140968249904128e-09,2.0411568474528896e-10,1.414732626303498,0.4453538181386536,0.0381895472545093,0.0062921137489277,../data/processed/centermax/JS633-W2_Wsc=0.9um-NNE_WFS06_slopes/diode-lowfield_-6.75V/data.csv,0.02,True,diode-lowfield_-6.75V/fit_slope/fit.csv
-3.5,-1.6189787772464354e-06,7.159949520915316e-08,1.3963284523977634e-08,8.809054544836125e-10,-0.2358391710727854,0.0104323349634945,0.0020296419848466,0.0001280159706727,../data/processed/centermax/JS633-W2_Wsc=0.9um-NNE_WFS06_slopes/diode-lowfield_-3.5V/data.csv,0.02,True,diode-lowfield_-3.5V/fit_slope/fit.csv
-4.75,-1.0774178192106582e-06,2.4861853997386355e-08,2.6106763437746522e-08,3.1641799015929567e-10,-0.2767125754628944,0.0063596090198933,0.0066669393903792,8.071462699744852e-05,../data/processed/centermax/JS633-W2_Wsc=0.9um-NNE_WFS06_slopes/diode-lowfield_-4.75V/data.csv,0.02,True,diode-lowfield_-4.75V/fit_slope/fit.csv
-1.0,2.2335606221243866e-06,9.565208700821734e-08,4.509891431317644e-09,1.3203179594370923e-09,0.2900116458056761,0.0124179168486808,0.0005833471267922,0.0001708016278755,../data/processed/centermax/JS633-W2_Wsc=0.9um-NNE_WFS06_slopes/diode-lowfield_-1.0V/data.csv,0.02,True,diode-lowfield_-1.0V/fit_slope/fit.csv
-4.25,-1.3888119276200911e-06,3.037234047228627e-08,1.5528249821142037e-08,3.819480350086565e-10,-0.255289543495163,0.0055841017802848,0.0028460140968884,7.000854290746991e-05,../data/processed/centermax/JS633-W2_Wsc=0.9um-NNE_WFS06_slopes/diode-lowfield_-4.25V/data.csv,0.02,True,diode-lowfield_-4.25V/fit_slope/fit.csv
-0.5,2.840594195432413e-06,1.244200843687381e-07,1.3452440424026555e-09,1.5307059387612944e-09,0.3682239143921475,0.0161278817379777,0.0001726655777949,0.0001975547571948,../data/processed/centermax/JS633-W2_Wsc=0.9um-NNE_WFS06_slopes/diode-lowfield_-0.5V/data.csv,0.02,True,diode-lowfield_-0.5V/fit_slope/fit.csv
-4.5,-1.337824925894923e-06,3.339996270858818e-08,2.9688539004989624e-08,4.5000867620306536e-10,-0.2813684814501499,0.0070180578792077,0.0062212415741161,9.425570017838016e-05,../data/processed/centermax/JS633-W2_Wsc=0.9um-NNE_WFS06_slopes/diode-lowfield_-4.5V/data.csv,0.02,True,diode-lowfield_-4.5V/fit_slope/fit.csv
-2.25,2.400373034363458e-07,6.238417655813194e-08,5.242166377559043e-10,8.69131479956084e-10,0.0321580167115754,0.0083470623964562,7.004985170229573e-05,0.0001159058138261,../data/processed/centermax/JS633-W2_Wsc=0.9um-NNE_WFS06_slopes/diode-lowfield_-2.25V/data.csv,0.02,True,diode-lowfield_-2.25V/fit_slope/fit.csv
