field,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err,parent_csv
-0.05,-3.501999410713735e-06,3.445898126251232e-06,-3.824237357564737e-05,8.139970974008654e-06,-3.5016041468305764e-06,3.4473853753902435e-06,1.885321206574126e-09,1.5603542723298567e-09,19,19,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-5.42187714403329e-08,2.4472722584821154e-09,6.94898952222082e-06,2.4472722584821154e-09,-0.0078023964875694,0.0003521874283012,diode-lowfield_-2.4V/data.csv
-0.045,-3.5612789557297995e-06,3.525954395106436e-06,-3.3261890375331866e-05,1.3368804923793278e-05,-3.56225667190834e-06,3.52602815133924e-06,1.429851723090532e-09,2.217984649118649e-09,21,19,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-3.6228520569100135e-08,2.6389262691009273e-09,7.08828482324758e-06,2.6389262691009273e-09,-0.0051110418771944,0.0003722989133034,diode-lowfield_-2.4V/data.csv
-0.04,-3.6126821947136178e-06,3.59576447464664e-06,-2.9901723623870464e-05,1.795644630250484e-05,-3.6133473552602015e-06,3.595300812046291e-06,1.694395150020116e-09,1.8681000255692303e-09,21,17,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-1.804654321391144e-08,2.522057221782141e-09,7.208648167306494e-06,2.522057221782141e-09,-0.0025034573466573,0.0003498665861445,diode-lowfield_-2.4V/data.csv
-0.035,-3.6616741768263263e-06,3.650705945730352e-06,-2.5671823680575977e-05,2.279024212191575e-05,-3.662655185782241e-06,3.6497886007745192e-06,1.644030466077006e-09,1.358388829616475e-09,21,17,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-1.2866585007721692e-08,2.132617261914616e-09,7.31244378655676e-06,2.132617261914616e-09,-0.0017595465186858,0.0002916426608473,diode-lowfield_-2.4V/data.csv
-0.03,-3.706010951249469e-06,3.695709971832772e-06,-2.443320475782364e-05,2.4377301411813745e-05,-3.706124544683747e-06,3.695010724819955e-06,1.7242392080420635e-09,2.477565766893519e-09,21,17,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-1.1113819863791952e-08,3.018498463778339e-09,7.401135269503702e-06,3.018498463778339e-09,-0.0015016371757973,0.0004078430885382,diode-lowfield_-2.4V/data.csv
-0.025,-3.740815323378441e-06,3.730808928808317e-06,-1.944638202231316e-05,2.9563080193909816e-05,-3.73954159543428e-06,3.730621050590213e-06,1.8694072580169907e-09,1.627744867034702e-09,23,15,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-8.920544844067079e-09,2.4787571176870924e-09,7.470162646024493e-06,2.4787571176870924e-09,-0.001194156709401,0.0003318212738476,diode-lowfield_-2.4V/data.csv
-0.02,-3.770764929570147e-06,3.7565897375983865e-06,-2.590120693698464e-05,2.2742243624080304e-05,-3.76870043596707e-06,3.7575138353412496e-06,2.291104309026526e-09,1.7099601509435602e-09,21,17,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-1.118660062582022e-08,2.858867375842195e-09,7.52621427130832e-06,2.858867375842195e-09,-0.0014863516002283,0.0003798550547122,diode-lowfield_-2.4V/data.csv
-0.015,-3.790721973681232e-06,3.7759102846368944e-06,-2.1049254295333625e-05,2.762528275427228e-05,-3.788780324092766e-06,3.776512484489737e-06,2.36524641470604e-09,1.4427377629980035e-09,23,17,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-1.2267839603029213e-08,2.770538369173085e-09,7.565292808582503e-06,2.770538369173085e-09,-0.001621594816411,0.0003662174197262,diode-lowfield_-2.4V/data.csv
-0.01,-3.8031832212547713e-06,3.7868976552598623e-06,-2.783985796334114e-05,2.1083953981149666e-05,-3.802379024891514e-06,3.788872396500184e-06,1.8496880671487795e-09,1.636834980529657e-09,21,17,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-1.3506628391329928e-08,2.4699341487655314e-09,7.591251421391698e-06,2.4699341487655314e-09,-0.0017792360760531,0.0003253663883815,diode-lowfield_-2.4V/data.csv
-0.005,-3.809049859053813e-06,3.795889381620219e-06,-1.3791999060844864e-05,3.466267894193653e-05,-3.807877880520193e-06,3.796595018344504e-06,2.4941830325189087e-09,1.5506658569598802e-09,23,15,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-1.12828621756887e-08,2.93692247082662e-09,7.604472898864697e-06,2.93692247082662e-09,-0.0014837139044013,0.0003862102926218,diode-lowfield_-2.4V/data.csv
0.0,-3.810715487987045e-06,3.8007476932008938e-06,-2.4926925588829253e-05,2.287618782696756e-05,-3.8107684808982217e-06,3.800655355313234e-06,2.262468555082481e-09,1.828938125839635e-09,21,17,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-1.0113125584987833e-08,2.90925740196477e-09,7.611423836211455e-06,2.90925740196477e-09,-0.0013286772360349,0.0003822228314365,diode-lowfield_-2.4V/data.csv
