VectorMagnet - Field Z,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.05,-3.540680243632206e-06,3.4780591079423277e-06,-3.203491417023383e-05,1.1399874976064852e-05,-3.5379482683644675e-06,3.4785464762420327e-06,1.926594056345348e-09,1.6316091099282147e-09,21,19,-2.2,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-027.hdf5,-5.940179212243475e-08,2.524660956553565e-09,7.0164947446065e-06,2.524660956553565e-09,-0.008466021038225139,0.000359830873176689
-0.045,-3.5957724079587137e-06,3.555769981838568e-06,-2.7997494460458123e-05,1.6071699676264354e-05,-3.5929456119873896e-06,3.556251002953593e-06,2.0498789019798932e-09,1.6506505366957975e-09,21,19,-2.2,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-027.hdf5,-3.669460903379644e-08,2.6318530937490444e-09,7.149196614940983e-06,2.6318530937490444e-09,-0.005132689868552364,0.00036813755484836673
-0.04,-3.645821277365284e-06,3.620843618835887e-06,-2.536527422706199e-05,1.973213155656068e-05,-3.6453241481576574e-06,3.622579303512717e-06,1.8303648173874202e-09,1.5286989394578168e-09,21,17,-2.2,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-027.hdf5,-2.2744844644940468e-08,2.3847758410863563e-09,7.267903451670374e-06,2.3847758410863563e-09,-0.0031294918536256895,0.0003281259217088548
-0.035,-3.693330202637222e-06,3.6806674060720744e-06,-2.2276479490896347e-05,2.3115386500340296e-05,-3.691287270456953e-06,3.678617104914538e-06,2.7557459499381915e-09,1.2920659757205242e-09,23,17,-2.2,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-027.hdf5,-1.2670165542414895e-08,3.043611378973238e-09,7.3699043753714915e-06,3.043611378973238e-09,-0.0017191763823633378,0.00041297901868853385
-0.03,-3.7328586076914022e-06,3.725425668712649e-06,-2.302678936697902e-05,2.241875557550453e-05,-3.7329047363352473e-06,3.725001693480596e-06,2.4452054340145972e-09,1.836170922691472e-09,23,17,-2.2,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-027.hdf5,-7.903042854651355e-09,3.0578674385709016e-09,7.457906429815843e-06,3.0578674385709016e-09,-0.0010596865124314122,0.0004100170985304095
-0.025,-3.7707361370800152e-06,3.760739941558018e-06,-2.2896713830601832e-05,2.319671747360581e-05,-3.767586747411312e-06,3.762197194220292e-06,2.0442168811501007e-09,1.8145568942154435e-09,23,17,-2.2,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-027.hdf5,-5.389553191020002e-09,2.7333933817736224e-09,7.529783941631604e-06,2.7333933817736224e-09,-0.0007157646531159508,0.0003630109579699278
-0.02,-3.7958401690638418e-06,3.790758109242618e-06,-2.058238089731445e-05,2.5902736543450515e-05,-3.795745896726528e-06,3.79003240377301e-06,1.5850300745106152e-09,1.670685236309415e-09,23,17,-2.2,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-027.hdf5,-5.7134929535181484e-09,2.302934974315465e-09,7.5857783004995384e-06,2.302934974315465e-09,-0.0007531848054591713,0.0003035859388846969
-0.015,-3.8159201619299e-06,3.810679070103424e-06,-1.7324035542486196e-05,2.945297058890597e-05,-3.816239672050595e-06,3.8087099741616834e-06,3.2171796512875274e-09,1.430369753119152e-09,23,15,-2.2,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-027.hdf5,-7.529697888911502e-09,3.520824127856528e-09,7.624949646212279e-06,3.520824127856528e-09,-0.0009875078837605054,0.00046175070104355765
-0.01,-3.828753153771543e-06,3.822360507298447e-06,-1.66717088744266e-05,3.0245335726673224e-05,-3.829574889860182e-06,3.8218993831354725e-06,2.611924137027354e-09,1.906058876765017e-09,23,15,-2.2,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-027.hdf5,-7.67550672470935e-09,3.2334514283163134e-09,7.651474272995654e-06,3.2334514283163134e-09,-0.0010031408916577702,0.00042259216196090645
-0.005,-3.835715764951796e-06,3.8308263630362766e-06,-2.025741507100748e-05,2.5944722661111227e-05,-3.836454859422707e-06,3.831983778397746e-06,1.916958790984726e-09,1.938567806262641e-09,23,17,-2.2,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-027.hdf5,-4.471081024961363e-09,2.7263118210893577e-09,7.668438637820453e-06,2.7263118210893577e-09,-0.0005830497231744359,0.0003555237791229081
