in-plane magnitude,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.05,-3.436082136662343e-06,3.4060136469375217e-06,-6.469842914699882e-05,-1.6422983568201677e-05,-3.435784968053129e-06,3.406675123308266e-06,1.554579035724593e-09,1.1560933950234022e-09,15,17,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-152.hdf5,-2.9109844744862977e-08,1.9373352617270822e-09,6.842460091361395e-06,1.9373352617270822e-09,-0.004254295144755634,0.0002831368788011553
-0.045,-3.49040571971805e-06,3.4810966074452214e-06,-5.985722856574055e-05,-1.12439553285513e-05,-3.490810046563852e-06,3.4819050338315746e-06,1.490443408907693e-09,1.517375189372188e-09,15,17,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-152.hdf5,-8.90501273227735e-09,2.1269341833913593e-09,6.972715080395427e-06,2.1269341833913593e-09,-0.0012771227032228516,0.0003050369753284037
-0.04,-3.542907516484831e-06,3.5448039717286013e-06,-5.674887777533584e-05,-7.402620031001557e-06,-3.5426126426941995e-06,3.5448422266354755e-06,1.0482129616294563e-09,7.551091891442746e-10,17,15,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-152.hdf5,2.2295839412759607e-09,1.2918747232058222e-09,7.087454869329675e-06,1.2918747232058222e-09,0.0003145817479451312,0.00018227626291058823
-0.035,-3.588189179707787e-06,3.5978785188991213e-06,-5.166300365344714e-05,-2.247256237557151e-06,-3.586978475148693e-06,3.59752316566968e-06,9.990202685506738e-10,1.1404171501836903e-09,17,15,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-152.hdf5,1.0544690520986944e-08,1.5161110689550914e-09,7.184501640818373e-06,1.5161110689550914e-09,0.0014676996468450689,0.0002110254514105688
-0.03,-3.628154384671716e-06,3.6390427525161703e-06,-4.92097593467157e-05,1.0856957648615614e-06,-3.6272670459172335e-06,3.639842022566677e-06,9.499584522587288e-10,1.1010217255810879e-09,17,13,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-152.hdf5,1.2574976649443412e-08,1.454190462497728e-09,7.2671090684839105e-06,1.454190462497728e-09,0.0017303960255638281,0.00020010607050366036
-0.025,-3.662956315645312e-06,3.673153977726973e-06,-4.999110809495048e-05,5.025647772391422e-07,-3.660492084466395e-06,3.673286224578461e-06,9.43998838814477e-10,9.981211270381447e-10,17,13,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-152.hdf5,1.279414011206588e-08,1.373819344718576e-09,7.3337783090448554e-06,1.373819344718576e-09,0.0017445496131627924,0.00018732791985274176
-0.02,-3.687870193593176e-06,3.698142069261007e-06,-4.7411543517665184e-05,3.2191233918096e-06,-3.6871985204507255e-06,3.6980605366348874e-06,9.447986374536523e-10,1.1389136270100386e-09,17,13,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-152.hdf5,1.0862016184161943e-08,1.4797867127135043e-09,7.3852590570856124e-06,1.4797867127135043e-09,0.001470769826786325,0.00020037053565554708
-0.015,-3.7071751893944695e-06,3.716387676322965e-06,-4.726245127247591e-05,3.489867249330317e-06,-3.706622649795739e-06,3.715904698360304e-06,1.4182310069219256e-09,6.133660059819443e-10,17,13,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-152.hdf5,9.282048564564988e-09,1.5451851171587894e-09,7.422527348156043e-06,1.5451851171587894e-09,0.0012505239966371967,0.00020817522831092806
-0.01,-3.719359020737248e-06,3.727665160917429e-06,-4.913305248013696e-05,1.8361119185879905e-06,-3.71906652528034e-06,3.726696657489468e-06,6.408413837088912e-10,9.782336200041103e-10,17,13,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-152.hdf5,7.63013220912796e-09,1.1694523053037572e-09,7.445763182769808e-06,1.1694523053037572e-09,0.001024761602247141,0.00015706286792091403
-0.005,-3.7257578623401458e-06,3.731051591770221e-06,-4.219067093040871e-05,8.929798321742351e-06,-3.725283192815561e-06,3.731274372527561e-06,1.7142378715240072e-09,8.253904624182532e-10,19,13,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-152.hdf5,5.9911797119997006e-09,1.9025984588499425e-09,7.456557565343122e-06,1.9025984588499425e-09,0.000803477966809475,0.00025515783339882884
0.0,-3.726035310126067e-06,3.733244688809635e-06,-5.408602469855334e-05,-3.33514277902354e-06,-3.726397057182674e-06,3.733332942366426e-06,1.1926290916569531e-09,8.673446949855781e-10,17,15,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-152.hdf5,6.935885183752293e-09,1.4746697834383515e-09,7.4597299995491e-06,1.4746697834383515e-09,0.0009297769737204335,0.0001976841549147846
0.005,-3.72549376793858e-06,3.733023004226162e-06,-4.783694109713004e-05,2.705792183077324e-06,-3.723555826454466e-06,3.732560421460169e-06,1.4531207062031247e-09,9.40441935564821e-10,17,13,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-152.hdf5,9.004595005702736e-09,1.7308930703440852e-09,7.4561162479146345e-06,1.7308930703440852e-09,0.0012076789988650174,0.00023214422563108577
0.01,-3.7178337658950993e-06,3.72519006042832e-06,-6.206287739986772e-05,-1.1458114109927797e-05,-3.718386509314705e-06,3.725600109551584e-06,1.1807444845011603e-09,9.6980612327622e-10,15,17,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-152.hdf5,7.213600236879016e-09,1.5279664441420045e-09,7.443986618866288e-06,1.5279664441420045e-09,0.0009690506722025301,0.00020526194360623678
0.015,-3.70535015065976e-06,3.7112950144052407e-06,-5.865329580504274e-05,-7.473286046863983e-06,-3.7056566106325535e-06,3.711681825957072e-06,1.3195652242906607e-09,6.227764117670196e-10,15,15,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-152.hdf5,6.025215324518348e-09,1.4591445576812004e-09,7.417338436589626e-06,1.4591445576812004e-09,0.0008123150070645349,0.0001967208388248249
0.02,-3.6875376199798846e-06,3.690234166701604e-06,-5.397335294127293e-05,-3.0454495696408984e-06,-3.6864884353452894e-06,3.6911237742423113e-06,1.8123828543923239e-09,9.826260691778695e-10,17,15,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-152.hdf5,4.635338897021864e-09,2.06162208048013e-09,7.377612209587601e-06,2.06162208048013e-09,0.0006282979865759267,0.00027944305404425793
0.025,-3.66071341848584e-06,3.663196153777408e-06,-5.509884105177391e-05,-3.5873690498120264e-06,-3.6603031735689735e-06,3.663304253414368e-06,1.4850576709184331e-09,2.522018822062755e-09,17,13,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-152.hdf5,3.001079845394372e-09,2.926768734422398e-09,7.323607426983342e-06,2.926768734422398e-09,0.0004097816377127335,0.0003996348806698534
0.03,-3.6231854714668174e-06,3.628705385423429e-06,-5.149895607259796e-05,-8.350078648649429e-07,-3.624251402050093e-06,3.628082242037488e-06,1.3724058132139244e-09,8.954170499905135e-10,17,13,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-152.hdf5,3.830839987395228e-09,1.6386791661448214e-09,7.252333644087581e-06,1.6386791661448214e-09,0.0005282216973729961,0.0002259520142308059
0.035,-3.577953873528317e-06,3.5804859046512167e-06,-5.104885870485257e-05,-5.87596571724302e-08,-3.5781743176065084e-06,3.5813746970644666e-06,7.469123162150874e-10,7.448920112431081e-10,17,13,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-152.hdf5,3.200379457958131e-09,1.054865923483923e-09,7.159549014670975e-06,1.054865923483923e-09,0.00044700852684995655,0.00014733693794290878
0.04,-3.5229199920830523e-06,3.5335357101684955e-06,-5.439293850722088e-05,-3.7877474362453608e-06,-3.523677598103607e-06,3.5337037931113893e-06,1.6739713755355992e-09,1.6229301061984886e-09,17,15,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-152.hdf5,1.002619500778228e-08,2.331540755748864e-09,7.057381391214997e-06,2.331540755748864e-09,0.00142066787268474,0.00033036943582517283
0.045,-3.4542749519630383e-06,3.4793399313225667e-06,-5.064149647661713e-05,-9.22652324733264e-07,-3.454639929473721e-06,3.48033263727002e-06,1.0812278445349204e-09,9.084131558406351e-10,17,13,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-152.hdf5,2.5692707796298995e-08,1.4121855804043503e-09,6.934972566743742e-06,1.4121855804043503e-09,0.003704803090282849,0.00020363386564300855
0.05,-3.373166775969186e-06,3.4213790030262544e-06,-4.855752379516644e-05,8.430805226935374e-08,-3.373133323882105e-06,3.420570471722349e-06,1.5337919484203902e-09,1.0602023853938942e-09,17,13,-2.6,2024/07/Data_0707/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-152.hdf5,4.7437147840243906e-08,1.8645500366131556e-09,6.793703795604454e-06,1.8645500366131556e-09,0.006982516351527701,0.00027445934437595745
