in-plane magnitude,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.05,-7.657704945071913e-07,7.485024770667315e-07,-4.720838152207518e-05,-6.282597599920769e-06,-7.649223488804907e-07,7.488102185800159e-07,6.025982030619175e-10,4.5764478746903145e-10,19,19,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-132.hdf5,-1.6112130300474774e-08,7.566791564666143e-10,1.5137325674605065e-06,7.566791564666143e-10,-0.010643974138381047,0.0004999046959770966
-0.045,-7.784129160332247e-07,7.632058116745523e-07,-4.041881531799088e-05,-2.997741029183555e-06,-7.782155610061362e-07,7.633810496391386e-07,4.920128182516728e-10,6.289162188865821e-10,21,19,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-132.hdf5,-1.4834511366997552e-08,7.985062452495589e-10,1.5415966106452748e-06,7.985062452495589e-10,-0.009622823029422843,0.0005179975158279749
-0.04,-7.910277239793672e-07,7.744533148061389e-07,-3.84510629475187e-05,-1.6039840105928483e-06,-7.882395799652987e-07,7.744518121984678e-07,7.531432418796932e-10,4.623380014197339e-10,21,19,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-132.hdf5,-1.3787767766830858e-08,8.837313903816294e-10,1.5626913921637666e-06,8.837313903816294e-10,-0.008823090621712422,0.0005655408304102362
-0.035,-7.988246884140784e-07,7.878500379971626e-07,-3.919764103050631e-05,-1.931528066479825e-06,-7.989890318559274e-07,7.868369241856807e-07,5.286364071207021e-10,4.959555118327371e-10,23,19,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-132.hdf5,-1.2152107670246775e-08,7.248643463785186e-10,1.5858259560416082e-06,7.248643463785186e-10,-0.007662951677610158,0.0004571028905296421
-0.03,-8.075599829711831e-07,7.954665895243827e-07,-3.677838773965308e-05,-2.065919807430081e-06,-8.072160536756873e-07,7.95460657645902e-07,6.640432770884913e-10,3.827726683187857e-10,21,17,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-132.hdf5,-1.17553960297853e-08,7.66464865116664e-10,1.6026767113215892e-06,7.66464865116664e-10,-0.007334851718218105,0.00047825333540364154
-0.025,-8.133580691835381e-07,8.009533577851712e-07,-3.957657402080624e-05,-4.6663319493405245e-06,-8.130083415314987e-07,8.014160875857264e-07,5.139406179508661e-10,4.660233253916804e-10,21,19,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-132.hdf5,-1.15922539457723e-08,6.937670348098402e-10,1.6144244291172253e-06,6.937670348098402e-10,-0.007180425256641463,0.0004297413411632382
-0.02,-8.182402760700483e-07,8.069341126692036e-07,-3.461768300009256e-05,-1.314190017536714e-07,-8.17811092737198e-07,8.065647315164946e-07,5.876042523903984e-10,5.304129499801247e-10,23,17,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-132.hdf5,-1.1246361220703361e-08,7.915912170646521e-10,1.6243758242536928e-06,7.915912170646521e-10,-0.0069234970459317305,0.0004873319199938374
-0.015,-8.209633821124961e-07,8.103955291633413e-07,-3.270494857805274e-05,1.676938029899259e-06,-8.208751379749086e-07,8.105877853824875e-07,4.409201773532852e-10,4.817485138727763e-10,23,17,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-132.hdf5,-1.0287352592421088e-08,6.530637284491316e-10,1.631462923357396e-06,6.530637284491316e-10,-0.006305599989517807,0.00040030128914979356
-0.01,-8.212495576636629e-07,8.117617337948214e-07,-3.323527521714139e-05,6.87642928236755e-07,-8.215088258311719e-07,8.112190887835371e-07,4.008561674745816e-10,4.4443495288919724e-10,23,17,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-132.hdf5,-1.0289737047634771e-08,5.985048824796944e-10,1.632727914614709e-06,5.985048824796944e-10,-0.006302175001437972,0.0003665747137267179
-0.005,-8.24517261395887e-07,8.175377323008976e-07,-3.132308395478347e-05,3.345867192634681e-06,-8.237870971756461e-07,8.158416847939435e-07,1.0395430578671542e-09,8.339142242331686e-10,23,17,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-132.hdf5,-7.945412381702634e-09,1.332690024926352e-09,1.6396287819695896e-06,1.332690024926352e-09,-0.004845860519817344,0.0008128093912756542
0.0,-8.25756455301344e-07,8.178786133142807e-07,-4.292755735025837e-05,-7.899710425565262e-06,-8.256582346567848e-07,8.173157033449671e-07,6.197057687714596e-10,8.406932751934284e-10,21,18,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-132.hdf5,-8.342531311817713e-09,1.044413913543897e-09,1.642973938001752e-06,1.044413913543897e-09,-0.0050777015501318416,0.0006356932105794963
0.005,-8.256061894402165e-07,8.177467436870185e-07,-4.248964549816551e-05,-7.453197075025808e-06,-8.250287659658218e-07,8.17581225367339e-07,5.55685300528209e-10,5.932696477664421e-10,21,19,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-132.hdf5,-7.447540598482776e-09,8.128683953654763e-10,1.6426099913331608e-06,8.128683953654763e-10,-0.004533967672045065,0.0004948689918017962
0.01,-8.239288748255222e-07,8.177128358496709e-07,-3.883204043733355e-05,-3.487226714978035e-06,-8.23953390708666e-07,8.170986300914768e-07,3.2388918138174527e-10,5.666599136103632e-10,21,19,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-132.hdf5,-6.854760617189174e-09,6.526926225330277e-10,1.6410520208001428e-06,6.526926225330277e-10,-0.004177052604247692,0.0003977316430254448
0.015,-8.230979307980337e-07,8.159538491658538e-07,-4.823112817592926e-05,-1.3226378276002566e-05,-8.222795277866711e-07,8.163310507050738e-07,5.994528556523596e-10,6.032752605938631e-10,19,21,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-132.hdf5,-5.9484770815972294e-09,8.504615018884524e-10,1.6386105784917449e-06,8.504615018884524e-10,-0.0036301957034065354,0.0005190172191370019
0.02,-8.195437241188391e-07,8.16050746435124e-07,-4.440058078116952e-05,-9.40781330756517e-06,-8.191082741304111e-07,8.1361705710625e-07,7.679629454330539e-10,7.566374653639945e-10,21,19,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-132.hdf5,-5.4912170241610845e-09,1.0780850335435798e-09,1.6327253312366612e-06,1.0780850335435798e-09,-0.0033632215530103393,0.0006603015890979064
0.025,-8.134830630773111e-07,8.085398295471079e-07,-4.820802322844484e-05,-1.1907340196204043e-05,-8.132176274271317e-07,8.087997749724575e-07,7.097230062294559e-10,5.841795149804079e-10,21,21,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-132.hdf5,-4.417852454674236e-09,9.192238308998091e-10,1.6220174023995892e-06,9.192238308998091e-10,-0.002723677593186441,0.0005667184822602092
0.03,-8.092275165161415e-07,8.076757248923657e-07,-4.466438419815546e-05,-1.0175896310330748e-05,-8.077211846442351e-07,8.046840400432796e-07,1.2410422000491887e-09,1.1303476227279286e-09,19,19,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-132.hdf5,-3.0371446009555515e-09,1.678651688263414e-09,1.6124052246875147e-06,1.678651688263414e-09,-0.0018836112377049337,0.0010410873398818746
0.035,-7.981718859523344e-07,7.954118921866702e-07,-5.142186334531241e-05,-1.3742301522042086e-05,-7.980222059668642e-07,7.954622676465621e-07,4.826522339587923e-10,4.4077015771672354e-10,17,21,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-132.hdf5,-2.559938320302046e-09,6.536294905212265e-10,1.5934844736134263e-06,6.536294905212265e-10,-0.0016065034599910873,0.0004101893333792133
0.04,-7.873494233821713e-07,7.859628509632298e-07,-5.363559617865598e-05,-1.5889726005755774e-05,-7.872179174760397e-07,7.862841224322068e-07,3.2563202378211656e-10,4.441502478234057e-10,19,21,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-132.hdf5,-9.33795043832841e-10,5.507319289400512e-10,1.5735020399082465e-06,5.507319289400512e-10,-0.0005934501641239005,0.00035000401140337575
