in-plane magnitude,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.05,-3.7096835081465898e-06,3.5261758042165144e-06,-6.003657739620177e-05,-1.2737872570505468e-05,-3.7111230616317663e-06,3.527072372716955e-06,2.246356388844977e-09,9.610744259027651e-10,15,17,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-137.hdf5,-1.8405068891481117e-07,2.443313544723431e-09,7.2381954343487215e-06,2.443313544723431e-09,-0.02542770371208852,0.00033766749234284693
-0.045,-3.760775018309777e-06,3.605898670481623e-06,-5.396980664785315e-05,-7.33973597720651e-06,-3.760164702565336e-06,3.6051062398113456e-06,2.6048683132484843e-09,1.4871060182511343e-09,17,17,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-137.hdf5,-1.550584627539905e-07,2.999470493084529e-09,7.365270942376682e-06,2.999470493084529e-09,-0.02105264883900592,0.00040733533723519787
-0.04,-3.8065152257432697e-06,3.670898515845145e-06,-5.080074698844898e-05,-4.193703395811157e-06,-3.805759678399293e-06,3.6708002549930144e-06,2.1037928028853287e-09,8.491127670961404e-10,17,17,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-137.hdf5,-1.3495942340627878e-07,2.268686106255727e-09,7.4765599333923075e-06,2.268686106255727e-09,-0.018051005356556304,0.00030348926636576673
-0.035,-3.841561534201013e-06,3.73082883711198e-06,-4.747771828743007e-05,-1.3355350965608872e-06,-3.843064671806647e-06,3.729508093012508e-06,1.6466868242245066e-09,1.9236133582691587e-09,17,15,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-137.hdf5,-1.1355657879413902e-07,2.5321662364833282e-09,7.572572764819155e-06,2.5321662364833282e-09,-0.014995772549285094,0.0003344241128193253
-0.03,-3.879652197896608e-06,3.780743103496672e-06,-4.487735556135946e-05,2.099430272604411e-06,-3.878111934721823e-06,3.7794405208783823e-06,2.0348216488508587e-09,1.0506685191803354e-09,19,15,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-137.hdf5,-9.867141384344106e-08,2.290066261012708e-09,7.657552455600206e-06,2.290066261012708e-09,-0.01288550283077455,0.0002990846466063036
-0.025,-3.900766203225704e-06,3.820660919585671e-06,-4.086144983006689e-05,6.089703608265823e-06,-3.9024498540516266e-06,3.82022113558389e-06,1.5334960882375555e-09,1.316001125624113e-09,19,15,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-137.hdf5,-8.22287184677367e-08,2.0207595639471355e-09,7.722670989635516e-06,2.0207595639471355e-09,-0.010647704476611093,0.0002616807208045944
-0.02,-3.925732840715396e-06,3.855808869290925e-06,-4.066068505066152e-05,6.666331733111864e-06,-3.923937495268173e-06,3.854487041976102e-06,1.0904797848464787e-09,2.3920418523773366e-09,19,15,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-137.hdf5,-6.945045329207102e-08,2.628880062818314e-09,7.778424537244276e-06,2.628880062818314e-09,-0.008928601538721848,0.00033798423256577355
-0.015,-3.935740050186026e-06,3.8807443291245225e-06,-3.809314176103398e-05,9.129868993209671e-06,-3.9361919617230016e-06,3.881557336648518e-06,2.6879627344707113e-09,1.8587293894785813e-09,19,15,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-137.hdf5,-5.4634625074483844e-08,3.2680297742240176e-09,7.817749298371518e-06,3.2680297742240176e-09,-0.006988536340742539,0.00041803714256090867
-0.01,-3.940674254854352e-06,3.905654090502591e-06,-3.558539163324488e-05,1.0945977930511458e-05,-3.9407819279209965e-06,3.90374873509609e-06,2.130656764115244e-09,1.722820424109746e-09,21,13,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-137.hdf5,-3.703319282490669e-08,2.7400380399183746e-09,7.844530663017087e-06,2.7400380399183746e-09,-0.004720893373455608,0.0003492966871878098
-0.005,-3.939783428342228e-06,3.919146315804861e-06,-3.813987982806022e-05,8.900780832345972e-06,-3.939295658505635e-06,3.919589564198692e-06,2.48635070220119e-09,1.254882440144843e-09,19,13,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-137.hdf5,-1.970609430694301e-08,2.7850798467764304e-09,7.858885222704328e-06,2.7850798467764304e-09,-0.0025074923158327957,0.0003543872347614875
