VectorMagnet - Field Z,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.05,-3.711570043647148e-06,3.527485844318539e-06,1.6671573737947572e-06,4.68631609909874e-05,-3.703424813585924e-06,3.521691731700492e-06,6.984762587388797e-09,4.977817887788948e-09,33,29,0.0,2024/06/Data_0610/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-023.hdf5,-1.8173308188543227e-07,8.57703791096774e-09,7.225116545286416e-06,8.57703791096774e-09,-0.025152961996715868,0.0011874895929899314
-0.045,-3.761511536271418e-06,3.60161989440346e-06,2.485859135227168e-06,4.811302026932957e-05,-3.755005429705499e-06,3.60064028184996e-06,6.386053722134979e-09,4.945348383927205e-09,33,29,0.0,2024/06/Data_0610/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-023.hdf5,-1.543651478555389e-07,8.077013852928905e-09,7.3556457115554595e-06,8.077013852928905e-09,-0.020985941127240088,0.0010983117691730942
-0.04,-3.8031017369927065e-06,3.6725046236793775e-06,2.6345148172013586e-06,4.7997356838169095e-05,-3.79906678283937e-06,3.668586536367825e-06,5.785206824325523e-09,5.822669529946501e-09,33,29,0.0,2024/06/Data_0610/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-023.hdf5,-1.3048024647154492e-07,8.208050831664606e-09,7.467653319207195e-06,8.208050831664606e-09,-0.017472724146947595,0.00109931504959448
-0.035,-3.841922212171747e-06,3.7314014764027263e-06,6.257177667742246e-07,4.634110932903807e-05,-3.8400970409431815e-06,3.726689636296072e-06,6.4283725741323965e-09,6.142461313088799e-09,33,31,0.0,2024/06/Data_0610/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-023.hdf5,-1.1340740464710968e-07,8.89122066617684e-09,7.566786677239254e-06,8.89122066617684e-09,-0.014987525020130002,0.0011751645168090643
-0.03,-3.881378161835973e-06,3.781891515846741e-06,-2.8791220002796927e-06,4.3200692393214405e-05,-3.875708707896835e-06,3.778888779883958e-06,4.768244214371426e-09,6.081704534005063e-09,33,31,0.0,2024/06/Data_0610/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-023.hdf5,-9.681992801287653e-08,7.72808403983965e-09,7.654597487780794e-06,7.72808403983965e-09,-0.012648598200941639,0.0010096810739016321
-0.025,-3.902617788720816e-06,3.822003089371076e-06,-4.379155737316934e-06,4.114832992774357e-05,-3.901343999839698e-06,3.819757276843578e-06,4.1166820614346455e-09,5.1172565778033175e-09,33,31,0.0,2024/06/Data_0610/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-023.hdf5,-8.158672299612017e-08,6.567601242311315e-09,7.721101276683276e-06,6.567601242311315e-09,-0.0105667209990499,0.0008506516948062975
-0.02,-3.921773842148225e-06,3.861276525766607e-06,-5.060945016611703e-06,3.970025657378142e-05,-3.920143266028139e-06,3.855171554416726e-06,6.772877030223107e-09,5.4968623591762226e-09,33,31,0.0,2024/06/Data_0610/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-023.hdf5,-6.497171161141357e-08,8.722806833941248e-09,7.775314820444866e-06,8.722806833941248e-09,-0.008356151887325922,0.0011218981566995202
-0.015,-3.941370024819307e-06,3.891261968254808e-06,-1.0580393573082006e-05,3.460795901718912e-05,-3.936420836008266e-06,3.883755342565161e-06,3.935034749484611e-09,6.618062561992702e-09,31,33,0.0,2024/06/Data_0610/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-023.hdf5,-5.26654934431054e-08,7.699561711818461e-09,7.820176178573427e-06,7.699561711818461e-09,-0.006734566107014835,0.000984598829801517
-0.01,-3.944633031530902e-06,3.911276717174384e-06,-1.3068175840574936e-05,3.2419636778403785e-05,-3.941736865758811e-06,3.904240968509907e-06,4.653284467220231e-09,6.6196128947131915e-09,31,33,0.0,2024/06/Data_0610/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-023.hdf5,-3.749589724890392e-08,8.09149746392633e-09,7.84597783426872e-06,8.09149746392633e-09,-0.004778996071736762,0.001031304196159897
-0.005,-3.9418396985093394e-06,3.922650865839083e-06,-9.2411033499861e-06,3.592395334946971e-05,-3.944293023050173e-06,3.921343401916814e-06,3.772506265570715e-09,6.9148309641239585e-09,31,33,0.0,2024/06/Data_0610/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-023.hdf5,-2.2949621133358275e-08,7.876972183915453e-09,7.865636424966987e-06,7.876972183915453e-09,-0.0029177068317716706,0.0010014454376793892
