VectorMagnet - Field Z,ic-,ic+,datafile,rmse-,rmse+,delta,sigma,delta_err,sigma_err,eta,eta_err
-0.2,-2.7600000000000003e-06,2.28e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-4.800000000000001e-07,5.040000000000001e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.09523809523809523,0.005637352188275244
-0.198,-2.74e-06,2.32e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-4.200000000000002e-07,5.06e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.08300395256917001,0.005608999694110592
-0.196,-2.78e-06,2.36e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-4.200000000000002e-07,5.14e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.08171206225680938,0.00552111658193816
-0.194,-2.84e-06,2.36e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-4.800000000000001e-07,5.199999999999999e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.09230769230769233,0.00546240705460084
-0.192,-2.86e-06,2.38e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-4.800000000000001e-07,5.240000000000001e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0916030534351145,0.0054203610104884125
-0.19,-2.86e-06,2.4e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-4.6000000000000025e-07,5.2600000000000005e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.08745247148288977,0.005397761096699704
-0.188,-2.9e-06,2.42e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-4.800000000000001e-07,5.32e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.09022556390977444,0.005338188741685477
-0.186,-2.92e-06,2.44e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-4.800000000000001e-07,5.3599999999999995e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.08955223880597017,0.0052980334123525425
-0.184,-2.96e-06,2.48e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-4.800000000000001e-07,5.4400000000000004e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.08823529411764706,0.0052195148729010255
-0.182,-3e-06,2.48e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-5.200000000000001e-07,5.48e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.09489051094890513,0.005184548290220719
