VectorMagnet - Field Z,ic-,ic+,datafile,rmse-,rmse+,delta,sigma,delta_err,sigma_err,eta,eta_err,ic+ smoothed,ic- smoothed,delta smoothed,eta smoothed
-0.2,-2.7600000000000003e-06,2.28e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-4.800000000000001e-07,5.040000000000001e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0952380952380952,0.0056373521882752,2.2878562091503276e-06,-2.7422483660130715e-06,-4.5439215686274527e-07,-0.09033331116549106
-0.198,-2.74e-06,2.32e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-4.200000000000002e-07,5.06e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.08300395256917,0.0056089996941105,2.3160634920634926e-06,-2.7669262371615312e-06,-4.5086274509803946e-07,-0.08872123000828645
-0.196,-2.78e-06,2.36e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-4.200000000000002e-07,5.14e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0817120622568093,0.0055211165819381,2.34175407598937e-06,-2.792500466853408e-06,-4.507463908640382e-07,-0.08780271403360405
-0.194,-2.84e-06,2.36e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-4.800000000000001e-07,5.199999999999999e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0923076923076923,0.0054624070546008,2.3652396753573224e-06,-2.8188151978740215e-06,-4.535755225166993e-07,-0.0874817363337759
-0.192,-2.86e-06,2.38e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-4.800000000000001e-07,5.240000000000001e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0916030534351145,0.0054203610104884,2.3868320045967104e-06,-2.8457145730086905e-06,-4.5888256841198046e-07,-0.08766227000113397
-0.19,-2.86e-06,2.4e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-4.6000000000000025e-07,5.2600000000000005e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0874524714828897,0.0053977610966997,2.4068427781368953e-06,-2.873042735042735e-06,-4.661999569058395e-07,-0.08824828812801026
-0.188,-2.9e-06,2.42e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-4.800000000000001e-07,5.32e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0902255639097744,0.0053381887416854,2.4255837104072396e-06,-2.900643826761474e-06,-4.750601163542342e-07,-0.0891437638067368
-0.186,-2.92e-06,2.44e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-4.800000000000001e-07,5.36e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0895522388059701,0.0052980334123525,2.4433665158371192e-06,-2.9283619909502437e-06,-4.849954751131252e-07,-0.09025267012964613
-0.184,-2.96e-06,2.48e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-4.800000000000001e-07,5.44e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.088235294117647,0.005219514872901,2.4600180995475266e-06,-2.958190045248887e-06,-4.981719457013606e-07,-0.09197331099037553
-0.182,-3e-06,2.48e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-5.200000000000001e-07,5.48e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0948905109489051,0.0051845482902207,2.4756742081448116e-06,-2.9847963800905163e-06,-5.091221719457044e-07,-0.09322289470147514
