VectorMagnet - Field Z,ic-,ic+,datafile,rmse-,rmse+,delta,sigma,delta_err,sigma_err,eta,eta_err
-0.2,-2.7600000000000003e-06,2.28e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-4.800000000000001e-07,5.040000000000001e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0952380952380952,0.0056373521882752
-0.198,-2.74e-06,2.32e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-4.200000000000002e-07,5.06e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.08300395256917,0.0056089996941105
-0.196,-2.78e-06,2.36e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-4.200000000000002e-07,5.14e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0817120622568093,0.0055211165819381
-0.194,-2.84e-06,2.36e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-4.800000000000001e-07,5.199999999999999e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0923076923076923,0.0054624070546008
-0.192,-2.86e-06,2.38e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-4.800000000000001e-07,5.240000000000001e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0916030534351145,0.0054203610104884
-0.19,-2.86e-06,2.4e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-4.6000000000000025e-07,5.2600000000000005e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0874524714828897,0.0053977610966997
-0.188,-2.9e-06,2.42e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-4.800000000000001e-07,5.32e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0902255639097744,0.0053381887416854
-0.186,-2.92e-06,2.44e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-4.800000000000001e-07,5.36e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0895522388059701,0.0052980334123525
-0.184,-2.96e-06,2.48e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-4.800000000000001e-07,5.44e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.088235294117647,0.005219514872901
-0.182,-3e-06,2.48e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-5.200000000000001e-07,5.48e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0948905109489051,0.0051845482902207
