VectorMagnet - Field Z,ic-,ic+,datafile,rmse-,rmse+,delta,sigma,delta_err,sigma_err,eta,eta_err
-0.35,-1.125e-06,1.1e-06,2023/10/Data_1011/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-078.hdf5,2.5e-08,2.5e-08,-2.4999999999999972e-08,2.225e-06,3.535533905932737e-08,3.535533905932737e-08,-0.011235955056179763,0.015891043027455688
-0.345,-1.1500000000000002e-06,1.1e-06,2023/10/Data_1011/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-078.hdf5,2.5e-08,2.5e-08,-5.0000000000000157e-08,2.2500000000000005e-06,3.535533905932737e-08,3.535533905932737e-08,-0.022222222222222286,0.015717363420088438
-0.3399999999999999,-1.175e-06,1.125e-06,2023/10/Data_1011/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-078.hdf5,2.5e-08,2.5e-08,-4.9999999999999945e-08,2.3e-06,3.535533905932737e-08,3.535533905932737e-08,-0.021739130434782584,0.015375518416821774
-0.3349999999999999,-1.2000000000000002e-06,1.1500000000000002e-06,2023/10/Data_1011/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-078.hdf5,2.5e-08,2.5e-08,-4.9999999999999945e-08,2.3500000000000004e-06,3.535533905932737e-08,3.535533905932737e-08,-0.021276595744680823,0.015048230093793262
-0.3299999999999999,-1.225e-06,1.175e-06,2023/10/Data_1011/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-078.hdf5,2.5e-08,2.5e-08,-4.9999999999999945e-08,2.4e-06,3.535533905932737e-08,3.535533905932737e-08,-0.02083333333333331,0.014734587844416627
-0.3249999999999999,-1.25e-06,1.2000000000000002e-06,2023/10/Data_1011/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-078.hdf5,2.5e-08,2.5e-08,-4.9999999999999945e-08,2.4500000000000003e-06,3.535533905932737e-08,3.535533905932737e-08,-0.020408163265306097,0.014433755477853772
-0.3199999999999999,-1.275e-06,1.225e-06,2023/10/Data_1011/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-078.hdf5,2.5e-08,2.5e-08,-5.0000000000000157e-08,2.4999999999999998e-06,3.535533905932737e-08,3.535533905932737e-08,-0.020000000000000063,0.01414496376806954
-0.3149999999999999,-1.3e-06,1.225e-06,2023/10/Data_1011/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-078.hdf5,2.5e-08,2.5e-08,-7.500000000000013e-08,2.525e-06,3.535533905932737e-08,3.535533905932737e-08,-0.029702970297029754,0.014008289915024997
-0.3099999999999999,-1.3250000000000002e-06,1.275e-06,2023/10/Data_1011/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-078.hdf5,2.5e-08,2.5e-08,-5.0000000000000157e-08,2.6000000000000005e-06,3.535533905932737e-08,3.535533905932737e-08,-0.019230769230769287,0.013600721559492076
-0.3049999999999999,-1.35e-06,1.275e-06,2023/10/Data_1011/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-078.hdf5,2.5e-08,2.5e-08,-7.499999999999992e-08,2.6250000000000003e-06,3.535533905932737e-08,3.535533905932737e-08,-0.028571428571428536,0.01347419690137681
