VectorMagnet - Field Z,ic-,ic+,datafile,rmse-,rmse+,delta,sigma,delta_err,sigma_err,eta,eta_err
-0.35,-1.125e-06,1.1e-06,2023/10/Data_1011/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-078.hdf5,2.5e-08,2.5e-08,-2.499999999999997e-08,2.225e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0112359550561797,0.0158910430274556
-0.345,-1.1500000000000002e-06,1.1e-06,2023/10/Data_1011/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-078.hdf5,2.5e-08,2.5e-08,-5.000000000000016e-08,2.2500000000000005e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0222222222222222,0.0157173634200884
-0.3399999999999999,-1.175e-06,1.125e-06,2023/10/Data_1011/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-078.hdf5,2.5e-08,2.5e-08,-4.9999999999999945e-08,2.3e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0217391304347825,0.0153755184168217
-0.3349999999999999,-1.2000000000000002e-06,1.1500000000000002e-06,2023/10/Data_1011/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-078.hdf5,2.5e-08,2.5e-08,-4.9999999999999945e-08,2.3500000000000004e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0212765957446808,0.0150482300937932
-0.3299999999999999,-1.225e-06,1.175e-06,2023/10/Data_1011/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-078.hdf5,2.5e-08,2.5e-08,-4.9999999999999945e-08,2.4e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0208333333333333,0.0147345878444166
-0.3249999999999999,-1.25e-06,1.2000000000000002e-06,2023/10/Data_1011/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-078.hdf5,2.5e-08,2.5e-08,-4.9999999999999945e-08,2.4500000000000003e-06,3.535533905932737e-08,3.535533905932737e-08,-0.020408163265306,0.0144337554778537
-0.3199999999999999,-1.275e-06,1.225e-06,2023/10/Data_1011/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-078.hdf5,2.5e-08,2.5e-08,-5.000000000000016e-08,2.5e-06,3.535533905932737e-08,3.535533905932737e-08,-0.02,0.0141449637680695
-0.3149999999999999,-1.3e-06,1.225e-06,2023/10/Data_1011/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-078.hdf5,2.5e-08,2.5e-08,-7.500000000000014e-08,2.525e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0297029702970297,0.0140082899150249
-0.3099999999999999,-1.3250000000000002e-06,1.275e-06,2023/10/Data_1011/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-078.hdf5,2.5e-08,2.5e-08,-5.000000000000016e-08,2.6000000000000005e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0192307692307692,0.013600721559492
-0.3049999999999999,-1.35e-06,1.275e-06,2023/10/Data_1011/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-078.hdf5,2.5e-08,2.5e-08,-7.499999999999993e-08,2.6250000000000003e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0285714285714285,0.0134741969013768
