VectorMagnet - Field Z,ic-,ic+,datafile,rmse-,rmse+,delta,sigma,delta_err,sigma_err,eta,eta_err,ic+ smoothed,ic- smoothed,delta smoothed,eta smoothed
-0.2,-2.02e-06,1.78e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-2.4000000000000024e-07,3.8e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0631578947368421,0.0074580597228253,1.7519084967320256e-06,-2.015313725490196e-06,-2.634052287581702e-07,-0.06983155493671216
-0.198,-2.04e-06,1.74e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-2.999999999999999e-07,3.78e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0793650793650793,0.0075061402440595,1.7852558356676e-06,-2.038422969187675e-06,-2.5316713352007485e-07,-0.06627292381464839
-0.196,-2.04e-06,1.82e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-2.2e-07,3.86e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0569948186528497,0.0073394231725487,1.8150888457947281e-06,-2.0624468864468865e-06,-2.473580406521584e-07,-0.06390440230443936
-0.194,-2.1e-06,1.84e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-2.5999999999999984e-07,3.94e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.065989847715736,0.0071943625738137,1.8419781656252247e-06,-2.087581555699203e-06,-2.456033900739784e-07,-0.06260453987404581
-0.192,-2.12e-06,1.88e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-2.400000000000001e-07,4e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.06,0.0070837842993699,1.8664944336709044e-06,-2.114023055375997e-06,-2.475286217050924e-07,-0.06225188599142846
-0.19,-2.16e-06,1.88e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-2.800000000000001e-07,4.04e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0693069306930693,0.0070178517122225,1.8892082884435827e-06,-2.141967463908641e-06,-2.527591754650579e-07,-0.06272499012454807
-0.188,-2.1400000000000003e-06,1.94e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-2.000000000000002e-07,4.08e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0490196078431373,0.0069407434573071,1.9106903684550744e-06,-2.171610859728507e-06,-2.609204912734326e-07,-0.06390240174136538
-0.186,-2.2e-06,1.92e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-2.800000000000003e-07,4.12e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0679611650485437,0.0068809501366764,1.9315113122172064e-06,-2.2031493212669816e-06,-2.7163800904977557e-07,-0.06566267030984152
-0.184,-2.2600000000000004e-06,1.96e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-3.000000000000005e-07,4.22e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.071090047393365,0.0067193489636087,1.9577375565610977e-06,-2.2393484162896063e-06,-2.8161085972850867e-07,-0.06695653830214578
-0.182,-2.2600000000000004e-06,1.94e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-3.200000000000003e-07,4.2e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0761904761904762,0.0067538684259345,1.9793846153846273e-06,-2.28021719457015e-06,-3.008325791855223e-07,-0.07059377994403945
-0.18,-2.32e-06,2e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-3.199999999999999e-07,4.319999999999999e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.074074074074074,0.0065652228117546,1.997266968325804e-06,-2.314352941176485e-06,-3.1708597285068074e-07,-0.07341429968997729
-0.178,-2.36e-06,2.06e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-2.999999999999997e-07,4.42e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0678733031674207,0.0064138792238214,2.016090497737569e-06,-2.351837104072413e-06,-3.3574660633484377e-07,-0.07678726445449817
-0.176,-2.38e-06,2.02e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-3.6e-07,4.4e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0818181818181818,0.006449723598652,2.0419004524887e-06,-2.3902081447963943e-06,-3.483076923076945e-07,-0.07861883673156365
-0.174,-2.44e-06,2.06e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-3.799999999999998e-07,4.5e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0844444444444443,0.0063077639455665,2.06438009049775e-06,-2.435058823529427e-06,-3.706787330316765e-07,-0.08248770952411591
-0.172,-2.5e-06,2.12e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-3.8000000000000017e-07,4.62e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0822510822510823,0.0061428105899638,2.0963438914027276e-06,-2.478316742081463e-06,-3.819728506787353e-07,-0.08345346988016887
-0.1699999999999999,-2.52e-06,2.12e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-4e-07,4.64e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0862068965517241,0.0061183568557529,2.1275294117647187e-06,-2.517212669683273e-06,-3.8968325791855433e-07,-0.0839709783612414
-0.1679999999999999,-2.52e-06,2.1e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-4.200000000000002e-07,4.62e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0909090909090909,0.006147382665019,2.1543891402715063e-06,-2.5610497737556717e-06,-4.0666063348416523e-07,-0.08625809566584415
-0.1659999999999999,-2.6e-06,2.2e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-4e-07,4.8e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0833333333333333,0.0059129813770577,2.1826063348416424e-06,-2.5998733031674365e-06,-4.172669683257942e-07,-0.0874119098251587
-0.1639999999999999,-2.66e-06,2.24e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-4.199999999999998e-07,4.9000000000000005e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0857142857142856,0.0057934658184836,2.209502262443452e-06,-2.6410859728506946e-06,-4.3158371040724223e-07,-0.08916044043712816
-0.1619999999999999,-2.72e-06,2.24e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-4.799999999999996e-07,4.96e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.096774193548387,0.0057291143458754,2.243239819004539e-06,-2.6905520361991114e-06,-4.473122171945727e-07,-0.09063643961743059
-0.1599999999999999,-2.74e-06,2.3000000000000004e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-4.399999999999996e-07,5.040000000000001e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0873015873015872,0.0056333039463328,2.2741900452488824e-06,-2.7378280542986594e-06,-4.6363800904977633e-07,-0.09243095562203395
-0.1579999999999999,-2.74e-06,2.3000000000000004e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-4.399999999999996e-07,5.040000000000001e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0873015873015872,0.0056333039463328,2.3047239819004665e-06,-2.785954751131239e-06,-4.812307692307719e-07,-0.09445509365095017
-0.1559999999999999,-2.84e-06,2.3000000000000004e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-5.399999999999995e-07,5.14e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1050583657587547,0.005533060960368,2.342515837104087e-06,-2.8391493212669853e-06,-4.966334841628987e-07,-0.0957919886224389
-0.1539999999999999,-2.88e-06,2.4e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-4.800000000000001e-07,5.28e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0909090909090909,0.0053789598318916,2.3761085972850827e-06,-2.8933212669683435e-06,-5.172126696832608e-07,-0.09806476652930005
-0.1519999999999999,-2.96e-06,2.38e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-5.8e-07,5.34e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1086142322097378,0.0053278310090288,2.4101538461538613e-06,-2.9468959276018278e-06,-5.367420814479669e-07,-0.10019666332190466
-0.1499999999999999,-3.04e-06,2.46e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-5.8e-07,5.5e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1054545454545454,0.0051711102407034,2.4478371040724133e-06,-2.998009049773774e-06,-5.501719457013607e-07,-0.10109697657209686
