VectorMagnet - Field Z,ic-,ic+,datafile,rmse-,rmse+,delta,sigma,delta_err,sigma_err,eta,eta_err
-0.2,-1.825e-06,1.6e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-2.2500000000000018e-07,3.4250000000000002e-06,3.535533905932737e-08,3.535533905932737e-08,-0.06569343065693435,0.010344977270471307
-0.195,-1.9e-06,1.675e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-2.2499999999999996e-07,3.575e-06,3.535533905932737e-08,3.535533905932737e-08,-0.06293706293706293,0.009909172702216052
-0.19,-1.9500000000000004e-06,1.7000000000000002e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-2.5000000000000015e-07,3.6500000000000006e-06,3.535533905932737e-08,3.535533905932737e-08,-0.06849315068493153,0.009709088624714975
-0.185,-2e-06,1.7750000000000002e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-2.2499999999999975e-07,3.7750000000000003e-06,3.535533905932737e-08,3.535533905932737e-08,-0.059602649006622446,0.009382273609908716
-0.18,-2.1e-06,1.8e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-2.999999999999999e-07,3.9e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0769230769230769,0.009092252916462413
-0.175,-2.1e-06,1.8e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-2.999999999999999e-07,3.9e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0769230769230769,0.009092252916462413
-0.1699999999999999,-2.2250000000000003e-06,1.9e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-3.250000000000003e-07,4.125e-06,3.535533905932737e-08,3.535533905932737e-08,-0.07878787878787885,0.008597552473144726
-0.1649999999999999,-2.325e-06,1.9500000000000004e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-3.749999999999998e-07,4.2750000000000006e-06,3.535533905932737e-08,3.535533905932737e-08,-0.08771929824561397,0.008302012239312158
-0.1599999999999999,-2.425e-06,2.025e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-4e-07,4.45e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0898876404494382,0.007977052477931635
-0.1549999999999999,-2.5e-06,2.075e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-4.2500000000000017e-07,4.575e-06,3.535533905932737e-08,3.535533905932737e-08,-0.09289617486338801,0.007761216245397777
-0.1499999999999999,-2.625e-06,2.15e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-4.749999999999997e-07,4.775e-06,3.535533905932737e-08,3.535533905932737e-08,-0.09947643979057585,0.007440803959093069
-0.1449999999999999,-2.725e-06,2.2e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-5.250000000000001e-07,4.925e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1065989847715736,0.007219421127120976
-0.1399999999999999,-2.825e-06,2.25e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-5.75e-07,5.075e-06,3.535533905932737e-08,3.535533905932737e-08,-0.11330049261083744,0.007011141615645351
