VectorMagnet - Field Z,ic-,ic+,datafile,rmse-,rmse+,delta,sigma,delta_err,sigma_err,eta,eta_err,ic+ smoothed,ic- smoothed,delta smoothed,eta smoothed
-0.2,-1.825e-06,1.6e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-2.2500000000000018e-07,3.425e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0656934306569343,0.0103449772704713,1.6192075163398697e-06,-1.8360866013071908e-06,-2.1687908496732034e-07,-0.06321576955605449
-0.195,-1.9e-06,1.675e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-2.2500000000000002e-07,3.575e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0629370629370629,0.009909172702216,1.6571977124183008e-06,-1.886489262371616e-06,-2.2929154995331472e-07,-0.0647179447525866
-0.19,-1.9500000000000004e-06,1.7000000000000002e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-2.5000000000000015e-07,3.6500000000000006e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0684931506849315,0.0097090886247149,1.6992737736120089e-06,-1.9429264526323354e-06,-2.436526790203261e-07,-0.06669696131602165
-0.185,-2e-06,1.7750000000000002e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-2.2499999999999975e-07,3.775e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0596026490066224,0.0093822736099087,1.745042914601738e-06,-2.0053950298067946e-06,-2.603521152050564e-07,-0.06915810503345118
-0.18,-2.1e-06,1.8e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-2.999999999999999e-07,3.9e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0769230769230769,0.0090922529164624,1.7941123500682323e-06,-2.07389185161244e-06,-2.797795015442074e-07,-0.07210666169196675
-0.175,-2.1e-06,1.8e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-2.999999999999999e-07,3.9e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0769230769230769,0.0090922529164624,1.8460892946922359e-06,-2.1484137757667174e-06,-3.0232448107448106e-07,-0.07554791707865988
-0.1699999999999999,-2.2250000000000003e-06,1.9e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-3.250000000000003e-07,4.125e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0787878787878788,0.0085975524731447,1.9005809631544926e-06,-2.228957659987072e-06,-3.283766968325792e-07,-0.07948715698062214
-0.1649999999999999,-2.325e-06,1.9500000000000004e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-3.749999999999998e-07,4.2750000000000006e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0877192982456139,0.0083020122393121,1.9571945701357587e-06,-2.3155203619909643e-06,-3.5832579185520574e-07,-0.08392966718494554
-0.1599999999999999,-2.425e-06,2.025e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-4e-07,4.45e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0898876404494382,0.0079770524779316,2.0121266968325915e-06,-2.40828054298644e-06,-3.9615384615384854e-07,-0.0896105056340859
-0.1549999999999999,-2.5e-06,2.075e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-4.250000000000002e-07,4.575e-06,3.535533905932737e-08,3.535533905932737e-08,-0.092896174863388,0.0077612162453977,2.0714705882353066e-06,-2.505746606334857e-06,-4.3427601809955014e-07,-0.09493460335117809
-0.1499999999999999,-2.625e-06,2.15e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-4.749999999999997e-07,4.775e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0994764397905758,0.007440803959093,2.132556561085986e-06,-2.611606334841645e-06,-4.790497737556591e-07,-0.10112110428612352
-0.1449999999999999,-2.725e-06,2.2e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-5.250000000000001e-07,4.925e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1065989847715736,0.0072194211271209,2.19771493212671e-06,-2.7237104072398357e-06,-5.259954751131254e-07,-0.10670360198946027
-0.1399999999999999,-2.825e-06,2.25e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-5.75e-07,5.075e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1133004926108374,0.0070111416156453,2.262285067873317e-06,-2.8426244343891574e-06,-5.803393665158406e-07,-0.11361086162098802
-0.1349999999999999,-2.95e-06,2.325e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-6.249999999999999e-07,5.275e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1184834123222748,0.0067493154368722,2.317692307692322e-06,-2.9489592760181173e-06,-6.312669683257956e-07,-0.12005692275773835
-0.1299999999999999,-3.1e-06,2.375e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-7.249999999999998e-07,5.475e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1324200913242008,0.0065139673654567,2.376764705882368e-06,-3.0764027149321456e-06,-6.996380090497779e-07,-0.12810402718336616
-0.1249999999999999,-3.2000000000000003e-06,2.4500000000000003e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-7.5e-07,5.65e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1327433628318584,0.0063124731870582,2.4416515837104227e-06,-3.2135972850678933e-06,-7.719457013574707e-07,-0.13621684567237644
-0.1199999999999999,-3.375e-06,2.5250000000000004e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-8.499999999999995e-07,5.9e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1440677966101693,0.0060542990025826,2.5125791855203773e-06,-3.3624208144796583e-06,-8.498416289592811e-07,-0.14426335693251402
