VectorMagnet - Field Z,ic-,ic+,datafile,rmse-,rmse+,delta,sigma,delta_err,sigma_err,eta,eta_err
-0.2,-1.825e-06,1.6e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-2.2500000000000018e-07,3.425e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0656934306569343,0.0103449772704713
-0.195,-1.9e-06,1.675e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-2.2500000000000002e-07,3.575e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0629370629370629,0.009909172702216
-0.19,-1.9500000000000004e-06,1.7000000000000002e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-2.5000000000000015e-07,3.6500000000000006e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0684931506849315,0.0097090886247149
-0.185,-2e-06,1.7750000000000002e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-2.2499999999999975e-07,3.775e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0596026490066224,0.0093822736099087
-0.18,-2.1e-06,1.8e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-2.999999999999999e-07,3.9e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0769230769230769,0.0090922529164624
-0.175,-2.1e-06,1.8e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-2.999999999999999e-07,3.9e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0769230769230769,0.0090922529164624
-0.1699999999999999,-2.2250000000000003e-06,1.9e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-3.250000000000003e-07,4.125e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0787878787878788,0.0085975524731447
-0.1649999999999999,-2.325e-06,1.9500000000000004e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-3.749999999999998e-07,4.2750000000000006e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0877192982456139,0.0083020122393121
-0.1599999999999999,-2.425e-06,2.025e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-4e-07,4.45e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0898876404494382,0.0079770524779316
-0.1549999999999999,-2.5e-06,2.075e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-4.250000000000002e-07,4.575e-06,3.535533905932737e-08,3.535533905932737e-08,-0.092896174863388,0.0077612162453977
-0.1499999999999999,-2.625e-06,2.15e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-4.749999999999997e-07,4.775e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0994764397905758,0.007440803959093
-0.1449999999999999,-2.725e-06,2.2e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-5.250000000000001e-07,4.925e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1065989847715736,0.0072194211271209
-0.1399999999999999,-2.825e-06,2.25e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-5.75e-07,5.075e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1133004926108374,0.0070111416156453
-0.1349999999999999,-2.95e-06,2.325e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-6.249999999999999e-07,5.275e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1184834123222748,0.0067493154368722
-0.1299999999999999,-3.1e-06,2.375e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-7.249999999999998e-07,5.475e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1324200913242008,0.0065139673654567
-0.1249999999999999,-3.2000000000000003e-06,2.4500000000000003e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-7.5e-07,5.65e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1327433628318584,0.0063124731870582
-0.1199999999999999,-3.375e-06,2.5250000000000004e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-8.499999999999995e-07,5.9e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1440677966101693,0.0060542990025826
-0.1149999999999999,-3.5e-06,2.5750000000000003e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-9.249999999999996e-07,6.075e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1522633744855966,0.0058868859635582
-0.1099999999999999,-3.625e-06,2.6500000000000005e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-9.749999999999996e-07,6.275e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1553784860557768,0.0057019245371378
-0.1049999999999999,-3.800000000000001e-06,2.725e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-1.0750000000000007e-06,6.525000000000001e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1647509578544062,0.0054914864977384
-0.0949999999999999,-4.1000000000000006e-06,2.85e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-1.2500000000000007e-06,6.95e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1798561151079137,0.0051687236039425
