imax,b,c,bstar,imax_err,b_err,c_err,bstar_err,ndata,chisqr,redchi,rsquared,datapath,bcol,icp_col,icm_col,icp_err_col,icm_err_col,bmax,bmask,quiet,parent_csv,device,wsc,gate,ic_argmax,ic_argmin,ic_argmax_err,ic_argmin_err,ic_max,ic_min,ic_max_err,ic_min_err
5.25e-06,47.83317556518868,-0.4477968328320685,0.0059942977083701,0.0,1.5204648534595964,0.0602694203214519,0.0016067430324501,36,9.43786252408697e-14,2.859958340632415e-15,0.9855282959028386,/home/wfsch/repos/diode-paper/data/processed/extract_ic/JS633-W2/Wsc=inf-SSE_diode-3V_coarsefield/data_qca.csv,,ic+,ic-,rmse+,rmse-,0.06,0.01,True,extract_ic/JS633-W2/Wsc=inf-SSE_diode-3V_coarsefield/fit_diode/data_qca_fit.csv,inf-SSE,inf,-3.0,0.0059942977083701,-0.0059942977083701,0.0016067430324501,0.0016067430324501,5.25e-06,-5.25e-06,0.0,0.0
4.63e-06,44.18418499513846,0.5492571812037754,0.0388626944721889,0.0,7.70908335049125,0.0945784772667978,0.001675713763721,100,1.3766930397172673e-13,1.419271174966255e-15,0.9819534728405764,/home/wfsch/repos/diode-paper/data/processed/extract_ic/JS633-W2/Wsc=inf-SSE_diode+10V/data_qca.csv,,ic+,ic-,rmse+,rmse-,0.06,0.01,True,extract_ic/JS633-W2/Wsc=inf-SSE_diode+10V/fit_diode/data_qca_fit.csv,inf-SSE,inf,10.0,0.0388626944721889,-0.0388626944721889,0.001675713763721,0.001675713763721,4.63e-06,-4.63e-06,0.0,0.0
5.462500000000001e-06,50.27329934794681,0.1206389365126865,0.0225812092155417,0.0,2.4735459387807435,0.0751117598479537,0.0014926766548729,50,1.4526158177094585e-13,3.0906719525733158e-15,0.986383684054391,/home/wfsch/repos/diode-paper/data/processed/extract_ic/JS633-W2/Wsc=inf-SSE_diode-0V/data_qca.csv,,ic+,ic-,rmse+,rmse-,0.06,,True,extract_ic/JS633-W2/Wsc=inf-SSE_diode-0V/fit_diode/data_qca_fit.csv,inf-SSE,inf,-0.0,0.0225812092155417,-0.0225812092155417,0.0014926766548729,0.0014926766548729,5.462500000000001e-06,-5.462500000000001e-06,0.0,0.0
4.147075354206139e-06,27.101811360026524,-0.1346486642119446,0.0078653759542314,0.0,0.2349169804423956,0.03154423432679,0.0012829560436298,40,3.129516718541641e-14,8.458153293355787e-16,0.995485714310781,/home/wfsch/repos/diode-paper/data/processed/centermax/JS633-W2/Wsc=0.9um-ENE_diode-0V/data_qca.csv,,ic+ from fit,ic- from fit,rmse+,rmse-,0.1,,True,centermax/JS633-W2/Wsc=0.9um-ENE_diode-0V/fit_diode/data_qca_fit.csv,0.9-ENE,9e-07,-0.0,0.0078653759542314,-0.0078653759542314,0.0012829560436298,0.0012829560436298,4.147075354206139e-06,-4.147075354206139e-06,0.0,0.0
3.3507329690127534e-06,18.07909453065096,0.1439261656833299,0.0206781797240929,0.0,0.2797574852728637,0.0338396849948193,0.0013351049745611,42,9.39213832433586e-15,2.4082405959835536e-16,0.9950649445758974,/home/wfsch/repos/diode-paper/data/processed/centermax/JS633-W2/Wsc=0.9um-ENE_diode+10V/data_qca.csv,,ic+ from fit,ic- from fit,rmse+,rmse-,0.1,,True,centermax/JS633-W2/Wsc=0.9um-ENE_diode+10V/fit_diode/data_qca_fit.csv,0.9-ENE,9e-07,10.0,0.0206781797240929,-0.0206781797240929,0.0013351049745611,0.0013351049745611,3.3507329690127534e-06,-3.3507329690127534e-06,0.0,0.0
2.160762549369466e-06,8.522220124110131,0.0442278680526734,0.0130596672935979,0.0,0.0579848587974485,0.023523963522592,0.0014003684807509,62,4.844153898881199e-15,8.210430337086776e-17,0.9956654511675987,/home/wfsch/repos/diode-paper/data/processed/centermax/JS633-W2/Wsc=0.3um-N_diode-0V/data_qca.csv,,ic+ from fit,ic- from fit,rmse+,rmse-,0.15,,True,centermax/JS633-W2/Wsc=0.3um-N_diode-0V/fit_diode/data_qca_fit.csv,0.3-N,3e-07,-0.0,0.0130596672935979,-0.0130596672935979,0.0014003684807509,0.0014003684807509,2.160762549369466e-06,-2.160762549369466e-06,0.0,0.0
3.994385909497134e-06,31.048655905596,-0.2630505360506855,-0.0015544772375578,0.0,0.4372023848016345,0.0356915070931604,0.0015593055926167,34,3.80130280024304e-14,1.2262267097558194e-15,0.9942291945368132,/home/wfsch/repos/diode-paper/data/processed/centermax/JS633-W2/Wsc=0.9um-ENE_diode-3V/data_qca.csv,,ic+ from fit,ic- from fit,rmse+,rmse-,0.1,,True,centermax/JS633-W2/Wsc=0.9um-ENE_diode-3V/fit_diode/data_qca_fit.csv,0.9-ENE,9e-07,-3.0,-0.0015544772375578,0.0015544772375578,0.0015593055926167,0.0015593055926167,3.994385909497134e-06,-3.994385909497134e-06,0.0,0.0
4.3460095611521125e-06,33.609798891154504,-0.0770608711626167,0.0086338947331038,0.0,0.4488846845635322,0.0499499989635293,0.0016926269684446,18,1.1176596244929939e-14,7.451064163286626e-16,0.9957836347275651,/home/wfsch/repos/diode-paper/data/processed/centermax/JS633-W2/Wsc=1.2um-E_diode-0V/data_qca.csv,,ic+ from fit,ic- from fit,rmse+,rmse-,0.095,,True,centermax/JS633-W2/Wsc=1.2um-E_diode-0V/fit_diode/data_qca_fit.csv,1.2-E,1.2e-06,-0.0,0.0086338947331038,-0.0086338947331038,0.0016926269684446,0.0016926269684446,4.3460095611521125e-06,-4.3460095611521125e-06,0.0,0.0
3.5299128725596787e-06,21.82336354102672,0.3552811193938298,0.0282633819446571,0.0,1.0008513348960295,0.057123385275416,0.0023052232542855,28,1.2784639519853541e-14,5.113855807941419e-16,0.9899594434644692,/home/wfsch/repos/diode-paper/data/processed/centermax/JS633-W2/Wsc=1.2um-E_diode+10V/data_qca.csv,,ic+ from fit,ic- from fit,rmse+,rmse-,0.095,,True,centermax/JS633-W2/Wsc=1.2um-E_diode+10V/fit_diode/data_qca_fit.csv,1.2-E,1.2e-06,10.0,0.0282633819446571,-0.0282633819446571,0.0023052232542855,0.0023052232542855,3.5299128725596787e-06,-3.5299128725596787e-06,0.0,0.0
2.023538967437612e-06,11.069556573718396,-0.0236924665536613,0.0042886039179432,0.0,0.0966068220385203,0.034711738148239,0.0020791890374177,62,1.5893982917502818e-14,2.6938954097462405e-16,0.9897738194679097,/home/wfsch/repos/diode-paper/data/processed/centermax/JS633-W2/Wsc=0.3um-N_diode-3.5V/data_qca.csv,,ic+ from fit,ic- from fit,rmse+,rmse-,0.15,,True,centermax/JS633-W2/Wsc=0.3um-N_diode-3.5V/fit_diode/data_qca_fit.csv,0.3-N,3e-07,-3.5,0.0042886039179432,-0.0042886039179432,0.0020791890374177,0.0020791890374177,2.023538967437612e-06,-2.023538967437612e-06,0.0,0.0
2.9189193383291428e-06,13.118518388293996,0.1343629547286337,0.0177105489426387,0.0,0.4994826951457495,0.0918429135235356,0.0038105333437723,24,9.654636211810449e-15,4.597445815147832e-16,0.9772307788058722,/home/wfsch/repos/diode-paper/data/processed/centermax/JS633-W2/Wsc=0.6um-NNW_diode+10V/data_qca.csv,in-plane magnitude,ic+ from fit,ic- from fit,rmse+,rmse-,0.1,,True,centermax/JS633-W2/Wsc=0.6um-NNW_diode+10V/fit_diode/data_qca_fit.csv,0.6-NNW,6e-07,10.0,0.0177105489426387,-0.0177105489426387,0.0038105333437723,0.0038105333437723,2.9189193383291428e-06,-2.9189193383291428e-06,0.0,0.0
4.130020279667302e-06,37.5002805910934,-0.3304254294297502,-0.0057952547366995,0.0,0.6012079239217883,0.0315844940474811,0.0013162809096239,26,1.902267548436697e-14,8.270728471463907e-16,0.9962330183327268,/home/wfsch/repos/diode-paper/data/processed/centermax/JS633-W2/Wsc=1.2um-E_diode-3.5V/data_qca.csv,,ic+ from fit,ic- from fit,rmse+,rmse-,0.095,,True,centermax/JS633-W2/Wsc=1.2um-E_diode-3.5V/fit_diode/data_qca_fit.csv,1.2-E,1.2e-06,-3.5,-0.0057952547366995,0.0057952547366995,0.0013162809096239,0.0013162809096239,4.130020279667302e-06,-4.130020279667302e-06,0.0,0.0
3.283259243749286e-06,18.46399839117566,-0.0560859884789922,0.0066420906642045,0.0,0.2563478166310645,0.0546762647649126,0.0023358140959934,20,6.310652485546657e-15,3.712148520909798e-16,0.9941160495870806,/home/wfsch/repos/diode-paper/data/processed/centermax/JS633-W2/Wsc=0.6um-NNW_diode-0V/data_qca.csv,,ic+ from fit,ic- from fit,rmse+,rmse-,0.1,,True,centermax/JS633-W2/Wsc=0.6um-NNW_diode-0V/fit_diode/data_qca_fit.csv,0.6-NNW,6e-07,-0.0,0.0066420906642045,-0.0066420906642045,0.0023358140959934,0.0023358140959934,3.283259243749286e-06,-3.283259243749286e-06,0.0,0.0
2.5974284463425003e-06,22.19655778783544,-0.1232107211892313,0.0013752538531626,0.0,0.220603070361801,0.0363565031913335,0.001553043373905,22,3.285807812950509e-15,1.7293725331318467e-16,0.996460904646599,/home/wfsch/repos/diode-paper/data/processed/centermax/JS633-W2/Wsc=0.6um-NNW_diode-4V/data_qca.csv,in-plane magnitude,ic+ from fit,ic- from fit,rmse+,rmse-,0.1,,True,centermax/JS633-W2/Wsc=0.6um-NNW_diode-4V/fit_diode/data_qca_fit.csv,0.6-NNW,6e-07,-4.0,0.0013752538531626,-0.0013752538531626,0.001553043373905,0.001553043373905,2.5974284463425003e-06,-2.5974284463425003e-06,0.0,0.0
