Vg increasing,repeat,gate 15 - Source voltage,ic+,ic-,datapath
0.0,1.0,-10.0,4.003814097289931e-10,-4.0728102278031674e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-9.899999999999928,5.242710545994663e-10,-5.306468791430721e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-9.79999999999993,4.077119208704111e-10,-4.025268249181506e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-9.699999999999932,,,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-9.59999999999993,1.0248308838236265e-09,-1.0224020305984942e-09,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-9.499999999999929,2.7769466551086827e-11,-2.6423729955173892e-11,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-9.399999999999931,,,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-9.299999999999933,8.627258676383715e-10,-8.499130961245915e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-9.199999999999932,1.2017853362361011e-09,-1.2091743532351931e-09,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-9.09999999999993,8.622027643806923e-10,-8.726731341678337e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-8.999999999999932,4.889039504622583e-10,-4.94837788354967e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-8.899999999999935,6.598051393096774e-10,-6.579426219558193e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-8.799999999999933,3.6543978978487103e-10,-3.7023898663662113e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-8.699999999999932,3.184069675871156e-10,-3.1454075434554373e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-8.599999999999934,2.935116100656219e-10,-2.9001411903704923e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-8.499999999999936,,,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-8.399999999999935,3.3730769171643833e-10,-3.4333365492312006e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-8.299999999999933,1.7625805463425024e-10,-1.8029112134070068e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-8.199999999999935,1.212644830387218e-10,-1.1692350557633462e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-8.099999999999937,3.500169667943114e-10,-3.434343824409945e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-7.999999999999936,1.260492412041805e-09,-1.2482204677121755e-09,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-7.899999999999935,1.0123666668861995e-09,-9.996691129300099e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-7.799999999999937,1.2772933234963669e-09,-1.2827155407472732e-09,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-7.699999999999939,7.160271146691906e-10,-7.418584905202348e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-7.5999999999999375,5.308294572404231e-10,-5.452535140514305e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-7.499999999999936,6.095158727921029e-10,-6.271676668417579e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-7.399999999999938,1.887105421917675e-09,-1.869238855806497e-09,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-7.29999999999994,5.289512723588843e-10,-5.558360484186308e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-7.199999999999939,1.6674167165192026e-09,-1.7068356098501055e-09,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-7.0999999999999375,1.5765502994364853e-09,-1.6380036457350833e-09,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-6.99999999999994,2.7826470929114203e-09,-2.732918678819185e-09,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-6.899999999999942,1.735104497811461e-09,-1.7265248250425835e-09,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-6.79999999999994,9.99035826775941e-10,-1.019363106654849e-09,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-6.699999999999939,1.1276527493027219e-09,-1.1442906555053078e-09,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-6.599999999999941,1.972972381857088e-09,-1.993231116315383e-09,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-6.499999999999943,2.3264244866846104e-08,-2.3265213963866156e-08,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-6.399999999999942,2.1697300377184587e-08,-2.169562400260163e-08,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-6.29999999999994,4.3068465885080375e-08,-4.289410740432312e-08,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-6.1999999999999424,8.293491926541055e-08,-8.265001729147841e-08,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-6.099999999999945,1.0363454743685168e-07,-1.0346725093551818e-07,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-5.999999999999943,1.8375801460288049e-07,-1.8366901642453885e-07,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
