Vg increasing,gate 15 - Source voltage,ic+,ic-,datapath
0.0,-10.0,3.952652593516588e-10,-4.0339366163175997e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-9.79999999999993,6.25301103199682e-10,-6.221762491703123e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-9.59999999999993,5.560317303292817e-10,-5.514532069475387e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-9.399999999999931,,,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-9.199999999999932,1.1829716169438756e-09,-1.2014381022628148e-09,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-8.999999999999932,7.422438224945383e-10,-7.598170907394647e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-8.799999999999933,4.27344185098076e-10,-4.2332217082032054e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-8.599999999999934,5.160201130332443e-10,-5.177498555418622e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-8.399999999999935,9.38691524373433e-11,-9.633361849216073e-11,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-8.199999999999935,8.006780766712177e-10,-8.344435205002454e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-7.999999999999936,1.1573406063111416e-10,-1.2506555612868346e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-7.799999999999937,1.4568509088456845e-10,-1.5567367894502196e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-7.5999999999999375,7.225545237874057e-10,-7.319823739030267e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-7.399999999999938,,,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-7.199999999999939,3.5500651083807123e-10,-3.669329822903566e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-6.99999999999994,2.256908033016408e-09,-2.2317890530972276e-09,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-6.79999999999994,1.734679815897304e-09,-1.7853675795464093e-09,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-6.599999999999941,1.444654324829288e-09,-1.4583679288056117e-09,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-6.399999999999942,2.319489740970864e-08,-2.324589801264047e-08,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-6.1999999999999424,8.392683546663924e-08,-8.381806139110848e-08,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-5.999999999999943,1.6397371587234722e-07,-1.6420469318145974e-07,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-5.799999999999944,4.0528986105419954e-07,-4.0116037264128737e-07,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-5.599999999999945,5.845436285180159e-07,-5.844617602045663e-07,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-5.399999999999945,8.456301903777513e-07,-8.479444145414067e-07,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-5.199999999999946,1.1503390084187037e-06,-1.1657314524163346e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-4.999999999999947,1.5000184352672788e-06,-1.5082916658359044e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-4.799999999999947,1.7705611261682856e-06,-1.791172974602405e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-4.599999999999948,2.1274369144630594e-06,-2.1480051404923256e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-4.399999999999949,2.4685006790471854e-06,-2.5090618928175643e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-4.1999999999999496,2.7280503178621663e-06,-2.7669315738418324e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-3.9999999999999503,2.985718488684868e-06,-3.0265883405508344e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-3.799999999999951,3.206186638129588e-06,-3.2553273374726596e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-3.5999999999999517,3.3200913240322055e-06,-3.365842013766741e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
